"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","987d4d4edea0",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260204124240/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","04 Feb 2026 12:46:23 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770209183.417,12.926,1.178,85.617,0.280,0,13913094.672,64949623.611,8238156.535,0,0,0,0,0,855244800,4873535488,2399965184,6833733632,5073.002,6477.108,1,0,11.345,3.600,1.700,0.670,2706.334,1652.649,231.990,4.020,161.551,12.538,179.231,0.086,75.838,0.072,3.600,1.700,0.670,855244800,4873535488,2399965184,6833733632,1,0,11.345,65.787,60.837,14.254,0,0,1073737728,0,768,40815,0,0,0,0,0,0,0,59,1,1,0,0,1,0,0,532,0,0,1,0,0,56,0,56,13.497,4464.733,15533.581,21387.716,2.175,0.218,0,0,0,0,0,0,0,0
1770209184.418,76.508,14.377,9.114,0,0,6422528,23560192,0,0,672,0,0,0,980140032,4747456512,2401128448,6708637696,14932,84558,13,0,40,3.600,1.700,0.670,2477,7285,71,0,78,0,17,0,52,0,3.600,1.700,0.670,980140032,4747456512,2401128448,6708637696,10,0,40,13,62,0,0,0,1073737728,0,768,41024,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,6,24072,53961,28617,2.300,0,0,0,0,0,0,0,0,0
1770209185.418,53.151,17.397,29.452,0,0,0,27262976,0,0,336,0,0,0,1005973504,4721287168,2401456128,6682546176,41614,108896,8,0,0,4.110,1.840,0.720,29888,5512,2,0,10,0,1,0,11,1,4.110,1.840,0.720,1005973504,4721287168,2401456128,6682546176,7,0,0,0,10,0,0,0,1073737728,0,768,41024,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,8375,11352,4660,0.400,0,0,0,0,0,0,0,0,0
1770209186.418,41.967,20.222,37.673,0.139,0,0,38273024,0,0,336,0,0,0,1077030912,4649984000,2401701888,6611382272,58752,143115,9,0,0,4.110,1.840,0.720,48302,4993,2,0,12,0,1,0,2,0,4.110,1.840,0.720,1077030912,4649984000,2401701888,6611382272,8,0,0,0,13,0,0,0,1073737728,0,768,41023,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,3218,24263,6693,0.500,0,0,0,0,0,0,0,0,0
1770209187.418,42.778,19.444,37.778,0,0,0,33816576,0,0,0,0,0,0,1179721728,4547170304,2401824768,6508634112,61166,149473,7,0,0,4.110,1.840,0.720,50736,4811,6,0,10,0,1,0,2,0,4.110,1.840,0.720,1179721728,4547170304,2401824768,6508634112,7,0,0,0,10,0,0,0,1073737728,0,768,41023,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,463,34962,5689,0.500,0,0,0,0,0,0,0,0,0
1770209188.418,43.811,19.611,36.579,0,0,0,161349632,0,0,0,0,0,0,1187942400,4539170816,2402004992,6500474880,61382,149449,5,0,0,4.110,1.840,0.720,50769,4892,4,0,24,0,2,0,2,0,4.110,1.840,0.720,1187942400,4539170816,2402004992,6500474880,7,0,0,0,32,0,0,0,1073737728,0,768,41024,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,183,4174,4764,1.800,0,0,0,0,0,0,0,0,0
1770209189.418,2.774,1.261,95.965,0,0,557056,8454144,0,0,0,0,0,0,1173114880,4553912320,2402091008,6515318784,4790,10960,0,0,2,4.110,1.840,0.720,3786,505,28,0,8,0,28,0,4,0,4.110,1.840,0.720,1173114880,4553912320,2402091008,6515318784,1,0,2,2,6,0,0,0,1073737728,0,768,41010,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,1,173,167,1542,0.200,0,0,0,0,0,0,0,0,0
1770209190.419,0.252,0.504,99.243,0,0,0,0,0,0,0,0,0,0,1173110784,4553912320,2402095104,6515322880,1831,2465,0,0,0,3.780,1.810,0.720,1095,714,5,0,0,0,2,0,2,0,3.780,1.810,0.720,1173110784,4553912320,2402095104,6515322880,0,0,0,0,0,0,0,0,1073737728,0,768,41010,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,0,25,33,0,0,0,0,0,0,0,0,0,0
1770209191.418,0.504,0.504,98.992,0,0,0,0,0,0,0,0,0,0,1173110784,4553912320,2402095104,6515322880,1758,2389,0,0,0,3.780,1.810,0.720,1046,695,4,0,0,0,1,0,2,0,3.780,1.810,0.720,1173110784,4553912320,2402095104,6515322880,0,0,0,0,0,0,0,0,1073737728,0,768,41010,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,5,28,24,0,0,0,0,0,0,0,0,0,0
