"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","ac7f2352c289",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251209143302/vertx-web-kotlinx/json/stats.txt",,,,"Date:","09 Dec 2025 15:00:20 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1765292420.450,1.950,0.441,97.572,0.037,0,698245.047,17663543.088,2367555.508,0,0,0,0,0,536670208,6212808704,1396875264,7530942464,1775.807,2393.649,0,0,2.187,2.720,1.950,1.010,1107.747,597.618,31.326,1.259,10.848,3.576,6.875,0.025,5.143,0.033,2.720,1.950,1.010,536670208,6212808704,1396875264,7530942464,0,0,2.187,3.414,10.211,4.081,0,0,1073737728,0,512,26142,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,2.638,557.834,2430.528,4518.205,0.282,0.061,0,0,0,0,0,0,0,0
1765292421.451,71.847,23.185,4.968,0,0,6422528,2883584,0,0,672,0,0,0,631939072,6116638720,1397702656,7435661312,11911,183214,11,0,39,2.720,1.950,1.010,2006,7635,63,0,67,0,17,0,54,0,2.720,1.950,1.010,631939072,6116638720,1397702656,7435661312,12,0,39,13,57,0,0,0,1073737728,0,576,26329,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,6,19255,45034,22940,0.800,0,0,0,0,0,0,0,0,0
1765292422.451,41.709,56.888,1.403,0,0,0,0,0,0,336,0,0,0,682344448,6066233344,1397702656,7385255936,9041,527177,13,0,1,2.720,1.950,1.010,689,7761,3,0,0,0,1,0,2,0,2.720,1.950,1.010,682344448,6066233344,1397702656,7385255936,11,0,1,0,0,0,0,0,1073737728,0,576,26329,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,0,61,17514,4687,0,0,0,0,0,0,0,0,0,0
1765292423.451,40.921,57.289,1.662,0.128,0,393216,0,1081344,0,336,0,0,0,672129024,6076215296,1397936128,7395426304,9906,525076,12,0,1,2.720,1.950,1.010,363,7696,2,5,1539,4,1,0,4,0,2.720,1.950,1.010,672129024,6076215296,1397936128,7395426304,13,0,1,12,0,4,0,0,1073737728,0,576,26330,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,2,95,175,7426,20.300,0,0,0,0,0,0,0,0,0
1765292424.451,39.874,58.868,1.258,0,0,0,0,0,0,0,0,0,0,665194496,6083149824,1397936128,7402459136,8231,543900,10,0,0,3.710,2.170,1.080,309,7901,2,0,0,0,1,0,2,0,3.710,2.170,1.080,665194496,6083149824,1397936128,7402459136,11,0,0,0,0,0,0,0,1073737728,0,576,26330,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,0,184,5845,4176,0,0,0,0,0,0,0,0,0,0
1765292425.451,41.375,57,1.625,0,0,0,0,0,0,0,0,0,0,665186304,6083149824,1397944320,7402467328,8261,541067,12,0,0,3.710,2.170,1.080,310,7901,4,0,0,0,2,0,2,0,3.710,2.170,1.080,665186304,6083149824,1397944320,7402467328,11,0,0,0,0,0,0,0,1073737728,0,576,26330,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,0,71,1640,3628,0,0,0,0,0,0,0,0,0,0
1765292426.451,3.409,4.545,92.045,0,0,557056,393216,0,0,0,0,0,0,621314048,6126923776,1398038528,7446343680,10906,43570,0,0,1,3.710,2.170,1.080,9510,1166,78,0,7,0,105,0,10,0,3.710,2.170,1.080,621314048,6126923776,1398038528,7446343680,0,0,1,2,2,0,0,0,1073737728,0,576,26316,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,1,141,395,1806,0.100,0,0,0,0,0,0,0,0,0
1765292427.453,0.501,0.626,98.874,0,0,0,0,0,0,0,0,0,0,621314048,6126923776,1398038528,7446343680,1538,2113,0,0,0,3.710,2.170,1.080,921,602,4,0,0,0,1,0,2,0,3.710,2.170,1.080,621314048,6126923776,1398038528,7446343680,0,0,0,0,0,0,0,0,1073737728,0,576,26316,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,0,2,26,32,0,0,0,0,0,0,0,0,0,0
1765292428.452,0.749,0.749,98.502,0,0,0,0,0,0,0,0,0,0,621309952,6126923776,1398042624,7446343680,1581,2128,0,0,0,3.710,2.170,1.080,963,596,5,0,0,0,2,0,2,0,3.710,2.170,1.080,621309952,6126923776,1398042624,7446343680,0,0,0,0,0,0,0,0,1073737728,0,576,26316,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,0,6,31,31,0,0,0,0,0,0,0,0,0,0
