"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","ac7f2352c289",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251209143302/vertx-web-kotlinx/plaintext/stats.txt",,,,"Date:","09 Dec 2025 15:02:33 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1765292553.384,8.877,5.700,85.391,0.032,0,600669.610,15050572.394,2004916.373,0,0,0,0,0,871174144,5865631744,1408626688,7196372992,7508.207,24791.267,1,0,2.059,12.340,5.770,2.530,1475.451,1529.632,72.256,1.073,11.380,3.032,59.704,0.021,5.400,0.030,12.340,5.770,2.530,871174144,5865631744,1408626688,7196372992,1,0,2.059,2.924,9.074,3.459,0,0,1073737728,0,576,26150,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,2.244,526.013,4895.616,6564.377,0.278,0.052,0,0,0,0,0,0,0,0
1765292554.385,38.354,53.924,7.595,0.127,0,32768,2883584,0,0,672,0,0,0,866508800,5870239744,1408655360,7201042432,15521,496752,11,0,42,12.310,5.880,2.580,6470,7502,68,0,55,0,17,0,60,0,12.310,5.880,2.580,866508800,5870239744,1408655360,7201042432,9,0,42,1,56,0,0,0,1073737728,0,608,26348,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,3112,9050,8942,0.400,0,0,0,0,0,0,0,0,0
1765292555.385,40.206,58.247,1.546,0,0,0,0,0,0,336,0,0,0,866508800,5870239744,1408655360,7201042432,7947,535116,12,0,0,12.310,5.880,2.580,176,7664,2,0,0,0,1,0,2,0,12.310,5.880,2.580,866508800,5870239744,1408655360,7201042432,12,0,0,0,0,0,0,0,1073737728,0,608,26348,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,23,48,58,0,0,0,0,0,0,0,0,0,0
1765292556.384,41.071,57.526,1.403,0,0,0,0,0,0,336,0,0,0,870703104,5866045440,1408655360,7196848128,8052,538753,11,0,0,12.310,5.880,2.580,261,7763,2,0,0,0,1,0,2,0,12.310,5.880,2.580,870703104,5866045440,1408655360,7196848128,11,0,0,0,0,0,0,0,1073737728,0,608,26347,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,34,539,24,0,0,0,0,0,0,0,0,0,0
1765292557.385,39.245,59.497,1.258,0,0,0,0,0,0,0,0,0,0,869928960,5866819584,1408655360,7197622272,8162,539154,4,0,0,12.310,5.880,2.580,270,7876,2,0,0,0,1,0,2,0,12.310,5.880,2.580,869928960,5866819584,1408655360,7197622272,5,0,0,0,0,0,0,0,1073737728,0,608,26347,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,3,26,62,0,0,0,0,0,0,0,0,0,0
1765292558.385,40.574,58.302,1.124,0,0,0,0,0,0,0,0,0,0,869662720,5867077632,1408663552,7197880320,8413,547567,11,0,0,12.310,5.880,2.580,222,7950,2,0,0,0,2,0,2,0,12.310,5.880,2.580,869662720,5867077632,1408663552,7197880320,12,0,0,0,0,0,0,0,1073737728,0,608,26347,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,2,28,29,0,0,0,0,0,0,0,0,0,0
1765292559.392,3.291,4.177,92.532,0,0,0,393216,0,0,0,0,0,0,863887360,5872824320,1408692224,7203672064,11446,44633,2,0,1,11.560,5.830,2.580,10021,1181,94,0,5,0,104,0,17,0,11.560,5.830,2.580,863887360,5872824320,1408692224,7203672064,0,0,1,0,2,0,0,0,1073737728,0,608,26332,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,132,365,1824,0.100,0,0,0,0,0,0,0,0,0
1765292560.384,0.378,0.378,99.243,0,0,0,0,0,0,0,0,0,0,863887360,5872824320,1408692224,7203672064,819,1091,0,0,1,11.560,5.830,2.580,479,325,2,0,0,0,1,0,2,0,11.560,5.830,2.580,863887360,5872824320,1408692224,7203672064,0,0,1,0,0,0,0,0,1073737728,0,608,26332,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,41,64,116,0,0,0,0,0,0,0,0,0,0
1765292561.392,0.248,0.124,99.628,0,0,0,0,0,0,0,0,0,0,863883264,5872824320,1408696320,7203672064,247,326,0,0,0,11.560,5.830,2.580,127,111,2,0,0,0,2,0,2,0,11.560,5.830,2.580,863883264,5872824320,1408696320,7203672064,0,0,0,0,0,0,0,0,1073737728,0,608,26332,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,0,25,24,0,0,0,0,0,0,0,0,0,0
