"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","96d36d492208",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251209175453/vertx-web-kotlinx/plaintext/stats.txt",,,,"Date:","09 Dec 2025 18:01:12 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1765303272.826,21.209,11.075,67.603,0.113,0,5637790.365,10013720.479,4502364.681,0,0,0,0,0,680660992,6602543104,899137536,7397474304,9847.426,29502.642,1,0,4.595,11.950,5.400,2.190,1624.758,2886.065,63.067,2.935,43.181,6.751,15.175,0.047,6.560,0.047,11.950,5.400,2.190,680660992,6602543104,899137536,7397474304,2,0,4.595,29.555,14.032,7.823,0,0,1073737728,0,544,16045,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,5.697,1168.627,5623.291,9854.169,1.219,0.147,0,0,0,0,0,0,0,0
1765303273.829,44.841,46.693,8.333,0.132,0,32768,2916352,0,0,672,0,0,0,691875840,6591291392,899166208,7386271744,9622,242077,9,0,41,11.950,5.400,2.190,1815,7073,53,0,57,0,17,0,50,0,11.950,5.400,2.190,691875840,6591291392,899166208,7386271744,9,0,41,1,53,0,0,0,1073737728,0,608,16247,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,2986,8931,10884,3,0,0,0,0,0,0,0,0,0
1765303274.826,42.525,55.588,1.887,0,0,0,0,0,0,336,0,0,0,691875840,6591291392,899166208,7386271744,7220,250351,14,0,0,11.950,5.400,2.190,207,6783,2,0,0,0,1,0,2,0,11.950,5.400,2.190,691875840,6591291392,899166208,7386271744,13,0,0,0,0,0,0,0,1073737728,0,608,16247,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,3,27,24,0,0,0,0,0,0,0,0,0,0
1765303275.826,42.876,55.792,1.332,0,0,0,0,0,0,336,0,0,0,691875840,6591291392,899166208,7386271744,7968,276213,14,0,0,11.800,5.480,2.230,225,7428,4,0,0,0,1,0,2,0,11.800,5.480,2.230,691875840,6591291392,899166208,7386271744,13,0,0,0,0,0,0,0,1073737728,0,608,16246,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,5,29,29,0,0,0,0,0,0,0,0,0,0
1765303276.826,43.087,55.034,1.879,0,0,0,0,0,0,0,0,0,0,691875840,6591291392,899166208,7386271744,7931,277900,12,0,0,11.800,5.480,2.230,292,7360,4,0,0,0,1,0,2,0,11.800,5.480,2.230,691875840,6591291392,899166208,7386271744,13,0,0,0,0,0,0,0,1073737728,0,608,16247,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,0,24,71,0,0,0,0,0,0,0,0,0,0
1765303277.826,42.914,54.437,2.649,0,0,0,0,0,0,0,0,0,0,691867648,6591291392,899174400,7386271744,7774,281126,10,0,0,11.800,5.480,2.230,322,7381,2,0,0,0,2,0,2,0,11.800,5.480,2.230,691867648,6591291392,899174400,7386271744,10,0,0,0,0,0,0,0,1073737728,0,608,16246,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,3,36,33,0,0,0,0,0,0,0,0,0,0
1765303278.827,3.914,3.788,92.298,0,0,0,360448,0,0,0,0,0,0,686260224,6596894720,899178496,7391875072,3339,24760,0,0,1,11.800,5.480,2.230,2502,768,26,0,5,0,26,0,4,0,11.800,5.480,2.230,686260224,6596894720,899178496,7391875072,0,0,1,0,2,0,0,0,1073737728,0,608,16231,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,132,360,1575,0.200,0,0,0,0,0,0,0,0,0
1765303279.827,0,0.250,99.750,0,0,0,0,0,0,0,0,0,0,690483200,6592671744,899178496,7387672576,305,335,0,0,0,11.800,5.480,2.230,188,111,2,0,0,0,1,0,2,0,11.800,5.480,2.230,690483200,6592671744,899178496,7387672576,0,0,0,0,0,0,0,0,1073737728,0,608,16231,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,0,3608,3309,0,0,0,0,0,0,0,0,0,0
1765303280.826,0.377,0.126,99.497,0,0,0,0,0,0,0,0,0,0,690479104,6592671744,899182592,7387672576,1597,2237,0,0,0,10.930,5.410,2.220,1001,582,2,0,0,0,2,0,2,0,10.930,5.410,2.220,690479104,6592671744,899182592,7387672576,0,0,0,0,0,0,0,0,1073737728,0,608,16231,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,8,34,24,0,0,0,0,0,0,0,0,0,0
