"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","81e0a0c147e2",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251209181027/vertx-web-kotlinx/json/stats.txt",,,,"Date:","09 Dec 2025 18:13:32 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1765304012.839,6.687,0.671,92.461,0.181,0,11640244.639,19808299.382,8944382.950,0,0,0,0,0,543199232,6733475840,898150400,7542198272,3140.621,3600.130,1,0,7.944,2.660,1.280,0.510,1668.049,1135.351,166.149,4.818,90.094,13.270,26.105,0.099,12.497,0.078,2.660,1.280,0.510,543199232,6733475840,898150400,7542198272,2,0,7.949,72.483,25.881,15.513,0,0,1073737728,0,576,21272,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,11.277,2072.956,5859.369,14434.671,1.232,0.397,0,0,0,0,0,0,0,0
1765304013.839,73.852,19.260,6.760,0.128,0,6422528,3047424,0,0,672,0,0,0,626720768,6649069568,898969600,7458672640,10693,137167,14,0,41,2.660,1.280,0.510,1912,7502,84,7,67,0,15,0,59,0,2.660,1.280,0.510,626720768,6649069568,898969600,7458672640,13,0,40,13,60,0,0,0,1073737728,0,608,21458,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,6,21752,35590,15704,0.700,0,0,0,0,0,0,0,0,0
1765304014.839,44.918,53.450,1.631,0,0,0,0,0,0,336,0,0,0,715644928,6560145408,898969600,7369748480,8847,502935,14,0,0,2.660,1.280,0.510,619,7872,3,0,0,0,1,0,2,0,2.660,1.280,0.510,715644928,6560145408,898969600,7369748480,11,0,0,0,0,0,0,0,1073737728,0,608,21458,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,0,579,30819,11805,0,0,0,0,0,0,0,0,0,0
1765304015.839,40.961,57.396,1.264,0.379,0,393216,0,1081344,0,336,0,0,0,706920448,6568636416,899203072,7378526208,10056,521846,9,0,1,3.400,1.460,0.570,332,7790,2,5,1734,4,1,0,5,0,3.400,1.460,0.570,706920448,6568636416,899203072,7378526208,12,0,1,12,0,4,0,0,1073737728,0,608,21459,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,2,90,177,5753,45.200,2,0,0,0,0,0,0,0,0
1765304016.839,39.695,59.160,1.145,0,0,0,0,0,0,0,0,0,0,715567104,6559989760,899203072,7369879552,8271,525382,8,0,0,3.400,1.460,0.570,304,7813,2,0,0,0,1,0,2,0,3.400,1.460,0.570,715567104,6559989760,899203072,7369879552,10,0,0,0,0,0,0,0,1073737728,0,608,21459,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,0,426,9669,4658,0,0,0,0,0,0,0,0,0,0
1765304017.839,41.761,56.352,1.887,0,0,0,0,0,0,0,0,0,0,716038144,6559477760,899211264,7369392128,9559,529735,11,0,0,3.400,1.460,0.570,1185,7842,35,0,0,0,2,0,17,0,3.400,1.460,0.570,716038144,6559477760,899211264,7369392128,10,0,0,0,0,0,0,0,1073737728,0,640,21497,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,0,181,811,3172,0,0,0,0,0,0,0,0,0,0
1765304018.845,3.783,4.035,92.182,0,0,557056,393216,0,0,0,0,0,0,683540480,6591905792,899280896,7401893888,8368,46098,0,0,1,3.400,1.460,0.570,7087,1188,22,0,7,0,26,0,8,0,3.400,1.460,0.570,683540480,6591905792,899280896,7401893888,0,0,1,2,2,0,0,0,1073737728,0,640,21481,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,1,154,351,1751,0.100,0,0,0,0,0,0,0,0,0
1765304019.845,0.376,0.125,99.498,0,0,0,0,0,0,0,0,0,0,683540480,6591905792,899280896,7401893888,552,804,0,0,0,3.400,1.460,0.570,350,168,25,0,0,0,1,0,8,0,3.400,1.460,0.570,683540480,6591905792,899280896,7401893888,0,0,0,0,0,0,0,0,1073737728,0,640,21445,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,0,16,50,42,0,0,0,0,0,0,0,0,0,0
1765304020.844,0.125,0.250,99.625,0,0,0,0,0,0,0,0,0,0,683536384,6591905792,899284992,7401893888,301,383,0,0,0,3.130,1.440,0.560,159,127,9,0,0,0,2,0,2,0,3.130,1.440,0.560,683536384,6591905792,899284992,7401893888,0,0,0,0,0,0,0,0,1073737728,0,640,21445,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,0,6,31,31,0,0,0,0,0,0,0,0,0,0
