"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","81e0a0c147e2",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251209181027/vertx-web-kotlinx/plaintext/stats.txt",,,,"Date:","09 Dec 2025 18:15:45 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1765304145.794,23.131,14.327,62.431,0.111,0,6912647.942,11790783.143,5295057.575,0,0,0,0,0,848617472,6426066944,899514368,7236788224,16718.212,60109.430,1,0,5.200,11.300,5.280,2.090,1722.678,3332.105,103.717,2.900,59.749,7.863,17.432,0.058,10.342,0.052,11.300,5.280,2.090,849383424,6425300992,899514368,7236263936,1,0,5.200,42.975,16.470,9.190,0,0,1073737728,0,640,21263,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,6.702,1364.040,10870.426,15705.421,0.919,0.241,0,0,0,0,0,0,0,0
1765304146.795,40.409,51.662,7.928,0,0,32768,3014656,0,0,672,0,0,0,869335040,6405312512,899559424,7216439296,10767,457286,11,0,56,11.300,5.280,2.090,2497,7440,83,6,56,0,17,0,69,0,11.300,5.280,2.090,869335040,6405312512,899559424,7216439296,9,0,56,1,60,0,0,0,1073737728,0,640,21479,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,3419,9535,10778,1.100,0,0,0,0,0,0,0,0,0
1765304147.794,39.346,57.647,3.007,0,0,0,0,0,0,336,0,0,0,869335040,6405312512,899559424,7216439296,7909,517810,11,0,0,11.300,5.280,2.090,153,7435,46,0,0,0,1,0,18,0,11.300,5.280,2.090,869335040,6405312512,899559424,7216439296,11,0,0,0,0,0,0,0,1073737728,0,640,21517,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,55,158,98,0,0,0,0,0,0,0,0,0,0
1765304148.795,41.236,57.755,1.009,0,0,0,0,0,0,336,0,0,0,869580800,6405066752,899559424,7216197632,8378,538220,10,0,0,11.300,5.280,2.090,184,7898,2,0,0,0,1,0,5,0,11.300,5.280,2.090,869580800,6405066752,899559424,7216197632,9,0,0,0,0,0,0,0,1073737728,0,640,21514,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,14,37,39,0,0,0,0,0,0,0,0,0,0
1765304149.795,40.503,58.616,0.881,0,0,0,0,0,0,0,0,0,0,869580800,6405066752,899559424,7216197632,8432,537537,11,0,0,11.300,5.280,2.090,214,7896,6,0,0,0,1,0,3,0,11.300,5.280,2.090,869580800,6405066752,899559424,7216197632,10,0,0,0,0,0,0,0,1073737728,0,640,21487,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,44,74,54,0,0,0,0,0,0,0,0,0,0
1765304150.795,40.076,58.651,1.272,0,0,0,0,0,0,0,0,0,0,869572608,6405066752,899567616,7216197632,8117,522683,1,0,0,11.190,5.350,2.140,283,7783,13,0,0,0,2,0,9,0,11.190,5.350,2.140,869572608,6405066752,899567616,7216197632,1,0,0,0,0,0,0,0,1073737728,0,640,21478,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,2,30,26,0,0,0,0,0,0,0,0,0,0
1765304151.805,4.893,5.646,89.460,0,0,0,425984,0,0,0,0,0,0,862965760,6411669504,899571712,7222816768,9292,59368,0,0,1,11.190,5.350,2.140,8153,1038,25,0,5,0,26,0,16,0,11.190,5.350,2.140,862965760,6411669504,899571712,7222816768,0,0,1,0,2,0,0,0,1073737728,0,640,21463,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,126,113,1550,0.100,0,0,0,0,0,0,0,0,0
1765304152.799,0.252,0.126,99.623,0,0,0,0,0,0,0,0,0,0,862965760,6411669504,899571712,7222816768,346,488,1,0,0,11.190,5.350,2.140,189,143,2,0,0,0,1,0,11,0,11.190,5.350,2.140,862965760,6411669504,899571712,7222816768,0,0,0,0,0,0,0,0,1073737728,0,640,21465,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,0,24,24,0,0,0,0,0,0,0,0,0,0
1765304153.795,0.503,0.755,98.742,0,0,0,0,0,0,0,0,0,0,862945280,6411685888,899575808,7222833152,1483,1948,0,0,0,11.190,5.350,2.140,855,606,2,0,0,0,2,0,6,1,11.190,5.350,2.140,862945280,6411685888,899575808,7222833152,0,0,0,0,0,0,0,0,1073737728,0,640,21455,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,2,26,32,0,0,0,0,0,0,0,0,0,0
1765304154.795,0.502,0.627,98.871,0,0,0,0,0,0,0,0,0,0,862937088,6411685888,899584000,7222833152,1701,2298,0,0,0,11.190,5.350,2.140,1042,636,2,0,0,0,3,0,2,0,11.190,5.350,2.140,862937088,6411685888,899584000,7222833152,0,0,0,0,0,0,0,0,1073737728,0,640,21455,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,21,49,87,0,0,0,0,0,0,0,0,0,0
1765304155.797,0.375,0.750,98.625,0.250,0,0,0,0,0,0,0,0,0,862937088,6411685888,899584000,7222833152,1612,2183,0,0,1,10.460,5.300,2.130,933,567,2,2,90,0,1,0,4,0,10.460,5.300,2.130,862937088,6411685888,899584000,7222833152,0,0,1,0,0,0,0,0,1073737728,0,640,21455,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,84,86,85,1.500,0,0,0,0,0,0,0,0,0
1765304156.794,49.811,30.643,19.546,0,0,0,131072,0,0,0,0,0,0,834363392,6439731200,899584000,7251165184,18091,34626,16,0,11,10.460,5.300,2.130,1152,6459,13,0,4,0,10,0,4,0,10.460,5.300,2.130,834363392,6439731200,899584000,7251165184,16,0,11,0,2,0,0,0,1073737728,0,1536,22479,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,1135,33907,30695,0.100,0,0,0,0,0,0,0,0,0
1765304157.794,60.305,38.295,1.399,0,0,0,0,0,0,0,0,0,0,832876544,6441172992,899584000,7252631552,27463,60764,16,0,0,10.460,5.300,2.130,725,7778,66,0,0,0,1,0,18,0,10.460,5.300,2.130,832876544,6441172992,899584000,7252631552,15,0,0,0,0,0,0,0,1073737728,0,1600,22517,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,12,35273,35321,0,0,0,0,0,0,0,0,0,0
1765304158.794,60,38.491,1.509,0,0,0,0,0,0,0,0,0,0,834043904,6439997440,899592192,7251464192,28140,61432,15,0,0,10.460,5.300,2.130,859,7858,8,0,0,0,3,0,5,0,10.460,5.300,2.130,834043904,6439997440,899592192,7251464192,15,0,0,0,0,0,0,0,1073737728,0,1600,22515,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,3,35720,35633,0,0,0,0,0,0,0,0,0,0
1765304159.794,60.330,38.530,1.141,0,0,0,0,0,0,0,0,0,0,833024000,6441017344,899592192,7252484096,30543,70919,15,0,0,10.460,5.300,2.130,737,7821,5,0,0,0,1,0,3,0,10.460,5.300,2.130,833024000,6441017344,899592192,7252484096,15,0,0,0,0,0,0,0,1073737728,0,1600,22488,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,40,34610,34615,0,0,0,0,0,0,0,0,0,0
1765304160.795,60.236,37.270,2.493,0,0,0,0,0,0,0,0,0,0,835231744,6438809600,899592192,7250276352,26012,59177,15,0,0,10.900,5.480,2.210,907,7480,5,0,0,0,1,0,4,0,10.900,5.480,2.210,835231744,6438809600,899592192,7250276352,16,0,0,0,0,0,0,0,1073737728,0,1600,22479,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,0,33141,33098,0,0,0,0,0,0,0,0,0,0
1765304161.794,59.594,35.413,4.992,0,0,0,1310720,0,0,0,0,0,0,833277952,6440763392,899592192,7252230144,21048,56379,14,0,0,10.900,5.480,2.210,820,6125,4,0,15,0,1,0,2,0,10.900,5.480,2.210,833277952,6440763392,899592192,7252230144,12,0,0,0,27,0,0,0,1073737728,0,1600,22479,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,0,27021,27122,2.800,0,0,0,0,0,0,0,0,0
1765304162.794,59.608,38.431,1.961,0,0,0,0,0,0,0,0,0,0,834347008,6439686144,899600384,7251152896,32307,75528,16,0,0,10.900,5.480,2.210,606,7509,2,0,0,0,3,0,6,0,10.900,5.480,2.210,834347008,6439686144,899600384,7251152896,16,0,0,0,0,0,0,0,1073737728,0,1600,22481,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,0,32283,32256,0,0,0,0,0,0,0,0,0,0
1765304163.794,61.245,37.357,1.398,0,0,0,0,0,0,0,0,0,0,838057984,6435975168,899600384,7247450112,26594,53833,16,0,0,10.900,5.480,2.210,547,7789,2,0,0,0,1,0,5,0,10.900,5.480,2.210,838057984,6435975168,899600384,7247450112,16,0,0,0,0,0,0,0,1073737728,0,1600,22479,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,22,37614,35992,0,0,0,0,0,0,0,0,0,0
1765304164.794,60.764,37.707,1.529,0,0,0,0,0,0,0,0,0,0,839565312,6434463744,899604480,7245950976,32370,71904,16,0,0,10.900,5.480,2.210,566,7773,4,0,0,0,2,0,2,0,10.900,5.480,2.210,839565312,6434463744,899604480,7245950976,16,0,0,0,0,0,0,0,1073737728,0,1600,22479,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,5,33591,33693,0,0,0,0,0,0,0,0,0,0
1765304165.794,61.168,37.437,1.396,0,0,0,0,0,0,0,0,0,0,840663040,6433366016,899604480,7244853248,29207,63784,16,0,0,11.390,5.670,2.290,609,7809,2,0,0,0,1,0,2,0,11.390,5.670,2.290,840925184,6433103872,899604480,7244591104,16,0,0,0,0,0,0,0,1073737728,0,1600,22479,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,11,34769,34740,0,0,0,0,0,0,0,0,0,0
1765304166.794,60.409,37.676,1.916,0,0,0,0,0,0,0,0,0,0,839716864,6434304000,899612672,7245791232,27644,60698,16,0,0,11.390,5.670,2.290,668,7721,2,0,0,0,3,0,2,0,11.390,5.670,2.290,839716864,6434304000,899612672,7245791232,16,0,0,0,0,0,0,0,1073737728,0,1600,22479,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,5,35181,35176,0,0,0,0,0,0,0,0,0,0
1765304167.794,60.255,37.325,2.420,0,0,0,131072,0,0,0,0,0,0,846147584,6427836416,899612672,7239356416,22770,46383,16,0,0,11.390,5.670,2.290,1035,7687,34,0,4,0,1,0,15,0,11.390,5.670,2.290,846147584,6427836416,899612672,7239356416,14,0,0,0,2,0,0,0,1073737728,0,1632,22517,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,18,36483,35910,1.200,0,0,0,0,0,0,0,0,0
1765304168.794,59.820,39.024,1.155,0,0,0,0,0,0,0,0,0,0,844402688,6429581312,899612672,7241101312,32194,75891,16,0,0,11.390,5.670,2.290,406,7743,2,0,0,0,1,0,5,0,11.390,5.670,2.290,844402688,6429581312,899612672,7241101312,16,0,0,0,0,0,0,0,1073737728,0,1632,22515,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,9,36019,35555,0,0,0,0,0,0,0,0,0,0
1765304169.795,60.253,38.228,1.519,0,0,0,0,0,0,0,0,0,0,844075008,6429908992,899612672,7241428992,32165,75311,16,0,0,11.390,5.670,2.290,717,7807,6,0,0,0,1,0,3,0,11.390,5.670,2.290,844075008,6429908992,899612672,7241428992,15,0,0,0,0,0,0,0,1073737728,0,1632,22488,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,13,34905,34839,0,0,0,0,0,0,0,0,0,0
1765304170.794,59.845,37.953,2.202,0,0,0,0,0,0,0,0,0,0,843870208,6430109696,899616768,7241629696,22102,43878,16,0,0,11.760,5.840,2.360,964,7591,14,0,0,0,3,0,5,0,11.760,5.840,2.360,843870208,6430109696,899616768,7241629696,16,0,0,0,0,0,0,0,1073737728,0,1632,22479,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,0,34783,34778,0,0,0,0,0,0,0,0,0,0
1765304171.798,14.536,9.148,76.316,0,0,0,0,0,0,0,0,0,0,836558848,6437822464,899624960,7249145856,6723,12115,0,0,3,11.760,5.840,2.360,1143,2248,22,0,0,0,26,0,6,0,11.760,5.840,2.360,836558848,6437822464,899624960,7249145856,0,0,3,0,0,0,0,0,1073737728,0,704,21455,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,199,8273,11076,0,0,0,0,0,0,0,0,0,0
1765304172.797,0.378,0.631,98.991,0,0,0,0,0,0,0,0,0,0,836816896,6437564416,899624960,7248887808,1702,2264,0,0,0,11.760,5.840,2.360,1017,664,2,0,0,0,1,0,7,0,11.760,5.840,2.360,836816896,6437564416,899624960,7248887808,0,0,0,0,0,0,0,0,1073737728,0,704,21457,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,3,28,24,0,0,0,0,0,0,0,0,0,0
1765304173.797,0.501,0.752,98.747,0,0,0,0,0,0,0,0,0,0,837074944,6437306368,899624960,7248629760,1682,2198,0,0,0,11.760,5.840,2.360,1012,646,4,0,0,0,1,0,6,0,11.760,5.840,2.360,837074944,6437306368,899624960,7248629760,0,0,0,0,0,0,0,0,1073737728,0,704,21455,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,1,26,25,0,0,0,0,0,0,0,0,0,0
1765304174.802,0.373,0.373,99.254,0,0,0,0,0,0,0,0,0,0,837066752,6437306368,899633152,7248629760,829,1101,0,0,0,11.760,5.840,2.360,487,325,4,0,0,0,3,0,2,0,11.760,5.840,2.360,837066752,6437306368,899633152,7248629760,0,0,0,0,0,0,0,0,1073737728,0,704,21455,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,4,30,24,0,0,0,0,0,0,0,0,0,0
