"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","24fbd689d344",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251221124554/vertx-web-kotlinx-exposed-r2dbc-postgresql/db/stats.txt",,,,"Date:","21 Dec 2025 12:49:45 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766321385.514,17.627,6.241,76.031,0.101,0,2959012.208,21413712.701,1010619.725,0,0,0,0,0,1189711872,2607423488,4062306304,6808850432,8320.143,39344.226,2,0,5.931,2.810,5.460,5.410,3536.828,2300.067,39.185,0.684,75.588,1.503,83.136,0.012,9.059,0.023,2.810,5.460,5.410,1189711872,2607423488,4062306304,6808850432,2,0,5.931,42.595,27.547,1.752,0,0,1073737728,0,800,174815,0,0,0,0,0,0,0,59,1,1,0,0,1,0,0,518,0,0,1,0,0,56,0,56,1.645,3408.452,5804.175,6197.530,0.860,0.041,0,0,0,0,0,0,0,0
1766321386.515,79.560,11.255,9.056,0.129,0,0,2719744,0,0,672,0,0,0,1241133056,2555944960,4062363648,6757412864,17348,67382,11,0,42,3.470,5.560,5.440,3054,7173,73,0,55,0,17,0,61,0,3.470,5.560,5.440,1241133056,2555944960,4062363648,6757412864,13,0,42,0,60,0,0,0,1073737728,0,832,175018,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,10249,25100,10947,1,0,0,0,0,0,0,0,0,0
1766321387.515,79.058,14.267,6.675,0,0,0,0,0,0,336,0,0,0,1320181760,2476896256,4062363648,6678364160,17484,99271,9,0,0,3.470,5.560,5.440,1578,7162,4,0,0,0,1,0,2,0,3.470,5.560,5.440,1320181760,2476896256,4062363648,6678364160,10,0,0,0,0,0,0,0,1073737728,0,832,175018,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,13895,27257,6103,0,0,0,0,0,0,0,0,0,0
1766321388.515,75.718,18.277,6.005,0,0,0,0,0,0,336,0,0,0,1320890368,2476187648,4062363648,6677655552,24730,120743,16,0,0,3.470,5.560,5.440,3429,7280,2,0,0,0,1,0,2,0,3.470,5.560,5.440,1320890368,2476187648,4062363648,6677655552,14,0,0,0,0,0,0,0,1073737728,0,832,175017,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,2113,2145,4726,0,0,0,0,0,0,0,0,0,0
1766321389.515,73.578,24.779,1.643,0,0,0,0,0,0,0,0,0,0,1382899712,2414178304,4062363648,6615646208,22684,196544,13,0,0,3.470,5.560,5.440,653,7802,3,0,0,0,1,0,2,0,3.470,5.560,5.440,1382899712,2414178304,4062363648,6615646208,12,0,0,0,0,0,0,0,1073737728,0,832,175017,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,2180,21186,4861,0,0,0,0,0,0,0,0,0,0
1766321390.515,56.888,34.566,7.398,1.148,0,0,0,0,0,0,0,0,0,1412509696,2384560128,4062371840,6586036224,22524,333290,9,0,1,3.470,5.560,5.440,9549,7273,2,3,1578,0,2,0,5,0,3.470,5.560,5.440,1412509696,2384560128,4062371840,6586036224,11,0,1,0,0,0,0,0,1073737728,0,864,175017,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,417,11174,3207,21.600,0,0,0,0,0,0,0,0,0
1766321391.520,3.625,2.250,94.125,0,0,0,360448,0,0,0,0,0,0,1406386176,2390679552,4062375936,6592167936,3304,23072,0,0,1,3.270,5.480,5.420,1955,1018,29,0,5,0,26,0,6,0,3.270,5.480,5.420,1406386176,2390679552,4062375936,6592167936,0,0,1,0,2,0,0,0,1073737728,0,864,175002,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,137,130,1551,0.100,0,0,0,0,0,0,0,0,0
1766321392.517,0.251,0.126,99.623,0,0,0,0,0,0,0,0,0,0,1406382080,2390679552,4062380032,6592167936,278,360,0,0,0,3.270,5.480,5.420,140,127,6,0,0,0,2,0,2,0,3.270,5.480,5.420,1406382080,2390679552,4062380032,6592167936,0,0,0,0,0,0,0,0,1073737728,0,864,175002,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,0,44,24,0,0,0,0,0,0,0,0,0,0
1766321393.520,0.125,0.125,99.750,0,0,0,0,0,0,0,0,0,0,1406382080,2390679552,4062380032,6592167936,306,380,0,0,0,3.270,5.480,5.420,154,145,3,0,0,0,1,0,2,0,3.270,5.480,5.420,1406382080,2390679552,4062380032,6592167936,0,0,0,0,0,0,0,0,1073737728,0,864,175002,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,1,25,24,0,0,0,0,0,0,0,0,0,0
