"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","95fa636c3975",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251221125428/vertx-web-kotlinx-exposed-r2dbc-postgresql/db/stats.txt",,,,"Date:","21 Dec 2025 12:58:29 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766321909.581,17.027,6.198,76.684,0.092,0,2267123.341,20498483.147,774594.591,0,0,0,0,0,1209790464,2109001728,4516663296,6804803584,9047.508,42101.234,1,0,5.501,2.460,3.400,4.540,4492.348,2219.474,39.514,0.552,64.056,1.152,81.867,0.009,8.583,0.022,2.460,3.400,4.540,1209790464,2109001728,4516663296,6804803584,4,0,5.501,32.636,26.643,1.342,0,0,1073737728,0,896,181097,0,0,0,0,0,0,0,59,1,1,0,0,1,0,0,518,0,0,1,0,0,56,0,56,1.266,3045.854,5435.282,5683.243,0.783,0.031,0,0,0,0,0,0,0,0
1766321910.583,77.532,10.260,12.208,0,0,131072,3014656,0,0,672,0,0,0,1257955328,2060759040,4516741120,6756626432,16458,55934,10,0,38,2.460,3.400,4.540,3211,6924,73,0,53,0,17,0,53,0,2.460,3.400,4.540,1257955328,2060759040,4516741120,6756626432,10,0,38,2,51,0,0,0,1073737728,0,928,181282,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,1,10868,21615,13468,0.200,0,0,0,0,0,0,0,0,0
1766321911.582,79.949,14.467,5.584,0,0,0,0,0,0,336,0,0,0,1282949120,2035765248,4516741120,6731632640,17908,92748,11,0,0,3.140,3.520,4.570,2833,7515,2,0,0,0,1,0,2,0,3.140,3.520,4.570,1282949120,2035765248,4516741120,6731632640,10,0,0,0,0,0,0,0,1073737728,0,928,181282,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,5243,15541,3448,0,0,0,0,0,0,0,0,0,0
1766321912.582,65.077,20.876,14.046,0,0,0,0,0,0,336,0,0,0,1341874176,1976840192,4516741120,6672707584,32924,165110,7,0,0,3.140,3.520,4.570,17984,6808,2,0,0,0,1,0,2,0,3.140,3.520,4.570,1341874176,1976840192,4516741120,6672707584,9,0,0,0,0,0,0,0,1073737728,0,928,181281,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,1520,17944,6549,0,0,0,0,0,0,0,0,0,0
1766321913.582,40.140,21.259,38.601,0,0,0,0,0,0,0,0,0,0,1354715136,1963999232,4516741120,6659866624,75577,188772,2,0,0,3.140,3.520,4.570,67385,4816,3,0,0,0,1,0,2,0,3.140,3.520,4.570,1354715136,1963999232,4516741120,6659866624,2,0,0,0,0,0,0,0,1073737728,0,928,181281,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,58,9809,9293,0,0,0,0,0,0,0,0,0,0
1766321914.582,40.358,21.625,36.915,1.102,0,0,0,0,0,0,0,0,0,1349320704,1969385472,4516749312,6665252864,72901,189563,7,0,1,3.140,3.520,4.570,63421,4933,4,3,1437,0,2,0,5,0,3.140,3.520,4.570,1349320704,1969385472,4516749312,6665252864,6,0,1,0,0,0,0,0,1073737728,0,928,181281,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,128,3717,4197,18.600,0,0,0,0,0,0,0,0,0
1766321915.583,2.136,1.382,96.482,0,0,0,327680,0,0,0,0,0,0,1327792128,1990909952,4516753408,6686793728,5093,11407,0,0,1,3.140,3.520,4.570,4389,438,28,0,5,0,26,0,4,0,3.140,3.520,4.570,1327792128,1990909952,4516753408,6686793728,0,0,1,0,2,0,0,0,1073737728,0,928,181266,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,183,169,1577,0.200,0,0,0,0,0,0,0,0,0
1766321916.583,0.250,0.250,99.500,0,0,0,0,0,0,0,0,0,0,1330110464,1988587520,4516757504,6684471296,365,448,0,0,1,2.890,3.470,4.550,189,161,9,0,0,0,2,0,2,0,2.890,3.470,4.550,1330110464,1988587520,4516757504,6684471296,0,0,1,0,0,0,0,0,1073737728,0,928,181266,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,1107,562,506,0,0,0,0,0,0,0,0,0,0
1766321917.587,0.375,0.125,99.501,0,0,0,0,0,0,0,0,0,0,1330110464,1988587520,4516757504,6684475392,346,423,0,0,0,2.890,3.470,4.550,176,161,2,0,0,0,1,0,2,0,2.890,3.470,4.550,1330110464,1988587520,4516757504,6684475392,1,0,0,0,0,0,0,0,1073737728,0,928,181266,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,36,79,412,0,0,0,0,0,0,0,0,0,0
1766321918.585,0.501,0.125,99.373,0,0,0,0,0,0,0,0,0,0,1330102272,1988587520,4516765696,6684475392,346,405,0,0,0,2.890,3.470,4.550,164,170,2,0,0,0,3,0,2,0,2.890,3.470,4.550,1330102272,1988587520,4516765696,6684475392,0,0,0,0,0,0,0,0,1073737728,0,928,181266,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,4,29,24,0,0,0,0,0,0,0,0,0,0
1766321919.586,0.250,0.125,99.625,0,0,0,0,0,0,0,0,0,0,1330102272,1988587520,4516765696,6684475392,329,407,0,0,0,2.890,3.470,4.550,168,150,7,0,0,0,1,0,2,0,2.890,3.470,4.550,1330102272,1988587520,4516765696,6684475392,0,0,0,0,0,0,0,0,1073737728,0,928,181266,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,48,25,45,0,0,0,0,0,0,0,0,0,0
1766321920.582,54.910,31.783,13.307,0,0,0,163840,0,0,0,0,0,0,1370914816,1947447296,4516765696,6643683328,43856,192993,18,0,11,2.890,3.470,4.550,9211,7041,12,0,4,0,10,0,4,0,2.890,3.470,4.550,1370914816,1947447296,4516765696,6643683328,19,0,11,0,2,0,0,0,1073737728,0,1888,182290,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,1497,34682,21008,0.200,0,0,0,0,0,0,0,0,0
