"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","06975997f636",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251221130258/vertx-web-kotlinx-exposed-r2dbc-postgresql/db/stats.txt",,,,"Date:","21 Dec 2025 13:06:48 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766322408.957,17.242,6.503,76.170,0.085,0,1863945.857,20093638.412,633331.595,0,0,0,0,0,1442054144,1877590016,4503384064,6585921536,8522.808,45201.180,2,0,5.266,2.780,3.720,4.600,3905.074,2223.824,38.795,0.472,57.349,0.942,81.701,0.007,8.298,0.021,2.780,3.720,4.600,1446248448,1873395712,4503384064,6581727232,4,0,5.267,26.751,26.078,1.098,0,0,1073737728,0,2080,187598,0,0,0,0,0,0,0,59,1,1,0,0,1,0,0,518,0,0,1,0,0,56,0,56,1.049,2863.302,5288.156,5468.215,0.737,0.025,0,0,0,0,0,0,0,0
1766322409.957,76.637,9.628,13.607,0.128,0,65536,2719744,0,0,672,0,0,0,1505271808,1814290432,4503449600,6522691584,17454,51213,9,0,44,2.780,3.720,4.600,5807,6918,55,0,56,0,17,0,47,0,2.780,3.720,4.600,1505271808,1814290432,4503449600,6522691584,10,0,43,2,57,0,0,0,1073737728,0,2144,187791,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,10030,33565,20067,0.700,0,0,0,0,0,0,0,0,0
1766322410.957,69.301,14.896,15.803,0,0,0,0,0,0,336,0,0,0,1542049792,1777512448,4503449600,6485913600,29103,94901,6,0,1,2.780,3.720,4.600,16353,6635,5,0,0,0,1,0,2,0,2.780,3.720,4.600,1542049792,1777512448,4503449600,6485913600,6,0,1,0,0,0,0,0,1073737728,0,2144,187791,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,3572,18999,7384,0,0,0,0,0,0,0,0,0,0
1766322411.957,41.234,18.654,40.112,0,0,0,0,0,0,336,0,0,0,1542049792,1777512448,4503449600,6485913600,73957,167293,4,0,0,3.280,3.810,4.630,66501,4715,2,0,0,0,1,0,2,0,3.280,3.810,4.630,1542049792,1777512448,4503449600,6485913600,6,0,0,0,0,0,0,0,1073737728,0,2144,187790,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,52,1102,3631,0,0,0,0,0,0,0,0,0,0
1766322412.957,38.741,19.580,41.678,0,0,0,0,0,0,0,0,0,0,1533661184,1785901056,4503449600,6494302208,78313,176967,7,0,0,3.280,3.810,4.630,71441,4615,2,0,0,0,1,0,2,0,3.280,3.810,4.630,1533661184,1785901056,4503449600,6494302208,5,0,0,0,0,0,0,0,1073737728,0,2144,187790,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,17,43,4137,0,0,0,0,0,0,0,0,0,0
1766322413.957,38.182,20.140,40.559,1.119,0,0,0,0,0,0,0,0,0,1537847296,1781706752,4503457792,6490116096,78144,175584,3,0,1,3.280,3.810,4.630,69616,4634,3,3,1595,0,2,0,4,0,3.280,3.810,4.630,1537847296,1781706752,4503457792,6490116096,9,0,1,0,0,0,0,0,1073737728,0,2144,187790,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,355,4454,3680,16.400,0,0,0,0,0,0,0,0,0
1766322414.958,2.267,0.882,96.851,0,0,0,360448,0,0,0,0,0,0,1516003328,1803546624,4503461888,6511968256,5225,10935,0,0,1,3.280,3.810,4.630,4631,438,26,0,5,0,26,0,4,0,3.280,3.810,4.630,1516003328,1803546624,4503461888,6511968256,0,0,1,0,2,0,0,0,1073737728,0,2144,187775,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,150,136,2837,0.200,0,0,0,0,0,0,0,0,0
1766322415.963,0.125,0.125,99.751,0,0,0,0,0,0,0,0,0,0,1515999232,1803546624,4503465984,6511968256,374,437,0,0,0,3.020,3.750,4.600,178,185,7,0,0,0,2,0,2,0,3.020,3.750,4.600,1515999232,1803546624,4503465984,6511968256,0,0,0,0,0,0,0,0,1073737728,0,2144,187775,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,32,76,48,0,0,0,0,0,0,0,0,0,0
1766322416.961,0.125,0.125,99.749,0,0,0,0,0,0,0,0,0,0,1516515328,1803030528,4503465984,6511452160,300,373,0,0,0,3.020,3.750,4.600,148,144,5,0,0,0,1,0,2,0,3.020,3.750,4.600,1516515328,1803030528,4503465984,6511452160,0,0,0,0,0,0,0,0,1073737728,0,2144,187775,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,33,58,48,0,0,0,0,0,0,0,0,0,0
1766322417.963,0.250,0.125,99.625,0,0,0,0,0,0,0,0,0,0,1516507136,1803030528,4503474176,6511460352,326,400,0,0,0,3.020,3.750,4.600,166,151,2,0,0,0,3,0,2,0,3.020,3.750,4.600,1516507136,1803030528,4503474176,6511460352,0,0,0,0,0,0,0,0,1073737728,0,2144,187775,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,33,59,33,0,0,0,0,0,0,0,0,0,0
1766322418.963,0.376,0.125,99.499,0,0,0,0,0,0,0,0,0,0,1516765184,1802772480,4503474176,6511202304,550,643,0,0,0,3.020,3.750,4.600,283,256,6,0,0,0,1,0,2,0,3.020,3.750,4.600,1516765184,1802772480,4503474176,6511202304,0,0,0,0,0,0,0,0,1073737728,0,2144,187775,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,715,59,49,0,0,0,0,0,0,0,0,0,0
1766322419.958,61.204,29.577,9.219,0,0,0,131072,0,0,0,0,0,0,1551020032,1768124416,4503474176,6476959744,39600,156305,1,0,10,3.020,3.750,4.600,1448,7208,12,0,4,0,10,0,4,0,3.020,3.750,4.600,1551020032,1768124416,4503474176,6476959744,2,0,10,0,2,0,0,0,1073737728,0,3200,188799,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,3193,57159,35913,0.300,0,0,0,0,0,0,0,0,0
1766322420.957,64.385,33.333,2.281,0,0,0,0,0,0,0,0,0,0,1625001984,1694142464,4503474176,6402977792,41208,184796,30,0,1,3.020,3.750,4.600,1591,7796,3,0,0,0,1,0,2,0,3.020,3.750,4.600,1625001984,1694142464,4503474176,6402977792,38,0,1,0,0,0,0,0,1073737728,0,3264,188799,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,220,40646,17381,0,0,0,0,0,0,0,0,0,0
1766322421.957,65.195,32.282,2.522,0,0,0,0,0,0,0,0,0,0,1738895360,1580240896,4503482368,6289084416,36851,195696,19,0,0,5.580,4.260,4.770,2229,7759,2,0,0,0,3,0,2,0,5.580,4.260,4.770,1738895360,1580240896,4503482368,6289084416,25,0,0,0,0,0,0,0,1073737728,0,3264,188799,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,155,44674,19478,0,0,0,0,0,0,0,0,0,0
1766322422.957,64.981,32.364,2.655,0,0,0,0,0,0,0,0,0,0,1741094912,1578041344,4503482368,6286884864,33927,199902,30,0,0,5.580,4.260,4.770,2705,7758,2,0,0,0,1,0,2,0,5.580,4.260,4.770,1741094912,1578041344,4503482368,6286884864,58,0,0,0,0,0,0,0,1073737728,0,3264,188799,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,518,0,0,1,0,0,60,0,60,0,40,2133,2620,0,0,0,0,0,0,0,0,0,0
