"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","6272e6674edc",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251221140708/vertx-web-kotlinx-exposed-r2dbc-postgresql/db/stats.txt",,,,"Date:","21 Dec 2025 14:12:19 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766326339.205,9.187,0.800,89.852,0.161,0,8864589.487,29268637.169,5514274.562,0,0,0,0,0,1005867008,5282394112,1854373888,6675681280,3495.233,4979.710,0,0,13.498,3.490,1.910,0.810,1868.190,1291.186,45.161,2.771,94.878,8.392,52.481,0.058,10.545,0.054,3.490,1.910,0.810,1005867008,5282394112,1854373888,6675681280,0,0,13.498,41.946,39.722,9.550,0,0,1073737728,0,864,32134,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,8.852,4035.947,7891.384,12043.184,1.310,0.148,0,0,0,0,0,0,0,0
1766326340.206,70.849,21.166,7.858,0.127,0,6422528,5996544,0,0,672,0,0,0,1150197760,5137309696,1855094784,6531371008,23292,144415,13,0,36,3.490,1.910,0.810,3422,7402,75,0,73,0,17,0,55,0,3.490,1.910,0.810,1150197760,5137309696,1855094784,6531371008,13,0,36,13,60,0,0,0,1073737728,0,864,32305,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,6,4256,56757,22296,2.200,0,0,0,0,0,0,0,0,0
1766326341.206,54.509,24.536,20.955,0,0,0,983040,0,0,336,0,0,0,1154392064,5133115392,1855094784,6527176704,46806,218840,7,0,1,3.490,1.910,0.810,32483,6327,2,0,4,0,1,0,2,0,3.490,1.910,0.810,1154392064,5133115392,1855094784,6527176704,6,0,1,0,6,0,0,0,1073737728,0,864,32305,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,100,1138,1059,0.100,0,0,0,0,0,0,0,0,0
1766326342.206,39.804,21.508,38.687,0,0,0,0,0,0,336,0,0,0,1154392064,5133115392,1855094784,6527176704,76562,190712,7,0,0,3.370,1.910,0.820,67390,5001,2,0,0,0,1,0,2,0,3.370,1.910,0.820,1154392064,5133115392,1855094784,6527176704,6,0,0,0,0,0,0,0,1073737728,0,864,32304,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,12,32,2084,0,0,0,0,0,0,0,0,0,0
1766326343.206,39.916,21.569,38.515,0,0,0,0,0,0,0,0,0,0,1143906304,5143601152,1855094784,6537662464,77123,192701,9,0,0,3.370,1.910,0.820,67684,4956,3,0,0,0,1,0,2,0,3.370,1.910,0.820,1143906304,5143601152,1855094784,6537662464,7,0,0,0,0,0,0,0,1073737728,0,864,32304,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,6,28,2614,0,0,0,0,0,0,0,0,0,0
1766326344.206,39.580,22.098,38.322,0,0,0,2097152,0,0,0,0,0,0,1137606656,5149892608,1855102976,6543962112,76258,191534,6,0,0,3.370,1.910,0.820,67337,4797,2,0,8,0,2,0,2,0,3.370,1.910,0.820,1137606656,5149892608,1855102976,6543962112,2,0,0,0,14,0,0,0,1073737728,0,864,32304,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,11,36,2080,0.100,0,0,0,0,0,0,0,0,0
1766326345.207,2.393,1.259,96.348,0,0,557056,819200,0,0,0,0,0,0,1101471744,5185961984,1855168512,6580047872,5124,12298,0,0,1,3.370,1.910,0.820,4252,539,27,0,6,0,26,0,4,0,3.370,1.910,0.820,1101471744,5185961984,1855168512,6580047872,0,0,1,2,2,0,0,0,1073737728,0,864,32290,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,1,133,141,2662,0.200,0,0,0,0,0,0,0,0,0
1766326346.207,0.629,0.755,97.862,0.755,0,0,0,0,0,0,0,0,0,1102487552,5184942080,1855172608,6579027968,3399,4660,1,0,2,3.370,1.910,0.820,1884,721,2,3,769,0,2,0,4,0,3.370,1.910,0.820,1102487552,5184942080,1855172608,6579027968,1,0,2,0,0,0,0,0,1073737728,0,864,32290,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,157,634,86,5.600,0,0,0,0,0,0,0,0,0
1766326347.207,0.502,0.753,98.745,0,0,0,0,0,0,0,0,0,0,1102487552,5184942080,1855172608,6579027968,1661,2222,1,0,0,3.100,1.880,0.810,986,655,2,0,0,0,1,0,2,0,3.100,1.880,0.810,1102487552,5184942080,1855172608,6579027968,1,0,0,0,0,0,0,0,1073737728,0,864,32290,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,3,26,40,0,0,0,0,0,0,0,0,0,0
