"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","1a2a5ee3337f",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251221141627/vertx-web-kotlinx-exposed-r2dbc-postgresql/db/stats.txt",,,,"Date:","21 Dec 2025 14:29:26 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766327366.338,16.997,6.783,76.142,0.078,0,2099371.217,19423248.633,1286744.727,0,0,0,0,0,1181245440,3606519808,3292631040,6526300160,10700.473,32034.475,0,0,7.005,2.210,4.440,3.660,4095.650,2302.290,30.096,0.732,42.266,1.959,30.792,0.013,7.962,0.025,2.210,4.440,3.660,1181245440,3606519808,3292631040,6526300160,1,0,7.005,9.923,23.447,2.230,0,0,1073737728,0,928,43841,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,2096,0,0,1,0,0,112,0,112,2.076,2333.594,12438.457,13118.358,0.689,0.035,0,0,0,0,0,0,0,0
1766327367.339,64.258,19.355,16.387,0,0,0,5832704,0,0,672,0,0,0,1318350848,3469389824,3292655616,6389215232,32497,140327,7,0,40,2.840,4.530,3.690,13755,6697,78,0,60,0,17,0,51,0,2.840,4.530,3.690,1318350848,3469389824,3292655616,6389215232,8,0,40,0,58,0,0,0,1073737728,0,960,44036,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,2096,0,0,1,0,0,112,0,112,0,3181,56976,22885,0.600,0,0,0,0,0,0,0,0,0
1766327368.339,41.292,19.944,38.764,0,0,0,0,0,0,336,0,0,0,1318350848,3469389824,3292655616,6389215232,74565,185474,6,0,0,2.840,4.530,3.690,65330,4821,4,0,0,0,1,0,2,0,2.840,4.530,3.690,1318350848,3469389824,3292655616,6389215232,8,0,0,0,0,0,0,0,1073737728,0,960,44036,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,2096,0,0,1,0,0,112,0,112,0,31,53,565,0,0,0,0,0,0,0,0,0,0
1766327369.339,41.292,20.787,37.921,0,0,0,0,0,0,336,0,0,0,1312059392,3475681280,3292655616,6395506688,69698,172180,8,0,0,2.840,4.530,3.690,60628,4994,2,0,0,0,1,0,2,0,2.840,4.530,3.690,1312059392,3475681280,3292655616,6395506688,9,0,0,0,0,0,0,0,1073737728,0,960,44035,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,2096,0,0,1,0,0,112,0,112,0,14,39,2080,0,0,0,0,0,0,0,0,0,0
1766327370.339,41.608,21.862,36.530,0,0,0,2097152,0,0,0,0,0,0,1312059392,3475681280,3292655616,6395506688,71725,178026,7,0,0,2.840,4.530,3.690,62403,5090,3,0,11,0,1,0,2,0,2.840,4.530,3.690,1312059392,3475681280,3292655616,6395506688,10,0,0,0,14,0,0,0,1073737728,0,960,44035,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,2096,0,0,1,0,0,112,0,112,0,6,28,44,0.100,0,0,0,0,0,0,0,0,0
1766327371.339,40.896,22.409,36.695,0,0,0,0,0,0,0,0,0,0,1295224832,3492507648,3292663808,6412333056,74490,184791,6,0,0,2.840,4.530,3.690,65058,5089,4,0,0,0,2,0,2,0,2.840,4.530,3.690,1295224832,3492507648,3292663808,6412333056,8,0,0,0,0,0,0,0,1073737728,0,960,44035,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,2096,0,0,1,0,0,112,0,112,0,16,37,2594,0,0,0,0,0,0,0,0,0,0
1766327372.348,2.369,1.372,96.259,0,0,0,720896,0,0,0,0,0,0,1290579968,3497148416,3292667904,6416986112,5130,12056,0,0,1,2.610,4.450,3.670,4362,454,26,0,5,0,26,0,4,0,2.610,4.450,3.670,1290579968,3497148416,3292667904,6416986112,0,0,1,0,2,0,0,0,1073737728,0,960,44020,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,2096,0,0,1,0,0,112,0,112,0,133,117,1575,0.200,0,0,0,0,0,0,0,0,0
1766327373.342,0.252,0.378,98.865,0.504,0,0,2097152,0,0,0,0,0,0,1290575872,3497148416,3292672000,6416990208,1287,1767,0,0,1,2.610,4.450,3.670,645,204,2,3,423,0,2,0,4,0,2.610,4.450,3.670,1290575872,3497148416,3292672000,6416990208,0,0,1,0,11,0,0,0,1073737728,0,960,44020,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,2096,0,0,1,0,0,112,0,112,0,90,90,86,3.700,0,0,0,0,0,0,0,0,0
1766327374.338,0.376,0.251,99.373,0,0,0,0,0,0,0,0,0,0,1290575872,3497148416,3292672000,6416990208,476,597,0,0,0,2.610,4.450,3.670,265,202,4,0,0,0,1,0,2,0,2.610,4.450,3.670,1290575872,3497148416,3292672000,6416990208,0,0,0,0,0,0,0,0,1073737728,0,960,44020,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,2096,0,0,1,0,0,112,0,112,0,1,25,25,0,0,0,0,0,0,0,0,0,0
