"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","1a2a5ee3337f",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251221141627/vertx-web-kotlinx-exposed-r2dbc-postgresql/fortune/stats.txt",,,,"Date:","21 Dec 2025 14:35:30 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766327730.893,21.615,9.215,69.105,0.065,0,1650296.846,15994244.901,1011832.771,0,0,0,0,0,1975013376,2811092992,3294502912,5732474880,19362.189,59904.949,0,0,5.795,8.110,6.860,5.050,11951.625,2950.953,25.093,0.584,35.328,1.541,25.254,0.011,7.141,0.023,8.110,6.860,5.050,1975013376,2811092992,3294502912,5732474880,5,0,5.795,7.800,19.903,1.753,0,0,1073737728,0,896,43827,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,1.632,1995.851,10419.079,10834.143,0.602,0.027,0,0,0,0,0,0,0,0
1766327731.893,39.945,18.878,41.176,0,0,0,4227072,0,0,672,0,0,0,1976717312,2809356288,3294568448,5730902016,61236,156526,6,0,66,8.110,6.860,5.050,52245,4990,111,0,75,0,17,0,69,0,8.110,6.860,5.050,1976717312,2809356288,3294568448,5730902016,6,0,66,0,84,0,0,0,1073737728,0,896,44078,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,0,5447,13764,12377,0.800,0,0,0,0,0,0,0,0,0
1766327732.894,41.806,19.306,38.889,0,0,0,0,0,0,336,0,0,0,1970421760,2815647744,3294572544,5737193472,67184,164329,6,0,0,8.020,6.860,5.060,58584,4982,2,0,0,0,1,0,2,0,8.020,6.860,5.060,1970421760,2815647744,3294572544,5737193472,6,0,0,0,0,0,0,0,1073737728,0,896,44078,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,0,8,33,2598,0,0,0,0,0,0,0,0,0,0
1766327733.893,41.259,20,38.741,0,0,0,0,0,0,336,0,0,0,1957789696,2828279808,3294572544,5749825536,70135,172068,9,0,0,8.020,6.860,5.060,61519,4840,2,0,0,0,1,0,2,0,8.020,6.860,5.060,1957789696,2828279808,3294572544,5749825536,4,0,0,0,0,0,0,0,1073737728,0,896,44077,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,0,18,41,3629,0,0,0,0,0,0,0,0,0,0
1766327734.894,41.298,20.856,37.845,0,0,0,0,0,0,0,0,0,0,1949384704,2836684800,3294572544,5758230528,70864,172800,4,0,0,8.020,6.860,5.060,62312,4909,2,0,0,0,1,0,2,0,8.020,6.860,5.060,1949384704,2836684800,3294572544,5758230528,3,0,0,0,0,0,0,0,1073737728,0,896,44077,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,0,5,31,3533,0,0,0,0,0,0,0,0,0,0
1766327735.894,42.441,19.279,38.280,0,0,0,0,0,0,0,0,0,0,1949376512,2836684800,3294580736,5758238720,69871,173272,7,0,0,8.020,6.860,5.060,61490,4829,2,0,0,0,2,0,2,0,8.020,6.860,5.060,1949376512,2836684800,3294580736,5758238720,6,0,0,0,0,0,0,0,1073737728,0,896,44077,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,0,11,41,2591,0,0,0,0,0,0,0,0,0,0
1766327736.895,3.540,1.391,95.070,0,0,0,360448,0,0,0,0,0,0,1921060864,2864992256,3294588928,5786566656,6469,14250,0,0,1,8.020,6.860,5.060,5272,896,32,0,5,0,26,0,6,0,8.020,6.860,5.060,1921060864,2864992256,3294588928,5786566656,0,0,1,0,2,0,0,0,1073737728,0,896,44062,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,0,152,144,3622,0.100,0,0,0,0,0,0,0,0,0
1766327737.893,0.252,0.378,99.369,0,0,0,0,0,0,0,0,0,0,1918623744,2867425280,3294593024,5788999680,1807,2450,0,0,0,7.620,6.800,5.050,1107,671,2,0,0,0,2,0,11,0,7.620,6.800,5.050,1918623744,2867425280,3294593024,5788999680,0,0,0,0,0,0,0,0,1073737728,0,896,44062,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,0,6,29,49,0,0,0,0,0,0,0,0,0,0
1766327738.894,0.126,0.505,99.369,0,0,0,0,0,0,0,0,0,0,1918623744,2867425280,3294593024,5788999680,1895,2450,0,0,0,7.620,6.800,5.050,1147,724,2,0,0,0,1,0,2,0,7.620,6.800,5.050,1918623744,2867425280,3294593024,5788999680,0,0,0,0,0,0,0,0,1073737728,0,896,44062,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,0,1,25,24,0,0,0,0,0,0,0,0,0,0
