"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","1a2a5ee3337f",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251221141627/vertx-web-kotlinx-exposed-r2dbc-postgresql/query/stats.txt",,,,"Date:","21 Dec 2025 14:31:39 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766327499.125,18.843,7.882,73.202,0.072,0,1910046.135,17701378.326,1171104.335,0,0,0,0,0,1469964288,3317542912,3292770304,6237941760,14375.498,43780.728,0,0,6.490,7.750,5.910,4.310,7263.791,2562.993,28.040,0.669,39.077,1.783,28.458,0.012,7.622,0.024,7.750,5.910,4.310,1469964288,3317542912,3292770304,6237941760,1,0,6.490,9.028,21.697,2.029,0,0,1073737728,0,928,43836,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,1.889,2155.184,11578.586,12142.478,0.635,0.032,0,0,0,0,0,0,0,0
1766327500.126,42.445,18.407,39.148,0,0,32768,2949120,0,0,672,0,0,0,1467424768,3319992320,3292811264,6240485376,67521,168767,6,0,47,7.750,5.910,4.310,57945,5134,69,0,56,0,17,0,55,0,7.750,5.910,4.310,1467424768,3319992320,3292811264,6240485376,6,0,47,1,54,0,0,0,1073737728,0,992,44053,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,0,3259,9599,9379,0.500,0,0,0,0,0,0,0,0,0
1766327501.126,42.011,19.421,38.567,0,0,0,0,0,0,336,0,0,0,1461379072,3326038016,3292811264,6246531072,71154,174500,7,0,0,7.750,5.910,4.310,62406,5000,4,0,0,0,1,0,2,0,7.750,5.910,4.310,1461379072,3326038016,3292811264,6246531072,7,0,0,0,0,0,0,0,1073737728,0,992,44053,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,0,8,33,2607,0,0,0,0,0,0,0,0,0,0
1766327502.126,43.370,20.166,36.464,0,0,0,0,0,0,336,0,0,0,1463144448,3324272640,3292811264,6244765696,74576,183465,5,0,0,7.690,5.930,4.330,65084,5008,2,0,0,0,1,0,2,0,7.690,5.930,4.330,1463144448,3324272640,3292811264,6244765696,5,0,0,0,0,0,0,0,1073737728,0,992,44052,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,0,44,4131,5141,0,0,0,0,0,0,0,0,0,0
1766327503.126,42.164,20.804,37.032,0,0,0,0,0,0,0,0,0,0,1456852992,3330564096,3292811264,6251057152,74246,182478,7,0,0,7.690,5.930,4.330,64798,4957,2,0,0,0,1,0,2,0,7.690,5.930,4.330,1456852992,3330564096,3292811264,6251057152,7,0,0,0,0,0,0,0,1073737728,0,992,44052,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,0,4,28,2601,0,0,0,0,0,0,0,0,0,0
1766327504.126,42.739,20.747,36.515,0,0,0,0,0,0,0,0,0,0,1446584320,3340824576,3292819456,6261317632,74124,184374,8,0,1,7.690,5.930,4.330,64742,5075,2,0,0,0,2,0,2,0,7.690,5.930,4.330,1446584320,3340824576,3292819456,6261317632,8,0,1,0,0,0,0,0,1073737728,0,992,44052,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,0,1068,508,3578,0,0,0,0,0,0,0,0,0,0
1766327505.126,2.788,1.648,95.437,0.127,0,0,360448,0,0,0,0,0,0,1438044160,3349356544,3292827648,6269857792,7041,15308,0,0,1,7.690,5.930,4.330,5732,985,7,0,5,0,26,0,4,0,7.690,5.930,4.330,1438044160,3349356544,3292827648,6269857792,0,0,1,0,2,0,0,0,1073737728,0,992,44037,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,0,127,110,1545,0.200,0,0,0,0,0,0,0,0,0
1766327506.129,0.503,0.503,98.995,0,0,0,0,0,0,0,0,0,0,1427243008,3360153600,3292831744,6280654848,1785,2364,0,0,1,7.690,5.930,4.330,1091,664,4,0,0,0,2,0,2,0,7.690,5.930,4.330,1427243008,3360153600,3292831744,6280654848,1,0,1,0,0,0,0,0,1073737728,0,992,44037,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,0,39,133,3375,0,0,0,0,0,0,0,0,0,0
1766327507.126,0.252,0.378,99.369,0,0,0,0,0,0,0,0,0,0,1427243008,3360153600,3292831744,6280654848,1693,2270,0,0,0,7.230,5.870,4.320,1055,624,2,0,0,0,1,0,2,0,7.230,5.870,4.320,1427243008,3360153600,3292831744,6280654848,0,0,0,0,0,0,0,0,1073737728,0,992,44037,0,0,0,0,0,0,0,115,1,1,0,0,1,0,0,0,0,0,1,0,0,112,0,112,0,3,26,24,0,0,0,0,0,0,0,0,0,0
