"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","1a2a5ee3337f",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251221141627/vertx-web-kotlinx-postgresql/fortune/stats.txt",,,,"Date:","21 Dec 2025 14:55:00 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766328900.400,25.246,10.675,64.017,0.062,0,1105986.835,20708587.512,678808.507,0,0,0,0,0,1457901568,2609131520,3984105472,6269587456,18889.180,64544.965,1,0,5.600,11.500,9.960,7.240,10442.681,3253.702,23.548,0.428,32.644,1.034,25.371,0.007,7.277,0.021,11.500,9.960,7.240,1462083584,2604949504,3984105472,6265405440,1,0,5.600,5.229,21.466,1.177,0,0,1073737728,0,864,48946,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,1.094,1935.494,9469.484,9725.214,0.731,0.018,0,0,0,0,0,0,0,0
1766328901.401,41.746,21.692,36.426,0.136,0,0,3047424,0,0,672,0,0,0,1461276672,2605711360,3984134144,6266224640,68364,197099,8,0,50,11.500,9.960,7.240,57377,5123,56,0,53,0,16,0,60,0,11.500,9.960,7.240,1461276672,2605711360,3984134144,6266224640,7,0,50,0,57,0,0,0,1073737728,0,864,49157,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,3714,9878,12171,0.900,0,0,0,0,0,0,0,0,0
1766328902.401,36.769,22.006,41.226,0,0,0,0,0,0,336,0,0,0,1450790912,2616197120,3984134144,6276710400,78545,193442,7,0,0,11.500,9.960,7.240,68970,4651,4,0,0,0,1,0,2,1,11.500,9.960,7.240,1450790912,2616197120,3984134144,6276710400,8,0,0,0,0,0,0,0,1073737728,0,864,49157,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,7,34,2852,0,0,0,0,0,0,0,0,0,0
1766328903.401,37.571,22.881,39.548,0,0,0,0,0,0,336,0,0,0,1443680256,2623307776,3984134144,6283821056,82208,203085,3,0,0,11.060,9.890,7.230,71934,4776,2,0,0,0,1,0,2,0,11.060,9.890,7.230,1443680256,2623307776,3984134144,6283821056,8,0,0,0,0,0,0,0,1073737728,0,864,49156,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,25,195,7165,0,0,0,0,0,0,0,0,0,0
1766328904.401,37.675,22.829,39.496,0,0,0,0,0,0,0,0,0,0,1420054528,2646933504,3984134144,6307446784,81857,202635,6,0,0,11.060,9.890,7.230,71505,4788,4,0,0,0,1,0,2,0,11.060,9.890,7.230,1420054528,2646933504,3984134144,6307446784,7,0,0,0,0,0,0,0,1073737728,0,864,49156,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,7,32,4136,0,0,0,0,0,0,0,0,0,0
1766328905.401,37.759,23.513,38.728,0,0,0,0,0,0,0,0,0,0,1393262592,2673717248,3984142336,6334238720,79300,206026,8,0,0,11.060,9.890,7.230,69263,4860,6,0,0,0,2,0,2,0,11.060,9.890,7.230,1393262592,2673717248,3984142336,6334238720,8,0,0,0,0,0,0,0,1073737728,0,864,49156,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,7,46,5171,0,0,0,0,0,0,0,0,0,0
1766328906.402,5.934,3.788,90.278,0,0,0,360448,0,0,0,0,0,0,1355804672,2711171072,3984146432,6371692544,8847,35213,0,0,1,11.060,9.890,7.230,7053,941,22,0,5,0,26,0,4,0,11.060,9.890,7.230,1355804672,2711171072,3984146432,6371692544,0,0,1,0,2,0,0,0,1073737728,0,864,49141,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,137,122,3100,0.100,0,0,0,0,0,0,0,0,0
1766328907.406,0.125,0.125,99.750,0,0,0,0,0,0,0,0,0,0,1359441920,2707529728,3984150528,6368067584,319,367,0,0,0,11.060,9.890,7.230,180,133,2,0,0,0,2,0,2,0,11.060,9.890,7.230,1359441920,2707529728,3984150528,6368067584,0,0,0,0,0,0,0,0,1073737728,0,864,49141,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,0,2074,1563,0,0,0,0,0,0,0,0,0,0
1766328908.402,0.376,0,99.624,0,0,0,0,0,0,0,0,0,0,1357078528,2709893120,3984150528,6370430976,347,456,0,0,0,10.330,9.760,7.200,171,160,2,0,0,0,1,0,11,0,10.330,9.760,7.200,1357078528,2709893120,3984150528,6370430976,0,0,0,0,0,0,0,0,1073737728,0,864,49141,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,1,25,24,0,0,0,0,0,0,0,0,0,0
1766328909.406,0.498,0.125,99.377,0,0,0,0,0,0,0,0,0,0,1357328384,2709635072,3984158720,6370172928,315,365,0,0,0,10.330,9.760,7.200,151,155,2,0,0,0,3,0,2,0,10.330,9.760,7.200,1357328384,2709635072,3984158720,6370172928,0,0,0,0,0,0,0,0,1073737728,0,864,49141,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,6,31,26,0,0,0,0,0,0,0,0,0,0
