"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","1a2a5ee3337f",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251221141627/vertx-web-kotlinx-postgresql/update/stats.txt",,,,"Date:","21 Dec 2025 14:47:34 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766328454.112,23.831,10.189,65.919,0.060,0,1158773.719,15310663.034,711206.891,0,0,0,0,0,1573875712,2490068992,3987210240,6154203136,18777.389,62292.002,1,0,5.800,12.910,9.370,6.720,10686.905,3119.240,24.338,0.446,32.327,1.083,26.342,0.007,7.412,0.021,12.910,9.370,6.720,1573875712,2490068992,3987210240,6154203136,0,0,5.800,5.479,20.367,1.233,0,0,1073737728,0,800,48898,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,1.146,1993.502,9432.342,9689.088,0.539,0.019,0,0,0,0,0,0,0,0
1766328455.113,48.803,18.085,32.979,0.133,0,0,43843584,0,0,672,0,0,0,1594998784,2468093952,3988062208,6132523008,51718,140134,6,0,42,12.910,9.370,6.720,39355,5398,54,0,67,0,17,0,59,0,12.910,9.370,6.720,1594998784,2468093952,3988062208,6132523008,7,0,42,0,72,0,0,0,1073737728,0,864,49095,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,20119,11742,9182,1.800,0,0,0,0,0,0,0,0,0
1766328456.113,39.806,19.556,40.638,0,0,0,46202880,0,0,336,0,0,0,1594408960,2468093952,3988652032,6132797440,67788,166996,6,0,0,12.910,9.370,6.720,57852,4649,2,0,12,0,1,0,2,0,12.910,9.370,6.720,1594408960,2468093952,3988652032,6132797440,9,0,0,0,15,0,0,0,1073737728,0,864,49095,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,5442,170,24,0.600,0,0,0,0,0,0,0,0,0
1766328457.113,41.393,20.219,38.388,0,0,0,33554432,0,0,336,0,0,0,1594228736,2468093952,3988832256,6132830208,69408,171348,7,0,0,12.360,9.310,6.710,58950,4858,2,0,10,0,1,0,2,0,12.360,9.310,6.710,1594228736,2468093952,3988832256,6132830208,10,0,0,0,10,0,0,0,1073737728,0,864,49094,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,265,71,32,0.500,0,0,0,0,0,0,0,0,0
1766328458.113,40.715,20.633,38.514,0.138,0,0,173178880,0,0,0,0,0,0,1591984128,2470240256,3988930560,6135115776,68771,169649,10,0,0,12.360,9.310,6.710,58274,4856,2,0,25,0,1,0,11,0,12.360,9.310,6.710,1591984128,2470240256,3988930560,6135115776,7,0,0,0,38,0,0,0,1073737728,0,864,49095,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,610,4688,6184,2.600,0,0,0,0,0,0,0,0,0
1766328459.113,40.966,20.276,38.759,0,0,0,37224448,0,0,0,0,0,0,1591910400,2470240256,3989004288,6135115776,68374,171816,6,0,0,12.360,9.310,6.710,57939,4830,2,0,12,0,2,0,2,0,12.360,9.310,6.710,1591910400,2470240256,3989004288,6135115776,8,0,0,0,13,0,0,0,1073737728,0,864,49095,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,41,46,25,0.400,0,0,0,0,0,0,0,0,0
1766328460.113,2.384,1.129,96.487,0,0,0,5373952,0,0,0,0,0,0,1579212800,2482925568,3989016576,6147805184,3877,9542,0,0,1,12.360,9.310,6.710,3032,470,39,0,4,0,28,0,6,0,12.360,9.310,6.710,1579212800,2482925568,3989016576,6147805184,0,0,1,0,4,0,0,0,1073737728,0,864,49080,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,248,239,1965,0.100,0,0,0,0,0,0,0,0,0
1766328461.116,0.249,0.125,99.626,0,0,0,0,0,0,0,0,0,0,1579466752,2482667520,3989020672,6147547136,285,344,0,0,0,12.360,9.310,6.710,145,139,2,0,0,0,2,0,2,0,12.360,9.310,6.710,1579466752,2482667520,3989020672,6147547136,0,0,0,0,0,0,0,0,1073737728,0,864,49080,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,7,30,24,0,0,0,0,0,0,0,0,0,0
1766328462.121,0.498,0.249,99.129,0.124,0,0,720896,0,0,0,0,0,0,1583321088,2478796800,3989037056,6143684608,389,434,0,0,1,11.370,9.160,6.680,189,181,4,0,4,0,1,0,2,0,11.370,9.160,6.680,1583321088,2478796800,3989037056,6143684608,0,0,1,0,4,0,0,0,1073737728,0,896,49080,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,1884,814,810,0.100,0,0,0,0,0,0,0,0,0
1766328463.113,0.126,0.126,99.747,0,0,0,196608,0,0,0,0,0,0,1583312896,2478796800,3989045248,6143684608,292,375,0,0,0,11.370,9.160,6.680,147,132,2,0,4,0,3,0,2,0,11.370,9.160,6.680,1583312896,2478796800,3989045248,6143684608,0,0,0,0,2,0,0,0,1073737728,0,896,49080,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,2,29,24,0.100,0,0,0,0,0,0,0,0,0
1766328464.115,0.250,0.250,99.124,0.375,0,0,0,0,0,0,0,0,0,1584074752,2478034944,3989045248,6142930944,1252,1787,0,0,1,11.370,9.160,6.680,635,161,2,3,443,0,1,0,4,0,11.370,9.160,6.680,1584074752,2478034944,3989045248,6142930944,0,0,1,0,0,0,0,0,1073737728,0,896,49080,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,86,86,106,3.700,0,0,0,0,0,0,0,0,0
1766328465.113,63.085,24.399,12.389,0.126,0,0,214728704,0,0,0,0,0,0,1598935040,2462765056,3989274624,6127869952,31925,65868,11,0,10,11.370,9.160,6.680,5119,7027,16,0,31,0,10,0,4,0,11.370,9.160,6.680,1598935040,2462765056,3989274624,6127869952,11,0,10,0,52,0,0,0,1073737728,0,1792,50105,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,1357,13611,10891,4,0,0,0,0,0,0,0,0,0
1766328466.114,67.217,26.684,6.099,0,0,0,91357184,0,0,0,0,0,0,1571336192,2490093568,3989544960,6155395072,35124,86336,16,0,0,11.370,9.160,6.680,4518,7478,2,0,22,0,1,0,2,0,11.370,9.160,6.680,1571336192,2490093568,3989544960,6155395072,16,0,0,0,27,0,0,0,1073737728,0,1792,50106,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,594,7493,10306,2.700,0,0,0,0,0,0,0,0,0
1766328467.113,66.793,25.758,7.323,0.126,0,0,234258432,0,0,0,0,0,0,1570725888,2490433536,3989815296,6155988992,33487,79980,15,1,0,12.220,9.370,6.760,5755,7397,6,0,37,0,3,0,2,0,12.220,9.370,6.760,1570725888,2490433536,3989815296,6155988992,16,1,0,0,63,0,0,0,1073737728,0,1792,50107,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,186,11624,11577,5.100,0,0,0,0,0,0,0,0,0
1766328468.113,67.132,25.254,7.614,0,0,0,218660864,0,0,0,0,0,0,1549369344,2511536128,3990069248,6177288192,32784,75604,17,0,0,12.220,9.370,6.760,6093,7365,4,0,36,0,1,0,2,0,12.220,9.370,6.760,1549369344,2511536128,3990069248,6177288192,18,0,0,0,58,0,0,0,1073737728,0,1792,50109,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,170,11278,14787,6,0,0,0,0,0,0,0,0,0
1766328469.113,67.090,25.921,6.861,0.127,0,0,100597760,0,0,0,0,0,0,1550245888,2525323264,3975405568,6176305152,31445,72124,18,0,0,12.220,9.370,6.760,5475,7401,2,0,24,0,1,0,2,0,12.220,9.370,6.760,1550245888,2525323264,3975405568,6176305152,16,0,0,0,28,0,0,0,1073737728,0,1792,50111,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,175,12006,15520,2.700,0,0,0,0,0,0,0,0,0
1766328470.113,65.816,27.423,6.505,0.255,0,0,228491264,0,0,0,0,0,0,1531883520,2528456704,3990634496,6194647040,28749,86773,13,0,0,12.220,9.370,6.760,5163,7385,4,0,55,0,1,0,2,0,12.220,9.370,6.760,1531883520,2528456704,3990634496,6194647040,14,0,0,0,97,0,0,0,1073737728,0,1792,50112,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,149,7848,7785,5.300,0,0,0,0,0,0,0,0,0
1766328471.113,66.962,26.709,6.329,0,0,0,227377152,0,0,0,0,0,0,1525149696,2534920192,3990904832,6201421824,32718,74860,8,0,0,12.220,9.370,6.760,5162,7463,2,0,40,0,3,0,2,0,12.220,9.370,6.760,1525149696,2534920192,3990904832,6201421824,8,0,0,0,63,0,0,0,1073737728,0,1792,50114,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,111,11577,14516,4.300,0,0,0,0,0,0,0,0,0
