"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","1a2a5ee3337f",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251221141627/vertx-web-kotlinx-r2dbc-postgresql/db/stats.txt",,,,"Date:","21 Dec 2025 15:02:02 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766329322.443,24.835,10.438,64.664,0.063,0,948736.818,20772323.197,582281.687,0,0,0,0,0,1021104128,2266861568,4730994688,6728065024,17781.255,62012.328,1,0,5.827,2.310,5.810,6.540,9293.016,3175.199,24.401,0.387,32.668,0.887,25.679,0.006,7.381,0.020,2.310,5.810,6.540,1021104128,2266861568,4730994688,6728065024,1,0,5.827,4.486,22.186,1.010,0,0,1073737728,0,896,55292,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,1579,0,0,1,0,0,124,0,124,0.939,2010.668,9690.362,9886.866,0.714,0.016,0,0,0,0,0,0,0,0
1766329323.444,64.578,28.517,6.777,0.128,0,0,2850816,0,0,672,0,0,0,1109381120,2178551808,4731109376,6639779840,14931,237867,14,0,45,3.490,6,6.590,2142,7410,56,0,57,0,17,0,42,0,3.490,6,6.590,1109381120,2178551808,4731109376,6639779840,14,0,45,0,57,0,0,0,1073737728,0,928,55496,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,1579,0,0,1,0,0,124,0,124,0,4357,41543,23937,0.800,0,0,0,0,0,0,0,0,0
1766329324.444,47.826,48.593,3.581,0,0,0,0,0,0,336,0,0,0,1214812160,2073120768,4731109376,6534348800,13430,472748,15,0,0,3.490,6,6.590,3627,7575,2,0,0,0,1,0,2,0,3.490,6,6.590,1214812160,2073120768,4731109376,6534348800,14,0,0,0,0,0,0,0,1073737728,0,928,55496,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,1579,0,0,1,0,0,124,0,124,0,683,48838,23244,0,0,0,0,0,0,0,0,0,0
1766329325.444,46.253,50.517,3.230,0,0,0,0,0,0,336,0,0,0,1184800768,2103132160,4731109376,6564360192,10870,482581,10,0,0,3.490,6,6.590,2158,7515,4,0,0,0,1,0,2,0,3.490,6,6.590,1184800768,2103132160,4731109376,6564360192,9,0,0,0,0,0,0,0,1073737728,0,928,55495,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,1579,0,0,1,0,0,124,0,124,0,74,100,5677,0,0,0,0,0,0,0,0,0,0
1766329326.444,46.253,49.871,3.876,0,0,0,0,0,0,0,0,0,0,1163853824,2124079104,4731109376,6585307136,10330,484855,14,0,0,3.490,6,6.590,1883,7463,4,0,0,0,1,0,2,0,3.490,6,6.590,1163853824,2124079104,4731109376,6585307136,10,0,0,0,0,0,0,0,1073737728,0,928,55495,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,1579,0,0,1,0,0,124,0,124,0,32,58,5168,0,0,0,0,0,0,0,0,0,0
1766329327.444,46.903,50.822,2.276,0,0,0,0,0,0,0,0,0,0,1145098240,2142826496,4731117568,6604062720,12507,488798,9,0,0,3.490,6,6.590,3040,7764,2,0,0,0,2,0,2,0,3.490,6,6.590,1145098240,2142826496,4731117568,6604062720,11,0,0,0,0,0,0,0,1073737728,0,928,55495,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,1579,0,0,1,0,0,124,0,124,0,37,62,3627,0,0,0,0,0,0,0,0,0,0
1766329328.449,3.741,3.367,92.893,0,0,0,360448,0,0,0,0,0,0,1130008576,2157912064,4731121664,6619152384,4194,36774,0,0,1,3.210,5.900,6.560,3399,717,23,0,5,0,26,0,13,0,3.210,5.900,6.560,1130008576,2157912064,4731121664,6619152384,0,0,1,0,2,0,0,0,1073737728,0,928,55480,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,1579,0,0,1,0,0,124,0,124,0,166,150,3091,0.100,0,0,0,0,0,0,0,0,0
1766329329.451,0.249,0.249,99.501,0,0,0,0,0,0,0,0,0,0,1130512384,2157408256,4731121664,6618648576,289,370,0,0,0,3.210,5.900,6.560,150,131,2,0,0,0,1,0,2,0,3.210,5.900,6.560,1130512384,2157408256,4731121664,6618648576,0,0,0,0,0,0,0,0,1073737728,0,928,55480,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,1579,0,0,1,0,0,124,0,124,0,39,62,25,0,0,0,0,0,0,0,0,0,0
1766329330.449,0.126,0.126,99.748,0,0,0,0,0,0,0,0,0,0,1131020288,2156896256,4731125760,6618136576,302,369,0,0,0,3.210,5.900,6.560,152,137,9,0,0,0,2,0,2,0,3.210,5.900,6.560,1131020288,2156896256,4731125760,6618136576,0,0,0,0,0,0,0,0,1073737728,0,928,55480,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,1579,0,0,1,0,0,124,0,124,0,40,86,24,0,0,0,0,0,0,0,0,0,0
