"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","1a2a5ee3337f",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251221141627/vertx-web-kotlinx-r2dbc-postgresql/fortune/stats.txt",,,,"Date:","21 Dec 2025 15:28:28 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766330908.564,26.210,11.813,61.918,0.059,0,875279.809,19183178.638,537197.876,0,0,0,0,0,1570398208,1717202944,4731244544,6179344384,18803.670,73977.042,2,0,5.494,9.560,9.160,7.830,9757.354,3384.310,23.084,0.361,30.698,0.819,24.076,0.006,7.138,0.020,9.560,9.160,7.830,1570398208,1717202944,4731244544,6179344384,1,0,5.495,4.138,20.737,0.931,0,0,1073737728,0,896,55314,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,0,0,0,1,0,0,124,0,124,0.866,1900.081,9347.979,9484.379,0.666,0.015,0,0,0,0,0,0,0,0
1766330909.565,57.812,19.531,22.656,0,0,0,2916352,0,0,672,0,0,0,1554952192,1732620288,4731273216,6194802688,31118,160669,4,0,45,9.560,9.160,7.830,18521,6224,67,0,56,0,17,0,57,0,9.560,9.160,7.830,1554952192,1732620288,4731273216,6194802688,7,0,44,0,57,0,0,0,1073737728,0,928,55522,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,0,0,0,1,0,0,124,0,124,0,5199,11402,16909,0.500,0,0,0,0,0,0,0,0,0
1766330910.565,37.640,23.315,39.045,0,0,0,0,0,0,336,0,0,0,1548148736,1739423744,4731273216,6201606144,72913,185714,8,0,0,9.350,9.130,7.830,64169,4782,2,0,0,0,1,0,2,0,9.350,9.130,7.830,1548148736,1739423744,4731273216,6201606144,7,0,0,0,0,0,0,0,1073737728,0,928,55522,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,0,0,0,1,0,0,124,0,124,0,37,4126,9999,0,0,0,0,0,0,0,0,0,0
1766330911.565,38.364,24.118,37.518,0,0,0,0,0,0,336,0,0,0,1539760128,1747812352,4731273216,6209994752,72080,187613,6,0,0,9.350,9.130,7.830,62900,4848,2,0,0,0,1,0,2,0,9.350,9.130,7.830,1539760128,1747812352,4731273216,6209994752,8,0,0,0,0,0,0,0,1073737728,0,928,55521,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,0,0,0,1,0,0,124,0,124,0,15,37,4656,0,0,0,0,0,0,0,0,0,0
1766330912.565,39.470,24.268,36.262,0,0,0,0,0,0,0,0,0,0,1506844672,1780727808,4731273216,6242910208,70102,192099,9,0,0,9.350,9.130,7.830,60707,4999,4,0,0,0,1,0,2,0,9.350,9.130,7.830,1506844672,1780727808,4731273216,6242910208,8,0,0,0,0,0,0,0,1073737728,0,928,55521,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,0,0,0,1,0,0,124,0,124,0,2,27,3652,0,0,0,0,0,0,0,0,0,0
1766330913.565,39.833,24.373,35.794,0,0,0,0,0,0,0,0,0,0,1498656768,1788907520,4731281408,6251089920,65002,197127,7,0,0,9.350,9.130,7.830,55827,4998,4,0,0,0,2,0,2,0,9.350,9.130,7.830,1498656768,1788907520,4731281408,6251089920,5,0,0,0,0,0,0,0,1073737728,0,928,55521,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,0,0,0,1,0,0,124,0,124,0,10,36,1566,0,0,0,0,0,0,0,0,0,0
1766330914.573,4.924,3.030,92.045,0,0,0,393216,0,0,0,0,0,0,1474629632,1812926464,4731289600,6275108864,12549,29452,0,0,1,9.350,9.130,7.830,11482,795,22,0,5,0,26,0,4,0,9.350,9.130,7.830,1474629632,1812926464,4731289600,6275108864,0,0,1,0,2,0,0,0,1073737728,0,928,55506,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,0,0,0,1,0,0,124,0,124,0,159,145,2068,0.100,0,0,0,0,0,0,0,0,0
1766330915.565,0.126,0,99.874,0,0,0,0,0,0,0,0,0,0,1474629632,1812926464,4731289600,6275108864,329,439,0,0,0,8.600,8.970,7.790,183,137,4,0,0,0,1,0,2,1,8.600,8.970,7.790,1474629632,1812926464,4731289600,6275108864,0,0,0,0,0,0,0,0,1073737728,0,928,55506,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,0,0,0,1,0,0,124,0,124,0,25,52,26,0,0,0,0,0,0,0,0,0,0
1766330916.565,0.125,0.250,99.625,0,0,0,0,0,0,0,0,0,0,1474859008,1812692992,4731293696,6274875392,303,392,1,0,1,8.600,8.970,7.790,145,151,2,0,0,0,2,0,2,0,8.600,8.970,7.790,1474859008,1812692992,4731293696,6274875392,1,0,1,0,0,0,0,0,1073737728,0,928,55506,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,0,0,0,1,0,0,124,0,124,0,1062,504,438,0,0,0,0,0,0,0,0,0,0
1766330917.572,0.497,0.124,99.379,0,0,0,0,0,0,0,0,0,0,1475133440,1812410368,4731301888,6274592768,400,495,0,0,0,8.600,8.970,7.790,214,176,2,0,0,0,3,0,2,0,8.600,8.970,7.790,1475133440,1812410368,4731301888,6274592768,0,0,0,0,0,0,0,0,1073737728,0,928,55506,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,0,0,0,1,0,0,124,0,124,0,10,36,87,0,0,0,0,0,0,0,0,0,0
