"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","1a2a5ee3337f",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251221141627/vertx-web-kotlinx-r2dbc-postgresql/query/stats.txt",,,,"Date:","21 Dec 2025 15:10:04 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766329804.896,25.674,11.397,62.868,0.061,0,908064.945,19894261.847,557319.562,0,0,0,0,0,1274757120,2012954624,4731166720,6474731520,18005.849,69799.033,2,0,5.645,13.520,8.850,7.550,9080.518,3302.624,23.702,0.372,31.569,0.849,24.790,0.006,7.247,0.020,13.520,8.850,7.550,1275002880,2012708864,4731166720,6474485760,2,0,5.646,4.293,21.398,0.966,0,0,1073737728,0,928,55287,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,0,0,0,1,0,0,124,0,124,0.899,1939.597,9520.031,9684.039,0.687,0.015,0,0,0,0,0,0,0,0
1766329805.897,38.820,22.771,38.409,0,0,0,2981888,0,0,672,0,0,0,1281794048,2005884928,4731199488,6467698688,71049,198744,7,0,50,13.520,8.850,7.550,60987,5024,58,0,55,0,17,0,59,0,13.520,8.850,7.550,1281794048,2005884928,4731199488,6467698688,7,0,47,0,57,0,0,0,1073737728,0,960,55506,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,0,0,0,1,0,0,124,0,124,0,2947,8327,10855,0.300,0,0,0,0,0,0,0,0,0
1766329806.897,37.032,23.856,39.112,0,0,0,0,0,0,336,0,0,0,1281794048,2005884928,4731199488,6467698688,77370,213308,6,0,0,13.520,8.850,7.550,68397,4842,2,0,0,0,1,0,2,0,13.520,8.850,7.550,1281794048,2005884928,4731199488,6467698688,5,0,0,0,0,0,0,0,1073737728,0,960,55506,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,0,0,0,1,0,0,124,0,124,0,45,60,1565,0,0,0,0,0,0,0,0,0,0
1766329807.897,37.917,25.139,36.944,0,0,0,0,0,0,336,0,0,0,1262919680,2024759296,4731199488,6486573056,76628,217504,6,0,0,12.920,8.800,7.540,67201,4982,2,0,0,0,1,0,2,0,12.920,8.800,7.540,1262919680,2024759296,4731199488,6486573056,8,0,0,0,0,0,0,0,1073737728,0,960,55505,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,0,0,0,1,0,0,124,0,124,0,11,35,3116,0,0,0,0,0,0,0,0,0,0
1766329808.897,37.845,26.243,35.912,0,0,0,0,0,0,0,0,0,0,1252982784,2034696192,4731199488,6496509952,74526,218714,6,0,1,12.920,8.800,7.540,64984,5097,2,0,0,0,1,0,2,0,12.920,8.800,7.540,1252982784,2034696192,4731199488,6496509952,8,0,1,0,0,0,0,0,1073737728,0,960,55505,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,0,0,0,1,0,0,124,0,124,0,1074,510,3074,0,0,0,0,0,0,0,0,0,0
1766329809.897,38.579,26.045,35.376,0,0,0,0,0,0,0,0,0,0,1244585984,2043084800,4731207680,6504906752,74256,223574,5,0,0,12.920,8.800,7.540,64692,5073,2,0,0,0,2,0,2,0,12.920,8.800,7.540,1244585984,2043084800,4731207680,6504906752,5,0,0,0,0,0,0,0,1073737728,0,960,55505,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,0,0,0,1,0,0,124,0,124,0,15,554,2986,0,0,0,0,0,0,0,0,0,0
1766329810.897,4.841,3.694,91.465,0,0,0,393216,0,0,0,0,0,0,1233158144,2054504448,4731215872,6516326400,11562,34729,0,0,1,12.920,8.800,7.540,10281,856,24,0,5,0,26,0,4,0,12.920,8.800,7.540,1233158144,2054504448,4731215872,6516326400,0,0,1,0,2,0,0,0,1073737728,0,960,55490,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,0,0,0,1,0,0,124,0,124,0,125,111,1547,0.100,0,0,0,0,0,0,0,0,0
1766329811.899,0.375,0.125,99.500,0,0,0,0,0,0,0,0,0,0,1233412096,2054246400,4731219968,6516068352,301,358,0,0,0,12.920,8.800,7.540,140,154,2,0,0,0,2,0,2,0,12.920,8.800,7.540,1233412096,2054246400,4731219968,6516068352,0,0,0,0,0,0,0,0,1073737728,0,960,55490,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,0,0,0,1,0,0,124,0,124,0,4,28,24,0,0,0,0,0,0,0,0,0,0
1766329812.902,0.249,0.125,99.626,0,0,0,0,0,0,0,0,0,0,1233403904,2054254592,4731219968,6516076544,231,323,0,0,0,12.040,8.690,7.510,129,95,2,0,0,0,1,0,2,0,12.040,8.690,7.510,1233403904,2054254592,4731219968,6516076544,0,0,0,0,0,0,0,0,1073737728,0,960,55490,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,0,0,0,1,0,0,124,0,124,0,4,27,25,0,0,0,0,0,0,0,0,0,0
