"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","1a2a5ee3337f",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251221141627/vertx-web-kotlinx/json/stats.txt",,,,"Date:","21 Dec 2025 14:20:27 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766326827.398,10.247,2.389,87.272,0.093,0,3497816.946,21067083.615,2152575.132,0,0,0,0,0,583450624,5412577280,2118934528,7513337856,8161.392,20049.306,0,0,6.911,3.140,2.770,1.750,5797.776,1477.868,33.172,1.129,49.047,3.277,36.407,0.022,8.498,0.031,3.140,2.770,1.750,583450624,5412577280,2118934528,7513337856,0,0,6.911,16.481,24.430,3.729,0,0,1073737728,0,512,36815,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,3.467,2315.698,4971.218,6630.072,0.755,0.058,0,0,0,0,0,0,0,0
1766326828.399,71.411,21.788,6.801,0,0,0,3047424,0,0,672,0,0,0,684531712,5311471616,2118959104,7412273152,11260,177582,12,0,36,3.140,2.770,1.750,2507,7538,66,0,54,0,16,0,55,0,3.140,2.770,1.750,684531712,5311471616,2118959104,7412273152,14,0,36,0,54,0,0,0,1073737728,0,576,36982,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,0,13956,43528,23653,0.800,0,0,0,0,0,0,0,0,0
1766326829.399,43.709,55.253,1.038,0,0,0,0,0,0,336,0,0,0,807972864,5188030464,2118959104,7288832000,7896,495551,9,0,0,3.140,2.770,1.750,212,7656,3,0,0,0,1,0,2,0,3.140,2.770,1.750,807972864,5188030464,2118959104,7288832000,11,0,0,0,0,0,0,0,1073737728,0,576,36982,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,0,912,38824,6700,0,0,0,0,0,0,0,0,0,0
1766326830.399,40.578,56.658,1.256,1.508,0,0,0,0,0,336,0,0,0,799584256,5196419072,2118959104,7297220608,11780,538741,12,0,1,3.140,2.770,1.750,1384,7789,2,3,2101,0,1,0,4,0,3.140,2.770,1.750,799584256,5196419072,2118959104,7297220608,13,0,1,0,0,0,0,0,1073737728,0,576,36981,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,0,92,191,2925,43.100,0,0,0,0,0,0,0,0,0
1766326831.399,40.489,57.880,1.630,0,0,0,0,0,0,0,0,0,0,793522176,5202481152,2118959104,7303282688,7748,448664,11,0,0,3.140,2.770,1.750,185,7273,2,0,0,0,1,0,2,0,3.140,2.770,1.750,793522176,5202481152,2118959104,7303282688,10,0,0,0,0,0,0,0,1073737728,0,576,36981,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,0,11,34,3109,0,0,0,0,0,0,0,0,0,0
1766326832.399,40.270,57.973,1.757,0,0,0,0,0,0,0,0,0,0,785821696,5210173440,2118967296,7310974976,7681,483906,10,0,0,3.850,2.920,1.800,207,7300,9,0,0,0,2,0,2,0,3.850,2.920,1.800,785821696,5210173440,2118967296,7310974976,11,0,0,0,0,0,0,0,1073737728,0,576,36981,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,0,7,47,4148,0,0,0,0,0,0,0,0,0,0
1766326833.402,2.753,3.129,94.118,0,0,0,360448,0,0,0,0,0,0,750362624,5245624320,2118975488,7346434048,4086,30403,0,0,1,3.850,2.920,1.800,3440,577,19,0,5,0,26,0,4,0,3.850,2.920,1.800,750362624,5245624320,2118975488,7346434048,0,0,1,0,2,0,0,0,1073737728,0,608,36966,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,0,182,249,1622,0.200,0,0,0,0,0,0,0,0,0
1766326834.404,0.125,0.125,99.750,0,0,0,0,0,0,0,0,0,0,750362624,5245624320,2118975488,7346434048,241,309,0,0,0,3.850,2.920,1.800,129,103,4,0,0,0,1,0,2,0,3.850,2.920,1.800,750362624,5245624320,2118975488,7346434048,1,0,0,0,0,0,0,0,1073737728,0,608,36966,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,0,12,36,24,0,0,0,0,0,0,0,0,0,0
1766326835.399,0.380,0.253,99.367,0,0,0,0,0,0,0,0,0,0,750358528,5245624320,2118979584,7346434048,1660,2277,0,0,0,3.850,2.920,1.800,1021,622,7,0,0,0,2,0,2,0,3.850,2.920,1.800,750358528,5245624320,2118979584,7346434048,0,0,0,0,0,0,0,0,1073737728,0,608,36966,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,4,0,0,1,0,0,60,0,60,0,7,33,25,0,0,0,0,0,0,0,0,0,0
