"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","1a2a5ee3337f",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251221141627/vertx-web-kotlinx/plaintext/stats.txt",,,,"Date:","21 Dec 2025 14:22:40 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766326960.315,15.427,6.910,77.581,0.082,0,2999846.669,18093044.287,1846121.578,0,0,0,0,0,880574464,5115092992,2119065600,7216402432,12017.461,37147.384,0,0,6.111,11.860,6.410,3.230,5205.203,2191.892,29.487,0.974,44.676,2.810,31.921,0.019,7.859,0.029,11.860,6.410,3.230,880582656,5115084800,2119065600,7216394240,0,0,6.111,14.135,21.332,3.198,0,0,1073737728,0,576,36782,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,2.973,2033.330,6852.901,8197.385,0.709,0.050,0,0,0,0,0,0,0,0
1766326961.315,40.816,52.679,6.505,0,0,32768,3112960,0,0,672,0,0,0,894652416,5100994560,2119086080,7202324480,11193,479059,11,0,48,11.860,6.410,3.230,2957,7506,58,0,57,0,17,0,61,0,11.860,6.410,3.230,894652416,5100994560,2119086080,7202324480,13,0,48,1,53,0,0,0,1073737728,0,576,36997,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,3145,8987,8914,0.600,0,0,0,0,0,0,0,0,0
1766326962.315,41.236,58.134,0.631,0,0,0,0,0,0,336,0,0,0,894910464,5100736512,2119086080,7202066432,8044,542576,12,0,0,11.790,6.490,3.270,120,7884,2,0,0,0,1,0,2,0,11.790,6.490,3.270,894910464,5100736512,2119086080,7202066432,11,0,0,0,0,0,0,0,1073737728,0,576,36997,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,51,75,29,0,0,0,0,0,0,0,0,0,0
1766326963.315,40.026,57.143,2.831,0,0,0,0,0,0,336,0,0,0,890724352,5104922624,2119086080,7206256640,7805,528876,13,0,0,11.790,6.490,3.270,214,7575,2,0,0,0,1,0,2,0,11.790,6.490,3.270,890724352,5104922624,2119086080,7206256640,11,0,0,0,0,0,0,0,1073737728,0,576,36996,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,34,134,1817,0,0,0,0,0,0,0,0,0,0
1766326964.315,39.924,59.194,0.882,0,0,0,0,0,0,0,0,0,0,890724352,5104922624,2119086080,7206256640,8107,538996,10,0,0,11.790,6.490,3.270,203,7893,2,0,0,0,1,0,2,0,11.790,6.490,3.270,890724352,5104922624,2119086080,7206256640,10,0,0,0,0,0,0,0,1073737728,0,576,36996,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,4,27,55,0,0,0,0,0,0,0,0,0,0
1766326965.315,40.075,58.920,1.005,0,0,0,0,0,0,0,0,0,0,890716160,5104922624,2119094272,7206281216,8355,542518,13,0,0,11.790,6.490,3.270,258,7918,2,0,0,0,2,0,2,0,11.790,6.490,3.270,890716160,5104922624,2119094272,7206281216,12,0,0,0,0,0,0,0,1073737728,0,576,36996,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,5,31,29,0,0,0,0,0,0,0,0,0,0
1766326966.316,4.786,6.171,88.917,0.126,0,0,393216,0,0,0,0,0,0,890970112,5104664576,2119098368,7206031360,8515,60541,0,0,2,11.790,6.490,3.270,6997,1417,26,0,5,0,26,0,4,0,11.790,6.490,3.270,890970112,5104664576,2119098368,7206031360,0,0,2,0,2,0,0,0,1073737728,0,576,36981,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,169,301,1699,0.100,0,0,0,0,0,0,0,0,0
1766326967.318,0.251,0.627,99.122,0,0,0,0,0,0,0,0,0,0,890970112,5104664576,2119098368,7206031360,1639,2223,0,0,0,11,6.420,3.260,1000,620,2,0,0,0,1,0,2,0,11,6.420,3.260,890970112,5104664576,2119098368,7206031360,0,0,0,0,0,0,0,0,1073737728,0,576,36981,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,0,24,24,0,0,0,0,0,0,0,0,0,0
1766326968.322,0.499,0.249,99.252,0,0,0,0,0,0,0,0,0,0,890966016,5104664576,2119102464,7206031360,820,1100,0,0,0,11,6.420,3.260,480,328,2,0,0,0,2,0,2,0,11,6.420,3.260,890966016,5104664576,2119102464,7206031360,0,0,0,0,0,0,0,0,1073737728,0,576,36981,0,0,0,0,0,0,0,65,1,1,0,0,1,0,0,0,0,0,1,0,0,62,0,62,0,0,25,41,0,0,0,0,0,0,0,0,0,0
