"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","fb894cd2aceb",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251222103754/vertx-web-kotlinx-exposed-r2dbc-postgresql/query/stats.txt",,,,"Date:","22 Dec 2025 10:44:21 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766400261.995,17.129,6.178,76.545,0.147,0,6199011.944,22061116.337,3823321.040,0,0,0,0,0,1109463040,5094162432,1936437248,6574206976,18373.048,52504.177,0,0,10.127,7.750,4.070,1.730,13554.390,2410.524,77.207,1.997,79.060,5.750,53.470,0.040,13.916,0.042,7.750,4.070,1.730,1109463040,5094162432,1936437248,6574206976,0,0,10.127,29.279,32.447,6.607,0,0,1073737728,0,864,33690,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,6.152,2916.470,6521.508,9300.544,1.028,0.114,0,0,0,0,0,0,0,0
1766400262.996,42.011,19.284,38.705,0,0,32768,3112960,0,0,672,0,0,0,1111822336,5091749888,1936494592,6571835392,66836,169072,6,0,56,7.750,4.070,1.730,57491,4983,70,0,56,0,17,0,57,0,7.750,4.070,1.730,1111822336,5091749888,1936494592,6571835392,6,0,56,1,57,0,0,0,1073737728,0,896,33912,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,4127,9958,12170,0.500,0,0,0,0,0,0,0,0,0
1766400263.996,41.413,19.529,39.058,0,0,0,0,0,0,336,0,0,0,1095254016,5108318208,1936494592,6588403712,71045,174778,5,0,0,7.750,4.070,1.730,62439,4902,2,0,0,0,1,0,2,0,7.750,4.070,1.730,1095254016,5108318208,1936494592,6588403712,7,0,0,0,0,0,0,0,1073737728,0,896,33912,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,40,59,3623,0,0,0,0,0,0,0,0,0,0
1766400264.996,42.857,20.388,36.755,0,0,0,0,0,0,336,0,0,0,1080549376,5123022848,1936494592,6603108352,74269,183394,8,0,0,7.750,4.070,1.730,64928,5201,6,0,0,0,1,0,2,0,7.750,4.070,1.730,1080549376,5123022848,1936494592,6603108352,6,0,0,0,0,0,0,0,1073737728,0,896,33911,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,8,34,4156,0,0,0,0,0,0,0,0,0,0
1766400265.996,43.135,19.556,37.309,0,0,0,0,0,0,0,0,0,0,1066696704,5136875520,1936494592,6616961024,74185,183814,8,0,0,7.750,4.070,1.730,64813,5142,2,0,0,0,1,0,2,0,7.750,4.070,1.730,1066696704,5136875520,1936494592,6616961024,8,0,0,0,0,0,0,0,1073737728,0,896,33911,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,8,32,2077,0,0,0,0,0,0,0,0,0,0
1766400266.996,41.980,20.781,37.238,0,0,0,0,0,0,0,0,0,0,1056104448,5147459584,1936502784,6627545088,74495,184799,5,0,1,7.530,4.080,1.750,65438,4926,4,0,0,0,2,0,2,1,7.530,4.080,1.750,1056104448,5147459584,1936502784,6627545088,5,0,1,0,0,0,0,0,1073737728,0,896,33911,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1071,509,1531,0,0,0,0,0,0,0,0,0,0
1766400268.001,2.253,1.377,96.245,0.125,0,0,425984,0,0,0,0,0,0,1030533120,5173026816,1936506880,6653120512,4954,11919,0,0,1,7.530,4.080,1.750,4227,452,13,0,5,0,26,0,4,0,7.530,4.080,1.750,1030533120,5173026816,1936506880,6653120512,0,0,1,0,2,0,0,0,1073737728,0,896,33896,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,128,114,1545,0.100,0,0,0,0,0,0,0,0,0
1766400268.996,0.253,0.253,99.495,0,0,0,0,0,0,0,0,0,0,1030787072,5172772864,1936506880,6652866560,1100,1473,0,0,0,7.530,4.080,1.750,663,425,2,0,0,0,1,0,2,0,7.530,4.080,1.750,1030787072,5172772864,1936506880,6652866560,0,0,0,0,0,0,0,0,1073737728,0,896,33896,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,5,29,24,0,0,0,0,0,0,0,0,0,0
1766400270.001,0.251,0.376,99.373,0,0,0,0,0,0,0,0,0,0,1030782976,5172772864,1936510976,6652866560,1703,2280,0,0,0,7.530,4.080,1.750,1050,642,2,0,0,0,2,0,2,0,7.530,4.080,1.750,1030782976,5172772864,1936510976,6652866560,0,0,0,0,0,0,0,0,1073737728,0,896,33896,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3,27,24,0,0,0,0,0,0,0,0,0,0
