"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","8dcb49f7ecae",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251222115032/vertx-web-kotlinx-exposed-r2dbc-postgresql/fortune/stats.txt",,,,"Date:","22 Dec 2025 12:01:18 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766404878.524,26.505,10.018,63.366,0.111,0,4326362.055,18490738.340,2664727.273,0,0,0,0,0,1938784256,4276142080,1925578752,5744926720,29415.750,86138.477,0,0,7.230,7.500,5.770,2.900,22626.820,3703.352,42.099,1.405,53.083,4.021,34.201,0.028,10.531,0.036,7.500,5.770,2.900,1938784256,4276142080,1925578752,5744926720,0,0,7.230,20.439,23.484,4.632,0,0,1073737728,0,896,33703,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,4.280,2304.359,6054.956,7685.465,0.877,0.073,0,0,0,0,0,0,0,0
1766404879.525,44.549,18.439,36.878,0.135,0,0,5111808,65536,0,672,0,0,0,1943584768,4271292416,1925664768,5740240896,58326,155562,8,0,67,7.500,5.770,2.900,48065,5177,117,0,87,1,17,0,87,0,7.500,5.770,2.900,1943584768,4271292416,1925664768,5740240896,6,0,67,0,89,1,0,0,1073737728,0,928,33952,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,1,6073,14474,15382,0.900,0,0,0,0,0,0,0,0,0
1766404880.525,39.301,19.580,41.119,0,0,0,0,0,0,336,0,0,0,1937285120,4277592064,1925664768,5746540544,69800,170945,6,0,0,7.500,5.770,2.900,61646,4658,2,0,0,0,1,0,2,0,7.500,5.770,2.900,1937285120,4277592064,1925664768,5746540544,5,0,0,0,0,0,0,0,1073737728,0,928,33952,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,9,33,1565,0,0,0,0,0,0,0,0,0,0
1766404881.525,43.017,19.832,37.151,0,0,0,0,0,0,336,0,0,0,1937285120,4277592064,1925664768,5746540544,74650,185866,8,0,0,7.460,5.790,2.920,65032,5113,2,0,0,0,1,0,2,0,7.460,5.790,2.920,1937285120,4277592064,1925664768,5746540544,7,0,0,0,0,0,0,0,1073737728,0,928,33951,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,4,28,2594,0,0,0,0,0,0,0,0,0,0
1766404882.525,41.980,20.921,37.099,0,0,0,0,0,0,0,0,0,0,1906630656,4308246528,1925664768,5777195008,74103,183782,7,0,0,7.460,5.790,2.920,64688,5134,2,0,0,0,1,0,2,0,7.460,5.790,2.920,1906630656,4308246528,1925664768,5777195008,8,0,0,0,0,0,0,0,1073737728,0,928,33951,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2,33,2900,0,0,0,0,0,0,0,0,0,0
1766404883.525,42.857,19.972,37.171,0,0,0,0,0,0,0,0,0,0,1897947136,4316921856,1925672960,5785870336,74179,183981,8,0,0,7.460,5.790,2.920,64918,5114,2,0,0,0,2,0,2,0,7.460,5.790,2.920,1897947136,4316921856,1925672960,5785870336,6,0,0,0,0,0,0,0,1073737728,0,928,33951,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,9,35,3107,0,0,0,0,0,0,0,0,0,0
1766404884.527,3.914,2.020,94.066,0,0,0,393216,0,0,0,0,0,0,1896456192,4318408704,1925677056,5787357184,8226,19191,0,0,1,7.460,5.790,2.920,6894,876,28,0,5,0,26,0,4,0,7.460,5.790,2.920,1896456192,4318408704,1925677056,5787357184,0,0,1,0,2,0,0,0,1073737728,0,928,33936,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,127,117,1560,0.100,0,0,0,0,0,0,0,0,0
1766404885.529,0.250,0.125,99.625,0,0,0,0,0,0,0,0,0,0,1890848768,4324016128,1925677056,5792964608,281,363,1,0,0,7.460,5.790,2.920,146,129,2,0,0,0,1,0,2,0,7.460,5.790,2.920,1890848768,4324016128,1925677056,5792964608,1,0,0,0,0,0,0,0,1073737728,0,928,33936,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,4,26,48,0,0,0,0,0,0,0,0,0,0
1766404886.529,0.125,0.250,99.625,0,0,0,0,0,0,0,0,0,0,1890365440,4324495360,1925681152,5793468416,344,384,0,0,0,6.860,5.690,2.900,190,147,2,0,0,0,2,0,2,0,6.860,5.690,2.900,1890365440,4324495360,1925681152,5793468416,0,0,0,0,0,0,0,0,1073737728,0,928,33936,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,8,2081,2081,0,0,0,0,0,0,0,0,0,0
