"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","8dcb49f7ecae",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251222115032/vertx-web-kotlinx-exposed-r2dbc-postgresql/query/stats.txt",,,,"Date:","22 Dec 2025 11:57:26 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766404646.803,19.210,6.869,73.764,0.157,0,6736705.794,23698462.971,4149373.852,0,0,0,0,0,1341255680,4862574592,1936334848,6342881280,17735.753,56247.305,1,0,10.497,7.810,3.790,1.600,12680.019,2631.553,61.576,2.164,75.823,6.261,50.519,0.043,14.019,0.046,7.810,3.790,1.600,1341255680,4862574592,1936334848,6342881280,1,0,10.499,31.824,31.425,7.213,0,0,1073737728,0,832,33709,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,6.664,3093.494,7238.592,10098.889,1.152,0.114,0,0,0,0,0,0,0,0
1766404647.803,41.079,19.779,39.142,0,0,32768,2883584,0,0,672,0,0,0,1352433664,4851359744,1936371712,6331723776,67075,170392,7,0,47,7.810,3.790,1.600,57490,5115,82,0,58,0,17,0,74,0,7.810,3.790,1.600,1352433664,4851359744,1936371712,6331723776,7,0,46,1,54,0,0,0,1073737728,0,864,33923,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3345,9799,14789,0.600,0,0,0,0,0,0,0,0,0
1766404648.803,40.890,19.471,39.638,0,0,0,0,0,0,336,0,0,0,1346383872,4857409536,1936371712,6337773568,71968,176425,7,0,1,7.810,3.790,1.600,63309,4992,2,0,0,0,1,0,2,0,7.810,3.790,1.600,1346383872,4857409536,1936371712,6337773568,7,0,1,0,0,0,0,0,1073737728,0,864,33923,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1059,504,3067,0,0,0,0,0,0,0,0,0,0
1766404649.803,42.120,19.665,38.215,0,0,0,0,0,0,336,0,0,0,1329778688,4874014720,1936371712,6354378752,73532,180196,6,0,0,7.810,3.790,1.600,64656,4997,2,0,0,0,1,0,2,0,7.810,3.790,1.600,1329778688,4874014720,1936371712,6354378752,7,0,0,0,0,0,0,0,1073737728,0,864,33922,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,11,34,4659,0,0,0,0,0,0,0,0,0,0
1766404650.804,41.713,19.890,38.398,0,0,0,0,0,0,0,0,0,0,1312989184,4890804224,1936371712,6371168256,73386,180660,6,0,0,7.810,3.790,1.600,64611,4907,2,0,0,0,1,0,2,0,7.810,3.790,1.600,1312989184,4890804224,1936371712,6371168256,7,0,0,0,0,0,0,0,1073737728,0,864,33922,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3,540,2846,0,0,0,0,0,0,0,0,0,0
1766404651.804,42.340,19.777,37.883,0,0,0,0,0,0,0,0,0,0,1312505856,4891279360,1936379904,6371643392,74390,182986,8,0,0,7.660,3.830,1.620,65668,4920,2,0,0,0,2,0,11,0,7.660,3.830,1.620,1312505856,4891279360,1936379904,6371643392,5,0,0,0,0,0,0,0,1073737728,0,864,33922,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,8,33,2082,0,0,0,0,0,0,0,0,0,0
1766404652.809,2.253,1.126,96.621,0,0,0,360448,0,0,0,0,0,0,1290317824,4913463296,1936384000,6393839616,4486,11049,0,0,2,7.660,3.830,1.620,3768,455,24,0,5,0,26,0,4,0,7.660,3.830,1.620,1290317824,4913463296,1936384000,6393839616,0,0,2,0,2,0,0,0,1073737728,0,864,33907,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,174,166,1548,0.200,0,0,0,0,0,0,0,0,0
1766404653.806,0.378,0.630,98.992,0,0,0,0,0,0,0,0,0,0,1290317824,4913463296,1936384000,6393839616,1607,2152,0,0,0,7.660,3.830,1.620,978,613,4,0,0,0,1,0,2,0,7.660,3.830,1.620,1290317824,4913463296,1936384000,6393839616,0,0,0,0,0,0,0,0,1073737728,0,864,33907,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,0,25,24,0,0,0,0,0,0,0,0,0,0
1766404654.805,0.252,0.629,99.119,0,0,0,0,0,0,0,0,0,0,1290317824,4913463296,1936384000,6393839616,1662,2277,0,0,0,7.660,3.830,1.620,1001,646,2,0,0,0,2,0,2,0,7.660,3.830,1.620,1290317824,4913463296,1936384000,6393839616,0,0,0,0,0,0,0,0,1073737728,0,864,33907,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,0,25,25,0,0,0,0,0,0,0,0,0,0
