"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","8dcb49f7ecae",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20251222115032/vertx-web-kotlinx-exposed-r2dbc-postgresql/update/stats.txt",,,,"Date:","22 Dec 2025 11:59:22 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1766404762.609,23.547,8.859,67.469,0.126,0,5269479.043,18580693.365,3245619.377,0,0,0,0,0,1359581184,4844113920,1936412672,6324670464,25058.961,75146.162,2,0,8.508,7.620,5.070,2.320,18823.791,3301.905,49.735,1.702,60.828,4.897,40.580,0.034,11.906,0.039,7.620,5.070,2.320,1353658368,4850036736,1936412672,6330593280,2,0,8.513,24.895,25.260,5.642,0,0,1073737728,0,864,33714,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,5.213,2591.496,6361.026,8596.055,0.921,0.089,0,0,0,0,0,0,0,0
1766404763.609,44.640,17.775,37.449,0.136,0,0,20086784,0,0,672,0,0,0,1399848960,4803530752,1936769024,6284242944,59984,150932,7,0,54,7.620,5.070,2.320,50616,5085,78,0,65,0,17,0,63,0,7.620,5.070,2.320,1399848960,4803530752,1936769024,6284242944,5,0,51,0,64,0,0,0,1073737728,0,864,33931,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,10242,16652,15196,0.600,0,0,0,0,0,0,0,0,0
1766404764.609,42.877,18.082,39.041,0,0,0,14745600,0,0,336,0,0,0,1397460992,4805627904,1937059840,6286430208,65077,158096,7,0,0,7.620,5.070,2.320,56849,4849,4,0,10,0,1,0,2,0,7.620,5.070,2.320,1397460992,4805627904,1937059840,6286430208,7,0,0,0,10,0,0,0,1073737728,0,864,33931,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,4166,1148,1055,0.400,0,0,0,0,0,0,0,0,0
1766404765.609,45.028,18.508,36.464,0,0,0,14942208,0,0,336,0,0,0,1395408896,4807467008,1937272832,6288375808,70022,170648,7,0,0,7.620,5.070,2.320,61276,5043,4,0,10,0,1,0,2,0,7.620,5.070,2.320,1395408896,4807467008,1937272832,6288375808,8,0,0,0,10,0,0,0,1073737728,0,864,33930,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,4041,1118,1052,0.300,0,0,0,0,0,0,0,0,0
1766404766.609,44.321,18.837,36.842,0,0,0,14024704,0,0,0,0,0,0,1403609088,4799078400,1937461248,6280060928,69694,170806,8,0,0,7.570,5.100,2.350,60689,5162,4,0,10,0,1,0,2,0,7.570,5.100,2.350,1403609088,4799078400,1937461248,6280060928,6,0,0,0,10,0,0,0,1073737728,0,864,33930,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2740,3150,2663,0.500,0,0,0,0,0,0,0,0,0
1766404767.609,44.138,19.034,36.828,0,0,0,13172736,0,0,0,0,0,0,1394515968,4808040448,1937592320,6289104896,69386,169461,6,0,0,7.570,5.100,2.350,60575,5159,2,0,10,0,2,0,2,0,7.570,5.100,2.350,1394515968,4808040448,1937592320,6289104896,6,0,0,0,10,0,0,0,1073737728,0,864,33930,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1290,4166,4130,0.400,0,0,0,0,0,0,0,0,0
1766404768.610,2.893,1.761,95.220,0.126,0,0,2555904,0,0,0,0,0,0,1386668032,4815867904,1937612800,6296973312,5843,13100,0,0,4,7.570,5.100,2.350,4779,750,23,0,9,0,26,0,4,0,7.570,5.100,2.350,1386668032,4815867904,1937612800,6296973312,0,0,4,0,6,0,0,0,1073737728,0,864,33915,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2004,1455,2849,0.200,0,0,0,0,0,0,0,0,0
1766404769.612,0.125,0.125,99.750,0,0,0,983040,0,0,0,0,0,0,1386663936,4815867904,1937616896,6296973312,304,384,1,0,0,7.570,5.100,2.350,156,139,2,0,4,0,2,0,2,0,7.570,5.100,2.350,1386663936,4815867904,1937616896,6296973312,1,0,0,0,4,0,0,0,1073737728,0,864,33915,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1,26,24,0.300,0,0,0,0,0,0,0,0,0
1766404770.609,0,0.126,99.874,0,0,0,0,0,0,0,0,0,0,1386663936,4815867904,1937616896,6296973312,275,353,0,0,0,7.570,5.100,2.350,143,123,4,0,0,0,1,0,2,0,7.570,5.100,2.350,1386663936,4815867904,1937616896,6296973312,0,0,0,0,0,0,0,0,1073737728,0,864,33915,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,0,24,25,0,0,0,0,0,0,0,0,0,0
