"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","72fbd79b0dcf",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260109142728/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/db/stats.txt",,,,"Date:","09 Jan 2026 14:32:39 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1767969159.922,8.274,0.910,90.531,0.286,0,6967998.881,48047350.152,5038490.651,0,0,0,0,0,928202752,4529008640,2643415040,6749245440,3887.602,5275.565,1,0,12.389,2,1.570,0.700,2277.909,1219.550,100.968,2.643,95.083,7.642,104.138,0.052,35.128,0.052,2,1.570,0.700,928202752,4529008640,2643415040,6749245440,1,0,12.389,36.311,45.101,8.787,0,0,1073737728,0,832,49938,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,7.105,3528.200,10084.492,13385.775,1.780,0.150,0,0,0,0,0,0,0,0
1767969160.923,59.138,20.496,20.235,0.131,0,6422528,3047424,0,0,672,0,0,0,988528640,4467834880,2644246528,6688944128,35706,152961,5,0,37,2,1.570,0.700,20067,6339,65,0,69,0,17,0,50,0,2,1.570,0.700,988528640,4467834880,2644246528,6688944128,7,0,37,13,59,0,0,0,1073737728,0,832,50119,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,6,3863,35980,22075,1.300,0,0,0,0,0,0,0,0,0
1767969161.923,37.167,22.581,40.252,0,0,0,0,0,0,336,0,0,0,978866176,4477497344,2644246528,6698606592,78540,201402,10,0,0,2.400,1.660,0.730,68869,4724,2,0,0,0,1,0,2,0,2.400,1.660,0.730,978866176,4477497344,2644246528,6698606592,7,0,0,0,0,0,0,0,1073737728,0,832,50119,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,8,2591,1568,0,0,0,0,0,0,0,0,0,0
1767969162.923,35.865,23.207,40.928,0,0,0,0,0,0,336,0,0,0,989696000,4466667520,2644246528,6687776768,80782,202841,8,0,0,2.400,1.660,0.730,70923,4819,2,0,0,0,1,0,2,0,2.400,1.660,0.730,989696000,4466667520,2644246528,6687776768,8,0,0,0,0,0,0,0,1073737728,0,832,50118,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,19,3623,3622,0,0,0,0,0,0,0,0,0,0
1767969163.923,36.932,21.733,41.335,0,0,0,0,0,0,0,0,0,0,991522816,4464840704,2644246528,6685949952,81458,200429,9,0,0,2.400,1.660,0.730,71861,4793,9,0,0,0,1,0,2,0,2.400,1.660,0.730,991522816,4464840704,2644246528,6685949952,7,0,0,0,0,0,0,0,1073737728,0,832,50118,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,20,5182,4132,0,0,0,0,0,0,0,0,0,0
1767969164.923,35.663,22.539,41.797,0,0,0,0,0,0,0,0,0,0,971681792,4484673536,2644254720,6705790976,81633,199844,6,0,0,2.400,1.660,0.730,72119,4745,6,0,0,0,2,0,2,0,2.400,1.660,0.730,971681792,4484673536,2644254720,6705790976,5,0,0,0,0,0,0,0,1073737728,0,832,50118,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,18,2606,3645,0,0,0,0,0,0,0,0,0,0
1767969165.933,3.914,2.652,93.434,0,0,557056,425984,0,0,0,0,0,0,954257408,4502024192,2644328448,6723211264,14242,29388,0,0,1,2.400,1.660,0.730,13002,889,21,0,6,0,26,0,4,0,2.400,1.660,0.730,954257408,4502024192,2644328448,6723211264,0,0,1,2,2,0,0,0,1073737728,0,832,50104,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,1,131,136,1552,0.200,0,0,0,0,0,0,0,0,0
1767969166.927,0.377,0.252,98.868,0.503,0,0,0,0,0,0,0,0,0,955260928,4501016576,2644332544,6722203648,1129,1582,0,0,1,2.210,1.630,0.730,580,168,3,3,368,0,2,0,4,0,2.210,1.630,0.730,955260928,4501016576,2644332544,6722203648,0,0,1,0,0,0,0,0,1073737728,0,832,50104,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,91,91,108,3.800,0,0,0,0,0,0,0,0,0
1767969167.927,0.125,0.125,99.750,0,0,0,0,0,0,0,0,0,0,955260928,4501016576,2644332544,6722203648,240,317,0,0,0,2.210,1.630,0.730,126,109,2,0,0,0,1,0,2,0,2.210,1.630,0.730,955260928,4501016576,2644332544,6722203648,0,0,0,0,0,0,0,0,1073737728,0,832,50104,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,2,26,25,0,0,0,0,0,0,0,0,0,0
