"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","72fbd79b0dcf",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260109142728/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/fortune/stats.txt",,,,"Date:","09 Jan 2026 14:38:49 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1767969529.174,30.289,10.218,59.316,0.178,0,3386056.730,43413529.901,2440163.324,0,0,0,0,0,1666961408,3791003648,2642763776,6010281984,14178.585,38612.253,1,0,6.769,12.880,9.360,4.550,5014.442,3529.987,52.676,1.306,53.132,3.701,52.961,0.025,19.173,0.034,12.880,9.360,4.550,1667215360,3790745600,2642767872,6010023936,2,0,6.771,17.612,29.534,4.256,0,0,1073737728,0,864,49976,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,3.452,1956.213,9696.532,11015.159,2.075,0.073,0,0,0,0,0,0,0,0
1767969530.174,43.154,20.332,36.515,0,0,0,2850816,0,0,672,0,0,0,1687986176,3770007552,2642804736,5989257216,55417,167638,8,0,57,12.880,9.360,4.550,46222,5126,66,0,52,0,17,0,51,0,12.880,9.360,4.550,1687986176,3770007552,2642804736,5989257216,6,0,56,0,57,0,0,0,1073737728,0,896,50194,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3311,9183,9047,1.200,0,0,0,0,0,0,0,0,0
1767969531.175,37.709,20.950,41.341,0,0,0,0,0,0,336,0,0,0,1668157440,3789836288,2642804736,6009085952,71581,175746,4,0,0,12.250,9.280,4.550,62192,4628,2,0,0,0,1,0,2,0,12.250,9.280,4.550,1668157440,3789836288,2642804736,6009085952,4,0,0,0,0,0,0,0,1073737728,0,896,50194,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,34,266,8803,0,0,0,0,0,0,0,0,0,0
1767969532.175,40.222,21.221,38.558,0,0,0,0,0,0,336,0,0,0,1668157440,3789836288,2642804736,6009085952,68915,169181,5,0,0,12.250,9.280,4.550,58281,4826,4,0,0,0,1,0,2,0,12.250,9.280,4.550,1668157440,3789836288,2642804736,6009085952,10,0,0,0,0,0,0,0,1073737728,0,896,50193,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,5,58,128,0,0,0,0,0,0,0,0,0,0
1767969533.174,37.746,20.986,41.268,0,0,0,0,0,0,0,0,0,0,1650192384,3807801344,2642804736,6027051008,74943,183157,4,0,1,12.250,9.280,4.550,65480,4621,4,0,0,0,1,0,2,0,12.250,9.280,4.550,1650192384,3807801344,2642804736,6027051008,5,0,1,0,0,0,0,0,1073737728,0,896,50193,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,34,66,6237,0,0,0,0,0,0,0,0,0,0
1767969534.174,38.408,20.950,40.642,0,0,0,0,0,0,0,0,0,0,1639698432,3818287104,2642812928,6037536768,75272,184286,6,0,0,12.250,9.280,4.550,65392,4846,12,0,0,0,2,0,4,0,12.250,9.280,4.550,1639698432,3818287104,2642812928,6037536768,8,0,0,0,0,0,0,0,1073737728,0,896,50193,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,35,64,2597,0,0,0,0,0,0,0,0,0,0
1767969535.177,4.056,2.028,93.916,0,0,0,393216,0,0,0,0,0,0,1597816832,3860160512,2642821120,6079434752,11530,23532,1,0,1,12.250,9.280,4.550,9937,1147,24,0,5,0,26,0,4,0,12.250,9.280,4.550,1597816832,3860160512,2642821120,6079434752,0,0,1,0,2,0,0,0,1073737728,0,896,50178,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,160,781,2192,0.100,0,0,0,0,0,0,0,0,0
1767969536.180,0.501,0.627,98.872,0,0,0,0,0,0,0,0,0,0,1600909312,3857063936,2642825216,6076338176,1660,2233,0,0,1,11.430,9.160,4.530,973,663,2,0,0,0,2,0,2,0,11.430,9.160,4.530,1600909312,3857063936,2642825216,6076338176,0,0,1,0,0,0,0,0,1073737728,0,896,50178,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1095,536,499,0,0,0,0,0,0,0,0,0,0
1767969537.176,0.126,0,99.874,0,0,0,0,0,0,0,0,0,0,1600909312,3857063936,2642825216,6076338176,259,306,0,0,0,11.430,9.160,4.530,126,125,2,0,0,0,1,0,2,0,11.430,9.160,4.530,1600909312,3857063936,2642825216,6076338176,0,0,0,0,0,0,0,0,1073737728,0,896,50178,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,36,60,24,0,0,0,0,0,0,0,0,0,0
