"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","72fbd79b0dcf",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260109142728/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/query/stats.txt",,,,"Date:","09 Jan 2026 14:34:53 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1767969293.090,18.882,7.097,73.810,0.210,0,5036680.812,34703505.982,3629735.900,0,0,0,0,0,1164369920,4291514368,2644537344,6513475584,11653.942,32687.543,0,0,9.288,11.590,5.460,2.250,5036.411,2464.236,74.759,1.917,70.354,5.505,76.384,0.038,26.425,0.042,11.590,5.460,2.250,1164369920,4291514368,2644537344,6513475584,1,0,9.288,26.196,33.631,6.330,0,0,1073737728,0,832,49909,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,5.136,2609.492,9194.375,11424.874,1.315,0.108,0,0,0,0,0,0,0,0
1767969294.090,39.648,19.350,41.001,0,0,32768,2949120,0,0,672,0,0,0,1176137728,4279717888,2644582400,6501752832,61804,157210,6,0,58,11.590,5.460,2.250,51246,4860,72,0,53,0,17,0,48,0,11.590,5.460,2.250,1176137728,4279717888,2644582400,6501752832,7,0,58,1,54,0,0,0,1073737728,0,896,50130,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3682,9617,10193,0,0,0,0,0,0,0,0,0,0
1767969295.090,39.373,20.845,39.782,0,0,0,32768,0,0,336,0,0,0,1176137728,4279717888,2644582400,6501752832,70527,176457,7,0,0,11.590,5.460,2.250,60068,4806,2,0,3,0,1,0,2,0,11.590,5.460,2.250,1176137728,4279717888,2644582400,6501752832,6,0,0,0,3,0,0,0,1073737728,0,896,50130,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,10,1058,1050,0.100,0,0,0,0,0,0,0,0,0
1767969296.090,40.385,20.192,39.423,0,0,0,0,0,0,336,0,0,0,1186418688,4269436928,2644582400,6491475968,70091,176325,8,0,1,11.590,5.460,2.250,59997,4859,2,0,0,0,1,0,2,0,11.590,5.460,2.250,1186418688,4269436928,2644582400,6491475968,4,0,1,0,0,0,0,0,1073737728,0,896,50129,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1090,2581,2098,0,0,0,0,0,0,0,0,0,0
1767969297.090,39.973,19.643,40.385,0,0,0,0,0,0,0,0,0,0,1181093888,4274761728,2644582400,6496800768,69939,174774,8,0,0,11.380,5.520,2.290,59584,4871,4,0,0,0,1,0,2,0,11.380,5.520,2.290,1181093888,4274761728,2644582400,6496800768,8,0,0,0,0,0,0,0,1073737728,0,896,50129,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,39,63,30,0,0,0,0,0,0,0,0,0,0
1767969298.091,39.643,20.988,39.369,0,0,0,0,0,0,0,0,0,0,1181319168,4274528256,2644590592,6496575488,70959,176611,8,0,0,11.380,5.520,2.290,60446,4989,4,0,0,0,2,0,9,0,11.380,5.520,2.290,1181319168,4274528256,2644590592,6496575488,6,0,0,0,0,0,0,0,1073737728,0,896,50129,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,33,61,552,0,0,0,0,0,0,0,0,0,0
1767969299.100,5.402,2.889,91.583,0.126,0,0,393216,0,0,0,0,0,0,1177124864,4278722560,2644590592,6500769792,12496,28220,0,0,1,11.380,5.520,2.290,10927,968,26,0,5,0,26,0,4,0,11.380,5.520,2.290,1177124864,4278722560,2644590592,6500769792,0,0,1,0,2,0,0,0,1073737728,0,896,50114,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,134,123,2079,0.100,0,0,0,0,0,0,0,0,0
1767969300.099,0.878,0,99.122,0,0,0,0,0,0,0,0,0,0,1177124864,4278722560,2644590592,6500769792,430,443,0,0,0,11.380,5.520,2.290,147,228,2,0,0,0,2,0,2,0,11.380,5.520,2.290,1177124864,4278722560,2644590592,6500769792,0,0,0,0,0,0,0,0,1073737728,0,896,50114,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,35,55,25,0,0,0,0,0,0,0,0,0,0
1767969301.091,0.126,0.126,99.747,0,0,0,0,0,0,0,0,0,0,1177124864,4278722560,2644590592,6500769792,411,550,0,0,0,11.380,5.520,2.290,226,186,2,0,0,0,1,0,2,0,11.380,5.520,2.290,1177124864,4278722560,2644590592,6500769792,0,0,0,0,0,0,0,0,1073737728,0,896,50114,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,0,25,24,0,0,0,0,0,0,0,0,0,0
