"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","4789b59e02ad",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260111101305/vertx-web-kotlinx-r2dbc-postgresql/fortune/stats.txt",,,,"Date:","11 Jan 2026 10:22:21 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1768126941.012,29.667,14.587,55.648,0.097,0,5087436.550,31603886.059,3101756.763,0,0,0,0,0,1844137984,4106825728,2182402048,5835534336,30906.187,113451.347,2,0,8.129,8.510,6.600,3.270,21134.932,4032.229,69.531,1.631,62.178,4.666,67.974,0.032,21.455,0.038,8.510,6.600,3.270,1844137984,4106825728,2182402048,5835534336,1,0,8.129,24.645,24.966,5.381,0,0,1073737728,0,896,39545,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,5.008,2577.913,8783.303,10596.583,1.116,0.077,0,0,0,0,0,0,0,0
1768126942.013,39.463,21.745,38.792,0,0,0,3145728,0,0,672,0,0,0,1842937856,4108017664,2182426624,5836763136,62684,182102,8,0,38,8.510,6.600,3.270,53164,5057,59,0,57,0,16,0,56,0,8.510,6.600,3.270,1842937856,4108017664,2182426624,5836763136,8,0,38,0,57,0,0,0,1073737728,0,928,39746,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3401,9516,11287,0.700,0,0,0,0,0,0,0,0,0
1768126943.012,39.021,23.776,37.203,0,0,0,0,0,0,336,0,0,0,1842937856,4108017664,2182426624,5836763136,73899,192564,8,0,0,8.510,6.600,3.270,64360,4919,2,0,0,0,1,0,2,0,8.510,6.600,3.270,1842937856,4108017664,2182426624,5836763136,4,0,0,0,0,0,0,0,1073737728,0,928,39746,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,44,69,2595,0,0,0,0,0,0,0,0,0,0
1768126944.013,38.866,23.375,37.759,0,0,0,0,0,0,336,0,0,0,1832452096,4118503424,2182426624,5847248896,75910,198902,4,0,0,8.470,6.620,3.290,66361,4907,4,0,0,0,1,0,2,0,8.470,6.620,3.290,1832452096,4118503424,2182426624,5847248896,7,0,0,0,0,0,0,0,1073737728,0,928,39745,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,11,34,2596,0,0,0,0,0,0,0,0,0,0
1768126945.013,39.082,23.088,37.830,0,0,0,0,0,0,0,0,0,0,1813135360,4137820160,2182426624,5866565632,75667,197287,5,0,0,8.470,6.620,3.290,66241,4959,4,0,0,0,1,0,2,0,8.470,6.620,3.290,1813135360,4137820160,2182426624,5866565632,7,0,0,0,0,0,0,0,1073737728,0,928,39745,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,7,33,2658,0,0,0,0,0,0,0,0,0,0
1768126946.012,37.622,23.497,38.881,0,0,0,0,0,0,0,0,0,0,1800396800,4150550528,2182434816,5879296000,74346,194987,5,0,0,8.470,6.620,3.290,64875,4968,2,0,0,0,2,0,2,0,8.470,6.620,3.290,1800396800,4150550528,2182434816,5879296000,7,0,0,0,0,0,0,0,1073737728,0,928,39745,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,10,37,3112,0,0,0,0,0,0,0,0,0,0
1768126947.014,5.089,3.435,91.476,0,0,0,393216,0,0,0,0,0,0,1783513088,4167426048,2182443008,5896196096,12873,30192,0,0,2,8.470,6.620,3.290,11067,1267,18,0,5,0,26,0,4,0,8.470,6.620,3.290,1783513088,4167426048,2182443008,5896196096,0,0,2,0,2,0,0,0,1073737728,0,928,39730,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,163,149,1556,0.100,0,0,0,0,0,0,0,0,0
1768126948.017,0.251,0.376,99.373,0,0,0,0,0,0,0,0,0,0,1783513088,4167426048,2182443008,5896196096,1708,2218,0,0,0,8.470,6.620,3.290,1012,680,2,0,0,0,1,0,2,0,8.470,6.620,3.290,1783513088,4167426048,2182443008,5896196096,0,0,0,0,0,0,0,0,1073737728,0,928,39730,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1,25,24,0,0,0,0,0,0,0,0,0,0
1768126949.015,0.251,0,99.749,0,0,0,0,0,0,0,0,0,0,1783508992,4167426048,2182447104,5896196096,298,354,0,0,0,7.790,6.510,3.270,147,143,4,0,0,0,2,0,2,0,7.790,6.510,3.270,1783508992,4167426048,2182447104,5896196096,0,0,0,0,0,0,0,0,1073737728,0,928,39730,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2,28,25,0,0,0,0,0,0,0,0,0,0
