"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","4789b59e02ad",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260111101305/vertx-web-kotlinx-r2dbc-postgresql/query/stats.txt",,,,"Date:","11 Jan 2026 10:18:29 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1768126709.148,23.383,11.363,65.109,0.145,0,8710148.214,35024253.063,5310547.465,0,0,0,0,0,1125498880,4841308160,2166501376,6555566080,20374.559,82831.022,1,0,12.748,9.540,4.490,1.790,11169.589,3118.688,113.783,2.761,96.699,7.988,112.896,0.055,33.632,0.052,9.540,4.490,1.790,1125490688,4841312256,2166505472,6555570176,2,0,12.758,42.192,34.563,9.213,0,0,1073737728,0,928,39453,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,8.575,3746.295,11288.333,14925.690,1.099,0.132,0,0,0,0,0,0,0,0
1768126710.149,37.412,22.785,39.803,0,0,32768,3407872,0,0,672,0,0,0,1146732544,4819984384,2166542336,6534311936,73780,196034,7,0,51,9.540,4.490,1.790,63884,5034,64,0,57,0,17,0,71,0,9.540,4.490,1.790,1146732544,4819984384,2166542336,6534311936,8,0,48,1,58,0,0,0,1073737728,0,928,39671,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3182,9057,9409,0.300,0,0,0,0,0,0,0,0,0
1768126711.148,37.659,24.401,37.941,0,0,0,0,0,0,336,0,0,0,1140428800,4826288128,2166542336,6540615680,79627,203554,6,0,0,9.540,4.490,1.790,70290,5022,2,0,0,0,1,0,2,0,9.540,4.490,1.790,1140428800,4826288128,2166542336,6540615680,8,0,0,0,0,0,0,0,1073737728,0,928,39671,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,35,55,1566,0,0,0,0,0,0,0,0,0,0
1768126712.148,37.838,23.329,38.834,0,0,0,0,0,0,336,0,0,0,1135890432,4830826496,2166542336,6545154048,79359,203046,8,0,0,9.540,4.490,1.790,70196,4860,2,0,0,0,1,0,2,0,9.540,4.490,1.790,1135890432,4830826496,2166542336,6545154048,8,0,0,0,0,0,0,0,1073737728,0,928,39670,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,54,4135,5687,0,0,0,0,0,0,0,0,0,0
1768126713.148,37.151,23.883,38.966,0,0,0,2097152,0,0,0,0,0,0,1135890432,4830826496,2166542336,6545154048,78802,201605,6,0,0,9.540,4.490,1.790,69684,4837,2,0,3,0,1,0,2,0,9.540,4.490,1.790,1135890432,4830826496,2166542336,6545154048,7,0,0,0,5,0,0,0,1073737728,0,928,39670,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,7,31,46,0.100,0,0,0,0,0,0,0,0,0
1768126714.148,37.074,24.290,38.636,0,0,0,0,0,0,0,0,0,0,1121128448,4845580288,2166550528,6559907840,82600,213096,5,0,0,9.490,4.570,1.830,73057,4821,6,0,0,0,2,0,10,0,9.490,4.570,1.830,1121128448,4845580288,2166550528,6559907840,8,0,0,0,0,0,0,0,1073737728,0,928,39670,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,11,35,3131,0,0,0,0,0,0,0,0,0,0
1768126715.150,4.470,2.937,92.593,0,0,0,458752,0,0,0,0,0,0,1121378304,4845322240,2166558720,6559666176,13898,30821,0,0,1,9.490,4.570,1.830,12416,1082,25,0,5,0,26,0,4,0,9.490,4.570,1.830,1121378304,4845322240,2166558720,6559666176,0,0,1,0,2,0,0,0,1073737728,0,928,39655,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,155,137,1554,0.200,0,0,0,0,0,0,0,0,0
1768126716.149,0.253,0.379,99.369,0,0,0,2097152,0,0,0,0,0,0,1121636352,4845064192,2166558720,6559412224,1873,2510,1,0,0,9.490,4.570,1.830,1139,705,2,0,3,0,3,0,11,0,9.490,4.570,1.830,1121636352,4845064192,2166558720,6559412224,0,0,0,0,3,0,0,0,1073737728,0,928,39657,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,16,39,24,0.100,0,0,0,0,0,0,0,0,0
1768126717.150,0.377,0.628,98.995,0,0,0,0,0,0,0,0,0,0,1122516992,4844146688,2166562816,6558519296,2044,2736,0,0,1,9.490,4.570,1.830,1238,754,2,0,0,0,9,0,19,1,9.490,4.570,1.830,1122516992,4844146688,2166562816,6558519296,0,0,1,0,0,0,0,0,1073737728,0,928,39643,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1111,720,524,0,0,0,0,0,0,0,0,0,0
