"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","be449f71dddc",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260130153532/ktor-exposed-r2dbc-dsl/fortune/stats.txt",,,,"Date:","30 Jan 2026 16:06:14 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769789174.134,7.972,3.357,88.594,0.077,0,1702489.873,11585446.140,631871.646,0,0,0,0,0,3971694592,370380800,3319603200,4246577152,4276.251,19519.641,0,0,4.566,71.480,36.220,15.690,1526.370,1172.288,20.369,0.138,50.381,0.941,6.046,0.007,2.835,0.021,71.480,36.220,15.690,3971694592,370380800,3319603200,4246577152,0,0,4.566,41.433,14.450,1.100,0,0,1073737728,0,8672,313348,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0.762,2584.885,2557.198,2595.294,0.558,0.029,0,0,0,0,0,0,0,0
1769789175.134,39.804,23.883,36.313,0,0,0,2850816,0,0,672,0,0,0,3967713280,374312960,3319635968,4250554368,68639,199820,10,0,49,71.480,36.220,15.690,54823,6053,66,0,55,0,17,0,67,0,71.480,36.220,15.690,3967713280,374312960,3319635968,4250554368,11,0,49,0,54,0,0,0,1073737728,0,8736,313567,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3785,9669,9667,0.400,0,0,0,0,0,0,0,0,0
1769789176.134,37.131,26.723,36.146,0,0,0,0,0,0,336,0,0,0,3950919680,391106560,3319635968,4267347968,77677,222582,9,0,0,66.400,35.760,15.650,64372,6061,4,0,0,0,1,0,2,0,66.400,35.760,15.650,3950919680,391106560,3319635968,4267347968,8,0,0,0,0,0,0,0,1073737728,0,8736,313567,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,132,157,5037,0,0,0,0,0,0,0,0,0,0
1769789177.134,37.907,27.440,34.653,0,0,0,0,0,0,336,0,0,0,3909726208,432300032,3319635968,4308541440,77885,222010,12,0,2,66.400,35.760,15.650,64588,6123,4,0,0,0,1,0,2,0,66.400,35.760,15.650,3909726208,432300032,3319635968,4308541440,14,0,2,0,0,0,0,0,1073737728,0,8736,313566,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,7,43,9936,0,0,0,0,0,0,0,0,0,0
1769789178.134,38.319,26.923,34.758,0,0,0,0,0,0,0,0,0,0,3909726208,432300032,3319635968,4308541440,78399,222895,7,0,0,66.400,35.760,15.650,64823,6196,2,0,0,0,1,0,2,0,66.400,35.760,15.650,3909726208,432300032,3319635968,4308541440,8,0,0,0,0,0,0,0,1073737728,0,8736,313566,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,17,41,28,0,0,0,0,0,0,0,0,0,0
1769789179.134,38.920,26.136,34.943,0,0,0,0,0,0,0,0,0,0,3880099840,461918208,3319644160,4338159616,77923,221864,9,0,1,66.400,35.760,15.650,64688,6227,2,0,0,0,2,0,2,0,66.400,35.760,15.650,3880099840,461918208,3319644160,4338159616,13,0,1,0,0,0,0,0,1073737728,0,8736,313566,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1083,512,8216,0,0,0,0,0,0,0,0,0,0
1769789180.137,2.767,1.509,95.723,0,0,0,360448,0,0,0,0,0,0,3890855936,451153920,3319652352,4327419904,6071,16211,0,0,2,66.400,35.760,15.650,4976,594,27,0,5,0,26,0,4,0,66.400,35.760,15.650,3890855936,451153920,3319652352,4327419904,0,0,2,0,2,0,0,0,1073737728,0,8736,313551,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,193,4757,5653,0,0,0,0,0,0,0,0,0,0
1769789181.135,0.251,0.125,99.624,0,0,0,0,0,0,0,0,0,0,3869663232,472342528,3319656448,4348608512,361,465,0,0,0,61.080,35.160,15.570,188,167,2,0,0,0,2,0,2,0,61.080,35.160,15.570,3869663232,472342528,3319656448,4348608512,0,0,0,0,0,0,0,0,1073737728,0,8736,313551,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,16,43,42,0,0,0,0,0,0,0,0,0,0
1769789182.145,0.373,0.248,99.379,0,0,0,0,0,0,0,0,0,0,3869921280,472084480,3319656448,4348350464,679,794,0,0,0,61.080,35.160,15.570,344,327,4,0,0,0,1,0,2,0,61.080,35.160,15.570,3869921280,472084480,3319656448,4348350464,0,0,0,0,0,0,0,0,1073737728,0,8736,313551,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2,26,25,0,0,0,0,0,0,0,0,0,0
1769789183.144,0.125,0.125,99.750,0,0,0,0,0,0,0,0,0,0,3869913088,472084480,3319664640,4348350464,282,356,0,0,0,61.080,35.160,15.570,145,129,2,0,0,0,3,0,2,0,61.080,35.160,15.570,3869913088,472084480,3319664640,4348350464,0,0,0,0,0,0,0,0,1073737728,0,8736,313551,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,0,26,36,0,0,0,0,0,0,0,0,0,0
1769789184.137,0.126,0.253,99.241,0.379,0,0,0,0,0,0,0,0,0,3869913088,472084480,3319664640,4348350464,1081,1541,1,0,1,61.080,35.160,15.570,552,150,4,3,364,0,1,0,4,0,61.080,35.160,15.570,3869913088,472084480,3319664640,4348350464,1,0,1,0,0,0,0,0,1073737728,0,8736,313551,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,84,84,86,3.100,0,0,0,0,0,0,0,0,0
1769789185.134,61.607,28.444,9.949,0,0,0,131072,0,0,0,0,0,0,3852722176,489062400,3319664640,4365561856,29830,121876,55,0,10,61.080,35.160,15.570,1586,7210,22,0,4,0,10,0,6,0,61.080,35.160,15.570,3852722176,489062400,3319664640,4365561856,55,0,10,0,2,0,0,0,1073737728,0,10592,314575,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,5115,5383,8147,0.200,0,0,0,0,0,0,0,0,0
1769789186.134,67.217,30.623,2.160,0,0,0,0,0,0,0,0,0,0,3804340224,537444352,3319664640,4413943808,32273,141033,48,0,0,61.230,35.620,15.820,1351,7883,2,0,0,0,1,0,2,0,61.230,35.620,15.820,3804340224,537444352,3319664640,4413943808,37,0,0,0,0,0,0,0,1073737728,0,10592,314575,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,8,964,13017,0,0,0,0,0,0,0,0,0,0
1769789187.134,68.782,28.934,2.284,0,0,0,0,0,0,0,0,0,0,3769065472,572710912,3319672832,4449210368,28357,145070,97,0,0,61.230,35.620,15.820,1181,7843,2,0,0,0,3,0,2,0,61.230,35.620,15.820,3769065472,572710912,3319672832,4449210368,88,0,0,0,0,0,0,0,1073737728,0,10592,314575,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,174,1331,10451,0,0,0,0,0,0,0,0,0,0
1769789188.134,68.481,28.861,2.658,0,0,0,0,0,0,0,0,0,0,3781832704,559943680,3319672832,4436451328,25659,149704,48,0,0,61.230,35.620,15.820,1154,7830,2,0,0,0,1,0,2,0,61.230,35.620,15.820,3781832704,559943680,3319672832,4436451328,47,0,0,0,0,0,0,0,1073737728,0,10592,314575,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,177,6135,2900,0,0,0,0,0,0,0,0,0,0
1769789189.134,67.807,28.644,3.549,0,0,0,0,0,0,0,0,0,0,3812192256,529584128,3319672832,4406091776,23866,149664,54,0,0,61.230,35.620,15.820,1483,7799,2,0,0,0,1,0,2,0,61.230,35.620,15.820,3812192256,529584128,3319672832,4406091776,53,0,0,0,0,0,0,0,1073737728,0,10592,314575,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,168,17544,8360,0,0,0,0,0,0,0,0,0,0
1769789190.134,67.383,29.836,2.781,0,0,0,1179648,0,0,0,0,0,0,3811393536,530382848,3319672832,4406894592,23615,152275,58,0,0,61.230,35.620,15.820,1226,7903,4,0,17,0,1,0,2,0,61.230,35.620,15.820,3811393536,530382848,3319672832,4406894592,58,0,0,0,25,0,0,0,1073737728,0,10592,314575,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,275,4602,4325,1.400,0,0,0,0,0,0,0,0,0
1769789191.136,67.424,29.040,3.535,0,0,0,0,0,0,0,0,0,0,3801964544,539807744,3319676928,4416319488,22801,150025,44,0,0,58.170,35.410,15.860,1815,7872,6,0,0,0,3,0,2,0,58.170,35.410,15.860,3801964544,539807744,3319676928,4416319488,41,0,0,0,0,0,0,0,1073737728,0,10592,314575,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,407,8454,8826,0,0,0,0,0,0,0,0,0,0
1769789192.134,67.300,29.658,3.042,0,0,0,0,0,0,0,0,0,0,3914211328,427560960,3319676928,4304072704,21745,156332,42,0,0,58.170,35.410,15.860,1295,7849,2,0,0,0,1,0,2,0,58.170,35.410,15.860,3914211328,427560960,3319676928,4304072704,39,0,0,0,0,0,0,0,1073737728,0,10592,314575,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,880,28172,2704,0,0,0,0,0,0,0,0,0,0
