"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","be449f71dddc",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260130153532/ktor-exposed-r2dbc-dsl/update/stats.txt",,,,"Date:","30 Jan 2026 16:04:18 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769789058.030,5.806,2.537,91.577,0.080,0,1777861.093,11137359.308,659845.344,0,0,0,0,0,3537367040,833966080,3290808320,4694900736,3449.990,15458.776,2,0,4.684,42.890,20.990,8.920,1423.081,938.156,20.916,0.143,51.885,0.982,6.097,0.008,2.766,0.021,42.890,20.990,8.920,3537367040,833966080,3290808320,4694900736,2,0,4.684,43.267,14.363,1.149,0,0,1073737728,0,7104,313305,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0.796,1631.916,2472.074,2552.530,0.488,0.030,0,0,0,0,0,0,0,0
1769789059.030,38.352,18.324,43.324,0,0,0,8323072,0,0,672,0,0,0,3539247104,832012288,3290902528,4693098496,68195,166909,2,0,66,42.890,20.990,8.920,58600,5478,89,0,88,0,17,0,73,0,42.890,20.990,8.920,3539247104,832012288,3290902528,4693098496,2,0,66,0,93,0,0,0,1073737728,0,7136,313553,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,11824,10186,14171,0.700,0,0,0,0,0,0,0,0,0
1769789060.030,39.944,21.519,38.397,0.141,0,0,5963776,0,0,336,0,0,0,3540230144,831008768,3290923008,4692094976,76215,187695,9,0,0,42.890,20.990,8.920,65869,5847,2,0,10,0,1,0,2,0,42.890,20.990,8.920,3540230144,831008768,3290923008,4692094976,8,0,0,0,10,0,0,0,1073737728,0,7136,313553,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2320,415,188,0.100,0,0,0,0,0,0,0,0,0
1769789061.030,37.986,22.446,39.568,0,0,0,6160384,0,0,336,0,0,0,3500150784,871071744,3290939392,4732157952,78856,192604,7,0,0,40.260,20.810,8.930,68829,5837,4,0,10,0,1,0,2,0,40.260,20.810,8.930,3500150784,871071744,3290939392,4732157952,8,0,0,0,10,0,0,0,1073737728,0,7136,313552,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1816,264,8415,0,0,0,0,0,0,0,0,0,0
1769789062.030,37.896,22.622,39.481,0,0,0,6160384,0,0,0,0,0,0,3500142592,871071744,3290947584,4732157952,78176,191179,5,0,0,40.260,20.810,8.930,68234,5752,2,0,10,0,1,0,2,0,40.260,20.810,8.930,3500142592,871071744,3290947584,4732157952,10,0,0,0,10,0,0,0,1073737728,0,7136,313548,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1686,137,128,0,0,0,0,0,0,0,0,0,0
1769789063.030,39.024,21.664,39.311,0,0,0,6291456,0,0,0,0,0,0,3479146496,892043264,3290972160,4753137664,79450,194623,7,0,0,40.260,20.810,8.930,69235,5797,2,0,10,0,2,0,2,0,40.260,20.810,8.930,3479146496,892043264,3290972160,4753137664,8,0,0,0,10,0,0,0,1073737728,0,7136,313548,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1666,162,6323,0,0,0,0,0,0,0,0,0,0
1769789064.031,2.785,1.519,95.696,0,0,0,1638400,0,0,0,0,0,0,3479130112,892043264,3290988544,4753137664,7052,16468,0,0,1,40.260,20.810,8.930,6020,608,26,0,9,0,26,0,4,0,40.260,20.810,8.930,3479130112,892043264,3290988544,4753137664,0,0,1,0,6,0,0,0,1073737728,0,7136,313533,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,247,133,1566,0.400,0,0,0,0,0,0,0,0,0
1769789065.030,0.626,0.250,99.124,0,0,0,0,0,0,0,0,0,0,3479126016,892043264,3290992640,4753137664,642,753,1,0,0,40.260,20.810,8.930,343,278,16,0,0,0,2,0,4,0,40.260,20.810,8.930,3479126016,892043264,3290992640,4753137664,0,0,0,0,0,0,0,0,1073737728,0,7136,313533,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,5,35,31,0,0,0,0,0,0,0,0,0,0
1769789066.032,0.376,0.376,99.247,0,0,0,0,0,0,0,0,0,0,3479126016,892043264,3290992640,4753137664,1132,1273,0,0,0,37.350,20.530,8.900,597,528,2,0,0,0,1,0,2,0,37.350,20.530,8.900,3479126016,892043264,3290992640,4753137664,0,0,0,0,0,0,0,0,1073737728,0,7136,313533,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,16,29,24,0,0,0,0,0,0,0,0,0,0
1769789067.036,0.249,0.249,99.502,0,0,0,0,0,0,0,0,0,0,3479117824,892043264,3291000832,4753137664,347,453,0,0,0,37.350,20.530,8.900,166,172,2,0,0,0,3,0,2,0,37.350,20.530,8.900,3479117824,892043264,3291000832,4753137664,0,0,0,0,0,0,0,0,1073737728,0,7136,313533,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,10,36,25,0,0,0,0,0,0,0,0,0,0
1769789068.034,0.251,0.376,99.247,0.125,0,0,0,0,0,0,0,0,0,3480469504,890691584,3291000832,4751806464,591,820,0,0,1,37.350,20.530,8.900,303,163,6,3,110,0,1,0,4,0,37.350,20.530,8.900,3480469504,890691584,3291000832,4751806464,0,0,1,0,0,0,0,0,1073737728,0,7136,313533,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,84,4182,4195,1,0,0,0,0,0,0,0,0,0
1769789069.030,63.648,25,11.352,0,0,0,7962624,0,0,0,0,0,0,3482107904,888844288,3291017216,4750159872,16015,119500,41,0,12,37.350,20.530,8.900,1901,7086,13,0,12,0,10,0,4,0,37.350,20.530,8.900,3482107904,888844288,3291017216,4750159872,48,0,12,0,10,0,0,0,1073737728,0,8672,314557,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,87853,8045,4677,1.800,0,0,0,0,0,0,0,0,0
1769789070.030,69.027,28.571,2.402,0,0,0,11141120,0,0,0,0,0,0,3459661824,911233024,3291074560,4772548608,18769,144681,54,0,0,37.350,20.530,8.900,1170,7845,4,0,10,0,1,0,2,0,37.350,20.530,8.900,3459661824,911233024,3291074560,4772548608,53,0,0,0,10,0,0,0,1073737728,0,8672,314557,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,71157,2005,6432,2.200,0,0,0,0,0,0,0,0,0
1769789071.032,69.455,28.517,2.028,0,0,0,10944512,0,0,0,0,0,0,3444850688,926019584,3291099136,4787343360,19660,141389,108,0,0,38.290,21,9.120,936,7853,2,0,10,0,3,0,2,0,38.290,21,9.120,3444850688,926019584,3291099136,4787343360,99,0,0,0,10,0,0,0,1073737728,0,8672,314557,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,60860,1883,5643,2.900,0,0,0,0,0,0,0,0,0
1769789072.030,67.726,28.971,3.304,0,0,0,10944512,0,0,0,0,0,0,3426361344,944476160,3291131904,4805799936,19831,143062,36,1,0,38.290,21,9.120,1389,7817,2,0,9,0,1,0,2,0,38.290,21,9.120,3426361344,944476160,3291131904,4805799936,35,0,0,0,10,0,0,0,1073737728,0,8672,314557,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,51533,1990,7868,1.800,0,0,0,0,0,0,0,0,0
1769789073.031,68.957,27.735,3.308,0,0,0,8716288,0,0,0,0,0,0,3393462272,977350656,3291156480,4838674432,20415,143828,28,0,0,38.290,21,9.120,1438,7783,2,0,9,0,1,0,2,0,38.290,21,9.120,3393462272,977350656,3291156480,4838674432,30,0,0,0,8,0,0,0,1073737728,0,8672,314557,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,46234,1551,6530,1.100,0,0,0,0,0,0,0,0,0
1769789074.030,69.416,27.919,2.665,0,0,0,12189696,0,0,0,0,0,0,3391832064,978948096,3291189248,4840275968,21218,142345,47,0,0,38.290,21,9.120,1222,7815,5,0,25,0,1,0,2,0,38.290,21,9.120,3391832064,978948096,3291189248,4840275968,45,0,0,0,32,0,0,0,1073737728,0,8672,314557,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,42290,4769,4498,2.100,0,0,0,0,0,0,0,0,0
1769789075.030,69.328,28.010,2.662,0,0,0,10813440,0,0,0,0,0,0,3402113024,968613888,3291242496,4829945856,21846,145009,49,0,0,38.290,21,9.120,1133,7846,2,0,10,0,3,0,2,0,38.290,21,9.120,3402113024,968613888,3291242496,4829945856,50,0,0,0,10,0,0,0,1073737728,0,8672,314557,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,41059,5599,4156,1.700,0,0,0,0,0,0,0,0,0
1769789076.030,68.025,29.172,2.675,0.127,0,0,10944512,0,0,0,0,0,0,3393011712,977690624,3291267072,4839022592,21097,145256,67,0,0,38.580,21.350,9.290,1381,7832,4,0,10,0,1,0,2,0,38.580,21.350,9.290,3393011712,977690624,3291267072,4839022592,65,0,0,0,10,0,0,0,1073737728,0,8672,314557,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,35637,2720,3406,1.900,0,0,0,0,0,0,0,0,0
1769789077.030,68.909,28.046,3.046,0,0,0,146079744,0,0,0,0,0,0,3399475200,971202560,3291295744,4832546816,22375,141749,64,0,0,38.580,21.350,9.290,1167,7827,1,0,23,0,2,0,10,0,38.580,21.350,9.290,3399475200,971202560,3291295744,4832546816,57,0,0,0,36,0,0,0,1073737728,0,8672,314558,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,33700,6066,7423,3,0,0,0,0,0,0,0,0,0
1769789078.030,69.797,28.553,1.650,0,0,0,8781824,0,0,0,0,0,0,3392626688,978026496,3291320320,4839370752,22909,146117,71,0,0,38.580,21.350,9.290,922,7870,2,0,8,0,1,0,2,0,38.580,21.350,9.290,3392626688,978026496,3291320320,4839370752,65,0,0,0,8,0,0,0,1073737728,0,8672,314558,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,33007,6058,7300,0.700,0,0,0,0,0,0,0,0,0
1769789079.030,68.234,28.971,2.795,0,0,0,10813440,0,0,0,0,0,0,3414884352,955727872,3291361280,4817080320,21012,144450,72,0,1,38.580,21.350,9.290,1100,7771,2,0,10,0,3,0,2,0,38.580,21.350,9.290,3414884352,955727872,3291361280,4817080320,87,0,1,0,10,0,0,0,1073737728,0,8704,314558,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,30784,9447,2824,1.700,0,0,0,0,0,0,0,0,0
