"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","be449f71dddc",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260130153532/vertx-web-kotlinx-exposed-r2dbc-postgresql/query/stats.txt",,,,"Date:","30 Jan 2026 16:51:34 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769791894.506,10.759,4.745,84.419,0.077,0,1363907.552,13744102.607,498585.279,0,0,0,0,0,2012217344,1735274496,3861934080,6117761024,5389.005,30665.261,1,0,4.914,10.630,9.130,10.870,1886.026,1496.201,26.156,0.129,46.527,0.742,14.459,0.006,5.753,0.020,10.630,9.130,10.870,2012217344,1735274496,3861934080,6117761024,1,0,4.914,33.147,15.867,0.869,0,0,1073737728,0,896,343239,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0.645,2754.103,3306.301,3430.506,0.558,0.023,0,0,0,0,0,0,0,0
1769791895.507,46.879,22.444,30.677,0,0,0,2916352,0,0,672,0,0,0,2017615872,1729847296,3861962752,6112370688,50033,206603,9,0,44,10.630,9.130,10.870,39514,5618,58,0,55,0,17,0,46,0,10.630,9.130,10.870,2017615872,1729847296,3861962752,6112370688,8,0,44,0,54,0,0,0,1073737728,0,928,343449,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,3372,10259,11259,0.300,0,0,0,0,0,0,0,0,0
1769791896.507,43.056,20.278,36.667,0,0,0,0,0,0,336,0,0,0,2011066368,1736396800,3861962752,6118920192,66110,177198,9,0,0,10.630,9.130,10.870,57403,4936,2,0,0,0,1,0,2,0,10.630,9.130,10.870,2011066368,1736396800,3861962752,6118920192,8,0,0,0,0,0,0,0,1073737728,0,928,343449,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,9,1569,2079,0,0,0,0,0,0,0,0,0,0
1769791897.507,43.448,20.966,35.586,0,0,0,1179648,0,0,336,0,0,0,2014711808,1732751360,3861962752,6115278848,67700,185550,5,0,0,10.630,9.130,10.870,58553,5053,4,0,20,0,1,0,2,0,10.630,9.130,10.870,2014711808,1732751360,3861962752,6115278848,7,0,0,0,10,0,0,0,1073737728,0,928,343448,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,26,3646,3659,0.400,0,0,0,0,0,0,0,0,0
1769791898.507,43.232,20.442,36.326,0,0,0,0,0,0,0,0,0,0,2010517504,1736945664,3861962752,6119485440,68332,183634,6,0,1,10.630,9.130,10.870,59295,5022,13,0,0,0,1,0,4,0,10.630,9.130,10.870,2010517504,1736945664,3861962752,6119485440,8,0,1,0,0,0,0,0,1073737728,0,928,343448,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,1093,1048,1023,0,0,0,0,0,0,0,0,0,0
1769791899.507,44.490,20.816,34.694,0,0,0,0,0,0,0,0,0,0,2011013120,1736441856,3861970944,6118985728,64817,187657,7,0,0,10.170,9.060,10.840,56004,5125,2,0,0,0,2,0,2,0,10.170,9.060,10.840,2011013120,1736441856,3861970944,6118985728,7,0,0,0,0,0,0,0,1073737728,0,928,343448,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,17,2089,2596,0,0,0,0,0,0,0,0,0,0
1769791900.520,2.503,1.252,96.245,0,0,0,0,0,0,0,0,0,0,2009432064,1738018816,3861975040,6120574976,4457,11992,0,0,3,10.170,9.060,10.840,3697,497,26,0,0,0,26,0,13,0,10.170,9.060,10.840,2009432064,1738018816,3861975040,6120574976,0,0,3,0,0,0,0,0,1073737728,0,928,343433,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,231,696,1547,0,0,0,0,0,0,0,0,0,0
1769791901.509,0.253,0.127,99.620,0,0,0,2097152,0,0,0,0,0,0,2009169920,1738276864,3861979136,6120833024,286,360,0,0,0,10.170,9.060,10.840,148,124,2,0,7,0,2,0,2,0,10.170,9.060,10.840,2009169920,1738276864,3861979136,6120833024,0,0,0,0,14,0,0,0,1073737728,0,928,343433,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,1,26,25,0.200,0,0,0,0,0,0,0,0,0
1769791902.511,0.125,0.125,99.750,0,0,0,0,0,0,0,0,0,0,2009169920,1738276864,3861979136,6120833024,292,355,0,0,0,10.170,9.060,10.840,141,143,4,0,0,0,1,0,2,0,10.170,9.060,10.840,2009169920,1738276864,3861979136,6120833024,0,0,0,0,0,0,0,0,1073737728,0,928,343433,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,2,27,24,0,0,0,0,0,0,0,0,0,0
1769791903.510,0.125,0.125,99.749,0,0,0,393216,0,0,0,0,0,0,2009161728,1738276864,3861987328,6120833024,298,387,0,0,0,10.170,9.060,10.840,152,135,2,0,4,0,3,0,2,0,10.170,9.060,10.840,2009161728,1738276864,3861987328,6120833024,0,0,0,0,2,0,0,0,1073737728,0,928,343433,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,1,29,25,0.300,0,0,0,0,0,0,0,0,0
1769791904.510,0.125,0.375,99.124,0.375,0,0,2097152,0,0,0,0,0,0,2009161728,1738276864,3861987328,6120845312,914,1277,0,0,1,9.360,8.910,10.780,473,169,4,2,259,0,1,0,4,0,9.360,8.910,10.780,2009161728,1738276864,3861987328,6120845312,0,0,1,0,1,0,0,0,1073737728,0,928,343433,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,96,94,86,2.100,0,0,0,0,0,0,0,0,0
1769791905.506,58.101,29.620,12.278,0,0,0,0,0,0,0,0,0,0,2009956352,1737236480,3861987328,6120058880,16619,238608,13,0,9,9.360,8.910,10.780,4230,7189,14,0,0,0,10,0,4,0,9.360,8.910,10.780,2009956352,1737236480,3861987328,6120058880,11,0,9,0,0,0,0,0,1073737728,0,1920,344457,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,2793,12751,10843,0,0,0,0,0,0,0,0,0,0
1769791906.506,65.786,33.208,1.006,0,0,0,0,0,0,0,0,0,0,2000576512,1746616320,3861987328,6129438720,12782,277176,13,0,0,9.360,8.910,10.780,712,7924,2,0,0,0,1,0,2,0,9.360,8.910,10.780,2000576512,1746616320,3861987328,6129438720,13,0,0,0,0,0,0,0,1073737728,0,1920,344457,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,183,1152,3915,0,0,0,0,0,0,0,0,0,0
1769791907.506,65.621,33.626,0.753,0,0,0,2097152,0,0,0,0,0,0,1981923328,1765261312,3861995520,6148083712,12063,276176,15,0,0,9.360,8.910,10.780,291,7923,2,0,5,0,3,0,2,0,9.360,8.910,10.780,1981923328,1765261312,3861995520,6148083712,12,0,0,0,5,0,0,0,1073737728,0,1920,344457,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,187,1163,4075,0.900,0,0,0,0,0,0,0,0,0
1769791908.506,65.152,33.838,1.010,0,0,0,1376256,0,0,0,0,0,0,1972183040,1775001600,3861995520,6157844480,12828,274207,12,0,0,9.360,8.910,10.780,492,7884,2,0,38,0,1,0,2,0,9.360,8.910,10.780,1972183040,1775001600,3861995520,6157844480,12,0,0,0,30,0,0,0,1073737728,0,1888,344457,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,189,1183,4074,12.100,0,0,0,0,0,0,0,0,0
1769791909.506,64.151,32.453,3.396,0,0,0,0,0,0,0,0,0,0,1961910272,1785274368,3861995520,6168129536,17208,274940,14,0,0,9.570,8.960,10.790,3448,7864,2,0,0,0,1,0,2,0,9.570,8.960,10.790,1961910272,1785274368,3861995520,6168129536,13,0,0,0,0,0,0,0,1073737728,0,1888,344457,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,175,1220,3051,0,0,0,0,0,0,0,0,0,0
1769791910.506,64.358,34.005,1.637,0,0,0,1867776,0,0,0,0,0,0,1963417600,1783767040,3861995520,6166622208,13817,276522,13,0,0,9.570,8.960,10.790,1260,7903,6,0,20,0,1,0,2,0,9.570,8.960,10.790,1963417600,1783767040,3861995520,6166622208,13,0,0,0,45,0,0,0,1073737728,0,1888,344457,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,398,1390,3078,0.300,0,0,0,0,0,0,0,0,0
1769791911.506,66.291,32.957,0.752,0,0,0,0,0,0,0,0,0,0,1965465600,1781714944,3861999616,6164570112,12351,277646,13,0,0,9.570,8.960,10.790,225,7943,2,0,0,0,3,0,2,0,9.570,8.960,10.790,1965465600,1781714944,3861999616,6164570112,14,0,0,0,0,0,0,0,1073737728,0,1888,344457,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,784,1799,2086,0,0,0,0,0,0,0,0,0,0
1769791912.506,63.317,32.915,3.769,0,0,0,0,0,0,0,0,0,0,1956515840,1790664704,3861999616,6173523968,18285,274618,13,0,0,9.570,8.960,10.790,4322,7849,2,0,0,0,1,0,2,0,9.570,8.960,10.790,1956515840,1790664704,3861999616,6173523968,16,0,0,0,0,0,0,0,1073737728,0,1888,344457,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,662,1675,2572,0,0,0,0,0,0,0,0,0,0
1769791913.506,63.052,33.922,3.026,0,0,0,0,0,0,0,0,0,0,1954488320,1792688128,3862003712,6175551488,15772,273596,11,0,0,9.570,8.960,10.790,2331,7839,4,0,0,0,2,0,2,0,9.570,8.960,10.790,1954488320,1792688128,3862003712,6175551488,12,0,0,0,0,0,0,0,1073737728,0,1888,344457,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,463,1524,1678,0,0,0,0,0,0,0,0,0,0
1769791914.506,64.662,33.208,2.130,0,0,0,360448,0,0,0,0,0,0,1957863424,1789313024,3862003712,6172184576,14380,276652,13,0,0,9.930,9.040,10.800,1875,7931,2,0,4,0,1,0,2,0,9.930,9.040,10.800,1957863424,1789313024,3862003712,6172184576,15,0,0,0,2,0,0,0,1073737728,0,1888,344457,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,643,1678,2629,0.900,0,0,0,0,0,0,0,0,0
1769791915.506,65.283,33.082,1.635,0,0,0,0,0,0,0,0,0,0,1951113216,1796055040,3862011904,6178934784,15225,276233,13,0,0,9.930,9.040,10.800,1881,7929,2,0,0,0,3,0,2,0,9.930,9.040,10.800,1951113216,1796055040,3862011904,6178934784,14,0,0,0,0,0,0,0,1073737728,0,1888,344457,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,700,1762,2609,0,0,0,0,0,0,0,0,0,0
1769791916.506,64.943,33.544,1.513,0,0,0,0,0,0,0,0,0,0,1942134784,1805033472,3862011904,6187913216,12704,270665,17,0,0,9.930,9.040,10.800,546,7837,2,0,0,0,1,0,2,0,9.930,9.040,10.800,1942134784,1805033472,3862011904,6187913216,12,0,0,0,0,0,0,0,1073737728,0,1888,344457,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,402,1406,2050,0,0,0,0,0,0,0,0,0,0
1769791917.506,66.373,32.872,0.756,0,0,0,0,0,0,0,0,0,0,1935175680,1811992576,3862011904,6194872320,12467,274763,15,0,0,9.930,9.040,10.800,256,7889,4,0,0,0,1,0,2,0,9.930,9.040,10.800,1935175680,1811992576,3862011904,6194872320,17,0,0,0,0,0,0,0,1073737728,0,1888,344457,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,700,1671,2660,0,0,0,0,0,0,0,0,0,0
1769791918.506,66.416,32.581,1.003,0,0,0,0,0,0,0,0,0,0,1937129472,1810038784,3862011904,6192918528,12827,276332,11,0,1,9.930,9.040,10.800,655,7947,2,0,0,0,1,0,2,0,9.930,9.040,10.800,1937129472,1810038784,3862011904,6192918528,12,0,1,0,0,0,0,0,1073737728,0,1888,344457,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,1905,2405,2581,0,0,0,0,0,0,0,0,0,0
1769791919.506,66.792,32.707,0.501,0,0,0,0,0,0,0,0,0,0,1950187520,1796972544,3862020096,6179860480,12364,277204,14,0,0,10.330,9.140,10.830,155,7954,4,0,0,0,3,0,2,0,10.330,9.140,10.830,1950187520,1796972544,3862020096,6179860480,14,0,0,0,0,0,0,0,1073737728,0,1888,344457,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,644,5785,4167,0,0,0,0,0,0,0,0,0,0
1769791920.509,10,4.250,85.750,0,0,0,0,0,0,0,0,0,0,1934622720,1812717568,3862028288,6195417088,2234,36949,0,0,1,10.330,9.140,10.830,336,1304,14,0,0,0,26,0,4,0,10.330,9.140,10.830,1934622720,1812717568,3862028288,6195417088,0,0,1,0,0,0,0,0,1073737728,0,1056,343433,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,129,223,2659,0,0,0,0,0,0,0,0,0,0
1769791921.509,0.125,0.125,99.750,0,0,0,0,0,0,0,0,0,0,1935138816,1812201472,3862028288,6194909184,297,391,0,0,0,10.330,9.140,10.830,156,136,2,0,0,0,1,0,2,0,10.330,9.140,10.830,1935138816,1812201472,3862028288,6194909184,0,0,0,0,0,0,0,0,1073737728,0,1056,343433,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,9,35,42,0,0,0,0,0,0,0,0,0,0
1769791922.511,0.374,0.125,99.501,0,0,0,0,0,0,0,0,0,0,1935138816,1812201472,3862028288,6194909184,282,366,0,0,0,10.330,9.140,10.830,150,116,2,0,0,0,1,0,2,0,10.330,9.140,10.830,1935138816,1812201472,3862028288,6194909184,0,0,0,0,0,0,0,0,1073737728,0,1056,343433,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,21,46,24,0,0,0,0,0,0,0,0,0,0
1769791923.510,0.250,0.125,99.625,0,0,0,0,0,0,0,0,0,0,1935388672,1811943424,3862036480,6194651136,306,397,0,0,0,10.330,9.140,10.830,170,128,2,0,0,0,3,0,2,0,10.330,9.140,10.830,1935388672,1811943424,3862036480,6194651136,0,0,0,0,0,0,0,0,1073737728,0,1056,343433,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,8,34,24,0,0,0,0,0,0,0,0,0,0
1769791924.511,0.125,0.125,99.750,0,0,0,0,0,0,0,0,0,0,1935384576,1811943424,3862040576,6194651136,256,322,0,0,0,9.510,8.990,10.770,137,113,2,0,0,0,2,0,2,0,9.510,8.990,10.770,1935384576,1811943424,3862040576,6194651136,0,0,0,0,0,0,0,0,1073737728,0,1056,343433,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,16,41,24,0,0,0,0,0,0,0,0,0,0
1769791925.506,53.797,31.139,15.063,0,0,0,229376,0,0,0,0,0,0,1983864832,1763340288,3862040576,6146191360,12868,245350,15,0,10,9.510,8.990,10.770,1264,6815,16,0,5,0,10,0,14,0,9.510,8.990,10.770,1983864832,1763340288,3862040576,6146191360,15,0,10,0,3,0,0,0,1073737728,0,1856,344452,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,4618,21328,4919,0.700,0,0,0,0,0,0,0,0,0
1769791926.506,63.258,35.354,1.389,0,0,0,0,0,0,0,0,0,0,1978449920,1768755200,3862040576,6151606272,14653,295200,14,0,0,9.510,8.990,10.770,927,7873,2,0,0,0,1,0,2,0,9.510,8.990,10.770,1978449920,1768755200,3862040576,6151606272,15,0,0,0,0,0,0,0,1073737728,0,1856,344452,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,870,2383,3402,0,0,0,0,0,0,0,0,0,0
1769791927.506,63.442,35.930,0.628,0,0,0,0,0,0,0,0,0,0,1971380224,1775820800,3862044672,6158675968,14242,300021,13,0,2,9.510,8.990,10.770,404,7937,2,0,0,0,3,0,2,0,9.510,8.990,10.770,1971380224,1775820800,3862044672,6158675968,13,0,2,0,0,0,0,0,1073737728,0,1856,344452,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,645,1978,4430,0,0,0,0,0,0,0,0,0,0
1769791928.506,62.500,35.985,1.515,0,0,0,0,0,0,0,0,0,0,1961721856,1785479168,3862044672,6168334336,17312,299445,14,0,0,9.510,8.990,10.770,1941,7926,5,0,0,0,1,0,2,0,9.510,8.990,10.770,1961721856,1785479168,3862044672,6168334336,11,0,0,0,0,0,0,0,1073737728,0,1856,344452,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,435,1711,3867,0,0,0,0,0,0,0,0,0,0
1769791929.506,61.995,35.732,2.273,0,0,0,0,0,0,0,0,0,0,1952509952,1794691072,3862044672,6177546240,17166,298871,15,0,0,9.870,9.080,10.790,2433,7881,2,0,0,0,1,0,2,0,9.870,9.080,10.790,1952509952,1794691072,3862044672,6177546240,14,0,0,0,0,0,0,0,1073737728,0,1856,344452,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,565,1878,3371,0,0,0,0,0,0,0,0,0,0
1769791930.506,62.688,35.930,1.382,0,0,0,557056,0,0,0,0,0,0,1944551424,1802649600,3862044672,6185512960,15764,299978,13,0,0,9.870,9.080,10.790,1293,7922,2,0,12,0,1,0,10,0,9.870,9.080,10.790,1944551424,1802649600,3862044672,6185512960,17,0,0,0,12,0,0,0,1073737728,0,1856,344452,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,430,1777,3553,0.900,0,0,0,0,0,0,0,0,0
1769791931.506,62.846,36.524,0.630,0,0,0,0,0,0,0,0,0,0,1944559616,1802641408,3862044672,6185504768,13839,299003,14,0,0,9.870,9.080,10.790,175,7904,2,0,0,0,3,0,2,0,9.870,9.080,10.790,1944559616,1802641408,3862044672,6185504768,18,0,0,0,0,0,0,0,1073737728,0,1856,344452,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,431,1746,2084,0,0,0,0,0,0,0,0,0,0
