"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","726d98fe4ee4",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260131152453/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/db/stats.txt",,,,"Date:","31 Jan 2026 15:28:58 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769873338.167,8.910,0.894,90.014,0.182,0,5362396.499,47760688.530,3174674.894,0,0,0,0,0,923189248,4054118400,3121074176,6765355008,3780.333,4994.609,4,0,9.168,2.440,2.230,1.150,1981.127,1266.186,134.816,1.647,80.640,4.814,219.010,0.033,53.460,0.039,2.440,2.230,1.150,923189248,4054118400,3121074176,6765355008,3,0,9.168,25.407,41.704,5.496,0,0,1073737728,0,864,47556,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,5.283,3287.616,10948.647,12816.037,1.272,0.086,0,0,0,0,0,0,0,0
1769873339.168,70.549,18.608,10.710,0.134,0,6422528,2883584,0,0,672,0,0,0,938602496,4037910528,3121901568,6749966336,14488,120212,9,0,37,2.440,2.230,1.150,1750,6834,65,0,67,0,17,0,48,0,2.440,2.230,1.150,938602496,4037910528,3121901568,6749966336,10,0,37,13,54,0,0,0,1073737728,0,960,47759,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,6,3786,13795,11622,2.800,0,0,0,0,0,0,0,0,0
1769873340.168,33.106,18.801,48.093,0,0,0,0,0,0,336,0,0,0,951201792,4025327616,3121901568,6737367040,52152,135520,0,0,0,2.560,2.260,1.170,44625,4393,4,0,0,0,1,0,2,0,2.560,2.260,1.170,951201792,4025327616,3121901568,6737367040,0,0,0,0,0,0,0,0,1073737728,0,960,47759,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,15,4648,4140,0,0,0,0,0,0,0,0,0,0
1769873341.168,33.563,19.120,47.318,0,0,0,0,0,0,336,0,0,0,967979008,4008550400,3121901568,6720589824,60577,147811,7,0,0,2.560,2.260,1.170,52639,4243,5,0,0,0,1,0,2,0,2.560,2.260,1.170,967979008,4008550400,3121901568,6720589824,7,0,0,0,0,0,0,0,1073737728,0,960,47758,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,17,6185,2599,0,0,0,0,0,0,0,0,0,0
1769873342.168,36.938,22.753,40.309,0,0,0,0,0,0,0,0,0,0,976367616,4000161792,3121901568,6712201216,80061,205382,10,0,0,2.560,2.260,1.170,69759,4742,13,0,0,0,1,0,2,0,2.560,2.260,1.170,976367616,4000161792,3121901568,6712201216,8,0,0,0,0,0,0,0,1073737728,0,960,47757,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,36,7254,6723,0,0,0,0,0,0,0,0,0,0
1769873343.168,36.530,23.554,39.915,0,0,0,0,0,0,0,0,0,0,964390912,4012130304,3121909760,6724169728,79684,207259,7,0,2,2.560,2.260,1.170,69668,4689,3,0,0,0,2,0,2,0,2.560,2.260,1.170,964390912,4012130304,3121909760,6724169728,7,0,2,0,0,0,0,0,1073737728,0,960,47757,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,1123,552,2557,0,0,0,0,0,0,0,0,0,0
1769873344.168,3.448,2.427,94.125,0,0,557056,393216,0,0,0,0,0,0,938569728,4037873664,3121987584,6749982720,11512,25217,0,0,1,2.560,2.260,1.170,9964,1112,23,0,7,0,26,0,4,0,2.560,2.260,1.170,938569728,4037873664,3121987584,6749982720,0,0,1,2,2,0,0,0,1073737728,0,960,47743,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,1,137,197,1605,0.300,0,0,0,0,0,0,0,0,0
1769873345.169,0.502,1.004,97.992,0.502,0,0,0,0,0,0,0,0,0,939069440,4037369856,3121991680,6749483008,2639,3636,0,0,1,2.520,2.260,1.170,1496,719,7,2,391,0,2,0,4,0,2.520,2.260,1.170,939069440,4037369856,3121991680,6749483008,0,0,1,0,0,0,0,0,1073737728,0,960,47743,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,90,92,105,3.500,0,0,0,0,0,0,0,0,0
1769873346.168,0.252,0.503,99.245,0,0,0,0,0,0,0,0,0,0,939081728,4037357568,3121991680,6749470720,1408,1943,0,0,0,2.520,2.260,1.170,848,545,2,0,0,0,1,0,2,0,2.520,2.260,1.170,939081728,4037357568,3121991680,6749470720,0,0,0,0,0,0,0,0,1073737728,0,960,47743,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,3,27,25,0,0,0,0,0,0,0,0,0,0
1769873347.169,0.250,0.125,99.625,0,0,0,0,0,0,0,0,0,0,939073536,4037357568,3121999872,6749470720,248,348,0,0,0,2.520,2.260,1.170,133,107,2,0,0,0,3,0,2,0,2.520,2.260,1.170,939073536,4037357568,3121999872,6749470720,0,0,0,0,0,0,0,0,1073737728,0,960,47743,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,11,35,24,0,0,0,0,0,0,0,0,0,0
1769873348.170,0.125,0.250,99.625,0,0,0,0,0,0,0,0,0,0,939073536,4037357568,3121999872,6749503488,286,366,0,0,0,2.520,2.260,1.170,150,130,2,0,0,0,1,0,2,0,2.520,2.260,1.170,939073536,4037357568,3121999872,6749503488,0,0,0,0,0,0,0,0,1073737728,0,960,47743,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,2,26,24,0,0,0,0,0,0,0,0,0,0
1769873349.168,53.376,25.350,21.274,0,0,0,131072,0,0,0,0,0,0,969162752,4006604800,3121999872,6719422464,18213,73255,17,0,11,2.520,2.260,1.170,1333,6328,14,0,4,0,10,0,4,0,2.520,2.260,1.170,969162752,4006604800,3121999872,6719422464,16,0,11,0,2,0,0,0,1073737728,0,1792,48767,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,1490,33242,19285,0.200,0,0,0,0,0,0,0,0,0
1769873350.168,65.689,31.633,2.679,0,0,0,0,0,0,0,0,0,0,1105416192,3870351360,3121999872,6583169024,21733,98225,17,0,0,3.840,2.530,1.270,745,7691,2,0,0,0,1,0,2,0,3.840,2.530,1.270,1105416192,3870351360,3121999872,6583169024,16,0,0,0,0,0,0,0,1073737728,0,1792,48767,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,200,70500,38106,0,0,0,0,0,0,0,0,0,0
1769873351.168,66.960,30.025,3.015,0,0,0,0,0,0,0,0,0,0,1176682496,3799076864,3122008064,6511902720,21479,80817,21,0,0,3.840,2.530,1.270,1061,7764,2,0,0,0,3,0,2,0,3.840,2.530,1.270,1176682496,3799076864,3122008064,6511902720,21,0,0,0,0,0,0,0,1073737728,0,1792,48767,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,108,44290,26253,0,0,0,0,0,0,0,0,0,0
1769873352.169,65.779,28.771,5.450,0,0,0,0,0,0,0,0,0,0,1180925952,3794833408,3122008064,6507659264,26872,74365,18,0,0,3.840,2.530,1.270,2765,7539,11,0,0,0,1,0,5,0,3.840,2.530,1.270,1180925952,3794833408,3122008064,6507659264,19,0,0,0,0,0,0,0,1073737728,0,1792,48767,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,200,15679,14973,0,0,0,0,0,0,0,0,0,0
1769873353.168,66.624,30.203,3.173,0,0,0,0,0,0,0,0,0,0,1182228480,3793530880,3122008064,6506356736,24536,92948,15,0,0,3.840,2.530,1.270,1561,7683,4,0,0,0,1,0,2,0,3.840,2.530,1.270,1182228480,3793530880,3122008064,6506356736,18,0,0,0,0,0,0,0,1073737728,0,1792,48767,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,6,14195,14704,0,0,0,0,0,0,0,0,0,0
1769873354.168,66.751,30.341,2.908,0,0,0,262144,0,0,0,0,0,0,1179369472,3796389888,3122008064,6509215744,25755,90997,14,0,0,3.840,2.530,1.270,1782,7753,6,0,5,0,1,0,2,0,3.840,2.530,1.270,1179369472,3796389888,3122008064,6509215744,19,0,0,0,3,0,0,0,1073737728,0,1792,48767,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,18,16444,16377,0.200,0,0,0,0,0,0,0,0,0
1769873355.168,66.582,30.253,3.165,0,0,0,0,0,0,0,0,0,0,1181638656,3794112512,3122016256,6506942464,23021,85085,16,0,0,4.970,2.790,1.360,1460,7683,4,0,0,0,3,0,2,0,4.970,2.790,1.360,1181638656,3794112512,3122016256,6506942464,18,0,0,0,0,0,0,0,1073737728,0,1792,48767,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,9,15739,15700,0,0,0,0,0,0,0,0,0,0
1769873356.168,67.257,29.836,2.908,0,0,0,0,0,0,0,0,0,0,1184845824,3790905344,3122016256,6503747584,21509,86319,18,0,0,4.970,2.790,1.360,1584,7740,2,0,0,0,1,0,2,0,4.970,2.790,1.360,1184845824,3790905344,3122016256,6503747584,17,0,0,0,0,0,0,0,1073737728,0,1792,48767,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,10,15243,15320,0,0,0,0,0,0,0,0,0,0
1769873357.168,66.709,29.352,3.939,0,0,0,0,0,0,0,0,0,0,1180430336,3795316736,3122020352,6508158976,23219,76980,14,0,0,4.970,2.790,1.360,2423,7656,2,0,0,0,2,0,2,0,4.970,2.790,1.360,1180430336,3795316736,3122020352,6508158976,15,0,0,0,0,0,0,0,1073737728,0,1792,48767,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2095,0,0,1,0,0,68,0,68,0,12,15846,15334,0,0,0,0,0,0,0,0,0,0
