"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","726d98fe4ee4",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260131152453/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","31 Jan 2026 15:59:26 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769875166.438,22.016,7.251,70.603,0.130,0,3687365.758,32839228.495,2176972.536,0,0,0,0,0,1606029312,3369897984,3122192384,6083276800,10692.626,30625.960,0,0,6.767,13.540,8.470,3.980,3829.510,2695.397,94.803,1.140,57.403,3.301,151.732,0.023,38.002,0.032,13.540,8.470,3.980,1606029312,3369897984,3122192384,6083276800,1,0,6.767,17.447,29.725,3.769,0,0,1073737728,0,864,47568,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,3.633,2378.318,10371.656,11422.949,0.938,0.059,0,0,0,0,0,0,0,0
1769875167.439,44.926,18.809,36.130,0.135,0,0,62423040,0,0,672,0,0,0,1615978496,3356901376,3125243904,6071590912,54429,140138,8,0,49,13.540,8.470,3.980,43594,5104,61,0,72,0,17,0,57,0,13.540,8.470,3.980,1615978496,3356901376,3125243904,6071590912,8,0,49,0,72,0,0,0,1073737728,0,864,47782,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,21021,9209,9141,1.800,0,0,0,0,0,0,0,0,0
1769875168.439,42.228,18.569,39.202,0,0,0,58720256,0,0,336,0,0,0,1609777152,3377414144,3110932480,6076592128,64742,159218,7,0,0,13.540,8.470,3.980,54789,4874,2,0,14,0,1,0,2,0,13.540,8.470,3.980,1609777152,3377414144,3110932480,6076592128,9,0,0,0,14,0,0,0,1073737728,0,864,47782,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,6251,664,4122,0.900,0,0,0,0,0,0,0,0,0
1769875169.439,43.664,19.421,36.915,0,0,0,50331648,0,0,336,0,0,0,1609113600,3369156608,3119853568,6075846656,64162,157490,6,0,0,13.250,8.490,4.010,53427,5094,2,0,12,0,1,0,2,0,13.250,8.490,4.010,1609113600,3369156608,3119853568,6075846656,7,0,0,0,15,0,0,0,1073737728,0,864,47781,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3143,2216,24,0.900,0,0,0,0,0,0,0,0,0
1769875170.439,45.095,18.529,36.240,0.136,0,0,58720256,0,0,0,0,0,0,1609084928,3357880320,3131158528,6073802752,63215,154738,6,0,0,13.250,8.490,4.010,52377,5170,4,0,14,0,1,0,2,0,13.250,8.490,4.010,1609084928,3357880320,3131158528,6073802752,5,0,0,0,15,0,0,0,1073737728,0,864,47781,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,4371,2801,68,1,0,0,0,0,0,0,0,0,0
1769875171.439,43.656,20.055,36.153,0.136,0,0,193691648,0,0,0,0,0,0,1606242304,3355185152,3136679936,6075445248,62869,153847,8,0,0,13.250,8.490,4.010,52035,5068,2,0,30,0,2,0,2,0,13.250,8.490,4.010,1606242304,3355185152,3136679936,6075445248,7,0,0,0,48,0,0,0,1073737728,0,864,47782,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2763,5509,7343,2.800,0,0,0,0,0,0,0,0,0
1769875172.441,6.053,3.026,90.921,0,0,0,10944512,0,0,0,0,0,0,1610645504,3350487040,3136974848,6071132160,9680,23071,0,0,1,13.250,8.490,4.010,7880,886,25,0,6,0,26,0,4,0,13.250,8.490,4.010,1610645504,3350487040,3136974848,6071132160,0,0,1,0,6,0,0,0,1073737728,0,864,47767,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,520,1724,1607,0.300,0,0,0,0,0,0,0,0,0
1769875173.443,0.250,0,99.750,0,0,0,0,0,0,0,0,0,0,1610641408,3350487040,3136978944,6071132160,294,371,0,0,0,13.250,8.490,4.010,148,139,2,0,0,0,2,0,2,0,13.250,8.490,4.010,1610641408,3350487040,3136978944,6071132160,0,0,0,0,0,0,0,0,1073737728,0,864,47767,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,0,25,24,0,0,0,0,0,0,0,0,0,0
1769875174.439,0.252,0.631,99.117,0,0,0,0,0,0,0,0,0,0,1610641408,3350487040,3136978944,6071132160,1591,2080,0,0,0,12.350,8.390,4,977,597,2,0,0,0,1,0,2,0,12.350,8.390,4,1610641408,3350487040,3136978944,6071132160,0,0,0,0,0,0,0,0,1073737728,0,864,47767,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3,26,24,0,0,0,0,0,0,0,0,0,0
1769875175.439,0.252,0.504,99.244,0,0,0,0,0,0,0,0,0,0,1610633216,3350487040,3136987136,6071132160,1731,2332,0,0,0,12.350,8.390,4,1073,637,2,0,0,0,3,0,2,0,12.350,8.390,4,1610633216,3350487040,3136987136,6071132160,0,0,0,0,0,0,0,0,1073737728,0,864,47767,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2,28,28,0,0,0,0,0,0,0,0,0,0
1769875176.440,0.378,1.008,98.237,0.378,0,0,196608,0,0,0,0,0,0,1610633216,3350487040,3136987136,6071136256,2597,3687,0,0,1,12.350,8.390,4,1433,735,2,2,400,0,1,0,4,0,12.350,8.390,4,1610633216,3350487040,3136987136,6071136256,0,0,1,0,2,0,0,0,1073737728,0,864,47767,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,85,88,82,3,0,0,0,0,0,0,0,0,0
1769875177.439,59.975,17.281,22.618,0.127,0,0,233111552,0,0,0,0,0,0,1605345280,3350937600,3141443584,6073876480,21521,46095,14,0,10,12.350,8.390,4,3083,6242,23,0,41,0,10,0,6,0,12.350,8.390,4,1605345280,3350937600,3141443584,6073876480,13,0,10,0,55,0,0,0,1073737728,0,1792,48792,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,6754,11596,11177,8.300,0,0,0,0,0,0,0,0,0
1769875178.439,72.066,21.173,6.633,0.128,0,0,117637120,0,0,0,0,0,0,1601216512,3346857984,3149651968,6074019840,28795,69425,17,0,0,12.350,8.390,4,3165,7369,4,0,28,0,1,0,2,0,12.350,8.390,4,1601216512,3346857984,3149651968,6074019840,17,0,0,0,33,0,0,0,1073737728,0,1792,48792,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,9055,5881,4433,5,0,0,0,0,0,0,0,0,0
1769875179.439,74.079,19.568,6.226,0.127,0,0,252116992,0,0,0,0,0,0,1607680000,3335299072,3154747392,6065041408,23649,58132,15,0,0,12.800,8.550,4.080,3134,7428,4,0,43,0,3,0,2,0,12.800,8.550,4.080,1607680000,3335299072,3154747392,6065041408,18,0,0,0,68,0,0,0,1073737728,0,1792,48793,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,6010,9049,11428,7.500,0,0,0,0,0,0,0,0,0
1769875180.439,75.349,18.933,5.464,0.254,0,0,243728384,0,0,0,0,0,0,1590439936,3348140032,3159130112,6080073728,25178,65800,14,0,0,12.800,8.550,4.080,3021,7503,4,0,39,0,1,0,2,0,12.800,8.550,4.080,1590439936,3348140032,3159130112,6080073728,12,0,0,0,59,0,0,0,1073737728,0,1792,48795,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,5449,8621,7925,6.500,0,0,0,0,0,0,0,0,0
1769875181.439,76.679,19.138,4.183,0,0,0,236093440,0,0,0,0,0,0,1570619392,3363717120,3163357184,6097788928,24320,80176,10,0,0,12.800,8.550,4.080,2472,7627,2,0,43,0,1,0,2,0,12.800,8.550,4.080,1570619392,3363717120,3163357184,6097788928,11,0,0,0,64,0,0,0,1073737728,0,1792,48796,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,5070,8026,11133,9,0,0,0,0,0,0,0,0,0
