"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","fb3a7cdce728",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260131181233/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/fortune/stats.txt",,,,"Date:","31 Jan 2026 18:19:45 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769883585.288,48.567,15.298,36.020,0.115,0,17193897.437,35093640.736,3901294.763,0,0,0,0,0,1219256320,5286072320,1665302528,6342479872,20708.987,68278.897,3,0,9.128,9.810,8.040,3.820,6085.256,5217.680,75.619,1.045,74.870,5.818,86.778,0.041,37.374,0.043,9.810,8.040,3.820,1219514368,5285814272,1665302528,6342234112,1,0,9.130,32.393,26.815,6.773,0,0,1073737728,0,864,28227,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,6.223,2650.637,11547.214,14493.904,1.773,0.151,0,0,0,0,0,0,0,0
1769883586.288,46.540,20.217,33.243,0,0,0,2916352,0,0,672,0,0,0,1190416384,5314842624,1665335296,6371323904,54995,179819,8,0,50,9.810,8.040,3.820,44331,5501,65,0,58,0,17,0,50,0,9.810,8.040,3.820,1190416384,5314842624,1665335296,6371323904,8,0,49,0,56,0,0,0,1073737728,0,896,28435,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3394,10357,19577,0.400,0,0,0,0,0,0,0,0,0
1769883587.288,38.624,20.084,41.292,0,0,0,0,0,0,336,0,0,0,1184124928,5321134080,1665335296,6377615360,72014,175847,7,0,0,9.810,8.040,3.820,62427,4747,2,0,0,0,1,0,2,0,9.810,8.040,3.820,1184124928,5321134080,1665335296,6377615360,7,0,0,0,0,0,0,0,1073737728,0,896,28435,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,14,5687,7247,0,0,0,0,0,0,0,0,0,0
1769883588.288,40.393,22.020,37.588,0,0,0,1900544,0,0,336,0,0,0,1147191296,5358067712,1665335296,6414548992,75946,184769,8,0,1,9.810,8.040,3.820,65668,4940,2,0,1,0,1,0,2,0,9.810,8.040,3.820,1147191296,5358067712,1665335296,6414548992,8,0,1,0,1,0,0,0,1073737728,0,896,28434,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,40,62,8831,0,0,0,0,0,0,0,0,0,0
1769883589.288,39.860,20.559,39.580,0,0,0,0,0,0,0,0,0,0,1139060736,5366198272,1665335296,6422679552,73934,179357,8,0,0,9.670,8.040,3.840,64161,4750,4,0,0,0,1,0,2,0,9.670,8.040,3.840,1139060736,5366198272,1665335296,6422679552,9,0,0,0,0,0,0,0,1073737728,0,896,28434,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,23,57,4159,0,0,0,0,0,0,0,0,0,0
1769883590.289,39.216,21.429,39.356,0,0,0,0,0,0,0,0,0,0,1149796352,5355454464,1665343488,6411943936,75134,183013,7,0,0,9.670,8.040,3.840,65151,4766,4,0,0,0,2,0,2,0,9.670,8.040,3.840,1149796352,5355454464,1665343488,6411943936,6,0,0,0,0,0,0,0,1073737728,0,896,28434,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,177,8408,3641,0,0,0,0,0,0,0,0,0,0
1769883591.290,2.396,1.387,96.217,0,0,0,393216,0,0,0,0,0,0,1136902144,5368340480,1665351680,6424838144,5602,12323,0,0,1,9.670,8.040,3.840,4465,788,27,0,5,0,26,0,4,0,9.670,8.040,3.840,1136902144,5368340480,1665351680,6424838144,0,0,1,0,2,0,0,0,1073737728,0,896,28419,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,129,118,1595,0.100,0,0,0,0,0,0,0,0,0
1769883592.289,0.377,0.754,98.869,0,0,0,2097152,0,0,0,0,0,0,1136898048,5368340480,1665355776,6424842240,1734,2229,0,0,0,9.670,8.040,3.840,1020,697,2,0,1,0,2,0,2,0,9.670,8.040,3.840,1136898048,5368340480,1665355776,6424842240,0,0,0,0,1,0,0,0,1073737728,0,896,28419,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1,25,24,0.100,0,0,0,0,0,0,0,0,0
1769883593.288,0.629,0.629,98.742,0,0,0,0,0,0,0,0,0,0,1136898048,5368340480,1665355776,6424842240,1752,2247,0,0,0,9.670,8.040,3.840,1037,689,2,0,0,0,1,0,2,0,9.670,8.040,3.840,1136898048,5368340480,1665355776,6424842240,0,0,0,0,0,0,0,0,1073737728,0,896,28419,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,12,33,24,0,0,0,0,0,0,0,0,0,0
