"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","fb3a7cdce728",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260131181233/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/query/stats.txt",,,,"Date:","31 Jan 2026 18:15:53 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769883353.400,32.210,16.200,51.371,0.219,0,36163638.177,21802459.606,8200574.745,0,0,0,0,0,934428672,5823623168,1414508544,6750539776,22272.357,74112.180,2,0,17.585,12.110,4.730,1.760,8575.840,4102.921,151.784,2.151,139.785,12.223,177.105,0.086,74.008,0.076,12.110,4.730,1.760,934428672,5823623168,1414508544,6750539776,1,0,17.585,68.127,38.586,14.231,0,0,1073737728,0,896,28173,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,13.079,3558.740,16204.082,22966.181,1.455,0.309,0,0,0,0,0,0,0,0
1769883354.400,41.304,21.060,37.500,0.136,0,32768,3080192,0,0,672,0,0,0,955113472,5802901504,1414537216,6729867264,64337,164548,8,0,47,12.110,4.730,1.760,52474,5196,67,0,56,0,17,0,69,0,12.110,4.730,1.760,955113472,5802901504,1414537216,6729867264,5,0,47,1,56,0,0,0,1073737728,0,960,28382,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3401,9285,8853,0.600,0,0,0,0,0,0,0,0,0
1769883355.400,40.959,20.685,38.356,0,0,0,0,0,0,336,0,0,0,958664704,5799317504,1414537216,6726299648,68568,170819,8,0,0,12.110,4.730,1.760,57786,5031,15,0,0,0,8,0,12,0,12.110,4.730,1.760,958664704,5799317504,1414537216,6726299648,9,0,0,0,0,0,0,0,1073737728,0,960,28385,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,691,722,542,0,0,0,0,0,0,0,0,0,0
1769883356.400,41.379,22.069,36.552,0,0,0,0,0,0,336,0,0,0,962859008,5795123200,1414537216,6722105344,70567,177249,8,0,0,12.110,4.730,1.760,58903,5130,2,0,0,0,1,0,2,0,12.110,4.730,1.760,962859008,5795123200,1414537216,6722105344,10,0,0,0,0,0,0,0,1073737728,0,960,28384,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,8,1568,1050,0,0,0,0,0,0,0,0,0,0
1769883357.401,40.997,22.022,36.981,0,0,0,0,0,0,0,0,0,0,962600960,5795381248,1414537216,6722363392,69967,174277,7,0,0,12.110,4.730,1.760,58679,4948,2,0,0,0,1,0,2,0,12.110,4.730,1.760,962600960,5795381248,1414537216,6722363392,9,0,0,0,0,0,0,0,1073737728,0,960,28384,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,42,582,581,0,0,0,0,0,0,0,0,0,0
1769883358.400,42.308,21.429,36.264,0,0,0,0,0,0,0,0,0,0,962592768,5795381248,1414545408,6722371584,70518,176138,7,0,0,11.780,4.790,1.790,59242,5000,2,0,0,0,2,0,2,0,11.780,4.790,1.790,962592768,5795381248,1414545408,6722371584,7,0,0,0,0,0,0,0,1073737728,0,960,28384,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,18,44,24,0,0,0,0,0,0,0,0,0,0
1769883359.403,5.337,2.541,92.122,0,0,0,360448,0,0,0,0,0,0,950370304,5807595520,1414553600,6734585856,11372,26115,0,0,1,11.780,4.790,1.790,10003,811,30,0,5,0,28,0,4,0,11.780,4.790,1.790,950370304,5807595520,1414553600,6734585856,0,0,1,0,2,0,0,0,1073737728,0,960,28369,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,128,117,2090,0.100,0,0,0,0,0,0,0,0,0
1769883360.401,0.126,0.379,99.495,0,0,0,0,0,0,0,0,0,0,950865920,5807095808,1414557696,6734086144,1657,2197,0,0,0,11.780,4.790,1.790,1024,620,4,0,0,0,2,0,2,0,11.780,4.790,1.790,950865920,5807095808,1414557696,6734086144,0,0,0,0,0,0,0,0,1073737728,0,960,28369,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,7,31,24,0,0,0,0,0,0,0,0,0,0
1769883361.401,0.126,0.378,99.496,0,0,0,0,0,0,0,0,0,0,950865920,5807095808,1414557696,6734086144,1676,2249,0,0,0,11.780,4.790,1.790,1034,630,2,0,0,0,1,0,2,0,11.780,4.790,1.790,950865920,5807095808,1414557696,6734086144,0,0,0,0,0,0,0,0,1073737728,0,960,28369,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2,25,25,0,0,0,0,0,0,0,0,0,0
