"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","fb3a7cdce728",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260131181233/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","31 Jan 2026 18:17:49 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769883469.435,40.981,17.304,41.568,0.146,0,23299939.427,14135682.472,5286454.148,0,0,0,0,0,1537384448,5220421632,1414684672,6147907584,22563.132,73092.781,1,0,11.842,12.090,7.210,3.020,7161.278,4808.957,100.141,1.401,92.594,7.881,115.879,0.055,49.203,0.052,12.090,7.210,3.020,1541578752,5216227328,1414684672,6143713280,1,0,11.842,43.897,26.154,9.175,0,0,1073737728,0,928,28189,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,8.430,2484.317,14366.728,18293.250,0.994,0.205,0,0,0,0,0,0,0,0
1769883470.435,48.072,19.697,32.231,0,0,0,55541760,98304,0,672,0,0,0,1548402688,5206278144,1417760768,6134910976,51379,137729,8,0,47,12.090,7.210,3.020,39679,5440,58,0,70,1,17,0,57,0,12.090,7.210,3.020,1548402688,5206278144,1417760768,6134910976,7,0,47,0,74,1,0,0,1073737728,0,960,28397,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,1,20936,9970,8880,1.300,0,0,0,0,0,0,0,0,0
1769883471.435,41.620,18.715,39.525,0.140,0,0,59506688,0,0,336,0,0,0,1546862592,5205762048,1419816960,6135574528,59981,145545,4,0,0,12.090,7.210,3.020,50505,4801,2,0,18,0,1,0,2,0,12.090,7.210,3.020,1546862592,5205762048,1419816960,6135574528,6,0,0,0,28,0,0,0,1073737728,0,960,28397,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,6385,1092,664,0.700,0,0,0,0,0,0,0,0,0
1769883472.435,43.759,19.890,36.351,0,0,0,185499648,0,0,336,0,0,0,1541296128,5209149440,1422430208,6139928576,62610,152030,6,0,0,12.090,7.210,3.020,52098,4979,2,0,25,0,1,0,2,0,12.090,7.210,3.020,1541296128,5209149440,1422430208,6139928576,8,0,0,0,34,0,0,0,1073737728,0,960,28397,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3132,4899,6822,1.300,0,0,0,0,0,0,0,0,0
1769883473.435,45.179,18.871,35.950,0,0,0,58720256,0,0,0,0,0,0,1539436544,5207085056,1426354176,6139822080,60764,147585,7,0,0,11.600,7.190,3.030,50150,4964,2,0,14,0,1,0,2,0,11.600,7.190,3.030,1539436544,5207085056,1426354176,6139822080,8,0,0,0,14,0,0,0,1073737728,0,960,28397,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,4416,1011,30,0.600,0,0,0,0,0,0,0,0,0
1769883474.436,45.130,19.067,35.665,0.137,0,0,187236352,0,0,0,0,0,0,1546207232,5198098432,1428594688,6132154368,61505,150558,8,0,0,11.600,7.190,3.030,50816,5030,11,0,33,0,2,0,12,0,11.600,7.190,3.030,1546207232,5198098432,1428594688,6132154368,9,0,0,0,55,0,0,0,1073737728,0,960,28398,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2794,4776,7884,1.800,0,0,0,0,0,0,0,0,0
1769883475.436,2.273,1.010,96.717,0,0,0,10747904,0,0,0,0,0,0,1546133504,5198098432,1428668416,6132264960,4091,8773,0,0,2,11.600,7.190,3.030,3072,702,24,0,6,0,26,0,4,0,11.600,7.190,3.030,1546133504,5198098432,1428668416,6132264960,0,0,2,0,7,0,0,0,1073737728,0,960,28383,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,304,694,1551,0.200,0,0,0,0,0,0,0,0,0
1769883476.436,0.377,0.755,98.868,0,0,0,0,0,0,0,0,0,0,1546129408,5198098432,1428672512,6132264960,1803,2309,0,0,0,11.600,7.190,3.030,1047,728,4,0,0,0,2,0,2,1,11.600,7.190,3.030,1546129408,5198098432,1428672512,6132264960,0,0,0,0,0,0,0,0,1073737728,0,960,28367,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,4,28,42,0,0,0,0,0,0,0,0,0,0
1769883477.437,0.626,0.751,98.623,0,0,0,2097152,0,0,0,0,0,0,1546129408,5198098432,1428672512,6132264960,1620,2160,1,0,0,11.600,7.190,3.030,955,650,2,0,1,0,1,0,2,0,11.600,7.190,3.030,1546129408,5198098432,1428672512,6132264960,0,0,0,0,1,0,0,0,1073737728,0,960,28367,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2,25,24,0.100,0,0,0,0,0,0,0,0,0
