"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","fb3a7cdce728",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260131181233/vertx-web-kotlinx-postgresql/fortune/stats.txt",,,,"Date:","31 Jan 2026 18:48:13 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769885293.100,39.772,15.020,45.116,0.092,0,7186158.437,36543305.147,1378594.420,0,0,0,0,0,1436831744,4339683328,2356338688,6261039104,19971.108,69934.653,1,0,6.558,11.730,10.280,7,5986.467,4574.672,69.403,0.441,52.904,2.059,59.031,0.014,26.082,0.026,11.730,10.280,7,1436831744,4339683328,2356338688,6261039104,2,0,6.558,18.608,25.055,2.396,0,0,1073737728,0,832,39047,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,2.294,1944.975,11395.164,12252.603,1.395,0.054,0,0,0,0,0,0,0,0
1769885294.101,37.775,20.879,41.209,0.137,0,0,7077888,0,0,672,0,0,0,1437872128,4338569216,2356428800,6260092928,69782,185401,5,0,64,11.730,10.280,7,59442,4982,120,0,101,0,17,0,89,0,11.730,10.280,7,1437872128,4338569216,2356428800,6260092928,7,0,64,0,128,0,0,0,1073737728,0,928,39297,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,5188,14130,13466,0.400,0,0,0,0,0,0,0,0,0
1769885295.101,35.466,22.114,42.420,0,0,0,0,0,0,336,0,0,0,1421193216,4355248128,2356428800,6276771840,81584,200412,8,0,0,11.730,10.280,7,72165,4611,4,0,0,0,1,0,2,0,11.730,10.280,7,1421193216,4355248128,2356428800,6276771840,8,0,0,0,0,0,0,0,1073737728,0,928,39297,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,12,45,2607,0,0,0,0,0,0,0,0,0,0
1769885296.101,37.203,20.979,41.818,0,0,0,0,0,0,336,0,0,0,1410707456,4365733888,2356428800,6287257600,78659,193047,7,0,0,11.730,10.280,7,69287,4599,2,0,0,0,1,0,2,0,11.730,10.280,7,1410707456,4365733888,2356428800,6287257600,5,0,0,0,0,0,0,0,1073737728,0,928,39296,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,8,32,4649,0,0,0,0,0,0,0,0,0,0
1769885297.101,36.709,21.800,41.491,0,0,0,0,0,0,0,0,0,0,1394159616,4382281728,2356428800,6303805440,79342,194138,3,0,0,11.350,10.220,7,69946,4593,4,0,0,0,1,0,2,1,11.350,10.220,7,1394159616,4382281728,2356428800,6303805440,8,0,0,0,0,0,0,0,1073737728,0,928,39296,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,12,52,3935,0,0,0,0,0,0,0,0,0,0
1769885298.101,35.926,22.065,42.008,0,0,0,0,0,0,0,0,0,0,1381560320,4394872832,2356436992,6316396544,79815,196046,8,0,0,11.350,10.220,7,70212,4775,6,0,0,0,2,0,2,0,11.350,10.220,7,1381560320,4394872832,2356436992,6316396544,8,0,0,0,0,0,0,0,1073737728,0,928,39296,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,6,34,3625,0,0,0,0,0,0,0,0,0,0
1769885299.102,6.033,3.594,90.372,0,0,0,393216,0,0,0,0,0,0,1375703040,4400721920,2356445184,6322257920,15664,36563,0,0,1,11.350,10.220,7,13427,1358,26,0,5,0,26,0,4,0,11.350,10.220,7,1375703040,4400721920,2356445184,6322257920,0,0,1,0,2,0,0,0,1073737728,0,928,39281,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,183,163,2579,0.200,0,0,0,0,0,0,0,0,0
1769885300.102,0.251,0.503,99.246,0,0,0,0,0,0,0,0,0,0,1375703040,4400721920,2356445184,6322262016,1457,1957,0,0,0,11.350,10.220,7,894,550,2,0,0,0,1,0,2,0,11.350,10.220,7,1375703040,4400721920,2356445184,6322262016,0,0,0,0,0,0,0,0,1073737728,0,928,39281,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,7,31,28,0,0,0,0,0,0,0,0,0,0
1769885301.106,0.249,0.125,99.626,0,0,0,0,0,0,0,0,0,0,1376157696,4400263168,2356449280,6321803264,298,372,0,0,0,11.350,10.220,7,151,139,2,0,0,0,2,0,2,0,11.350,10.220,7,1376157696,4400263168,2356449280,6321803264,0,0,0,0,0,0,0,0,1073737728,0,928,39281,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,4,221,25,0,0,0,0,0,0,0,0,0,0
