"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","fb3a7cdce728",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260131181233/vertx-web-kotlinx-postgresql/query/stats.txt",,,,"Date:","31 Jan 2026 18:44:21 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769885061.316,36.303,13.428,50.166,0.104,0,8819882.459,28992847.173,1692008.443,0,0,0,0,0,970698752,4810473472,2351714304,6727720960,18741.725,62841.941,0,0,7.752,13.240,8.020,5.500,6029.696,4196.140,83.705,0.534,59.447,2.527,71.337,0.018,31.039,0.028,13.240,8.020,5.500,970698752,4810473472,2351714304,6727720960,0,0,7.752,22.838,25.230,2.940,0,0,1073737728,0,896,39035,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,2.815,2242.569,11306.219,12476.772,1.235,0.066,0,0,0,0,0,0,0,0
1769885062.317,39.041,22.055,38.767,0.137,0,0,3047424,0,0,672,0,0,0,980107264,4801052672,2351742976,6718337024,68769,170803,8,0,37,12.820,8.020,5.510,57775,4927,59,0,54,0,15,0,71,0,12.820,8.020,5.510,980107264,4801052672,2351742976,6718337024,5,0,37,0,58,0,0,0,1073737728,0,928,39216,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,4017,10359,10729,0.400,0,0,0,0,0,0,0,0,0
1769885063.317,37.241,22.207,40.552,0,0,0,0,0,0,336,0,0,0,980107264,4801052672,2351742976,6718337024,71229,178169,5,0,0,12.820,8.020,5.510,61205,4711,12,0,0,0,1,0,14,0,12.820,8.020,5.510,980107264,4801052672,2351742976,6718337024,6,0,0,0,0,0,0,0,1073737728,0,928,39216,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,2,27,43,0,0,0,0,0,0,0,0,0,0
1769885064.317,38.728,22.822,38.451,0,0,0,0,0,0,336,0,0,0,984301568,4796858368,2351742976,6714142720,73289,184185,8,0,0,12.820,8.020,5.510,62734,4950,2,0,0,0,1,0,2,0,12.820,8.020,5.510,984301568,4796858368,2351742976,6714142720,9,0,0,0,0,0,0,0,1073737728,0,928,39215,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,4,2076,2100,0,0,0,0,0,0,0,0,0,0
1769885065.317,37.691,22.670,39.638,0,0,0,0,0,0,0,0,0,0,984547328,4796612608,2351742976,6713896960,72228,179574,6,0,0,12.820,8.020,5.510,61839,4898,4,0,0,0,1,0,2,0,12.820,8.020,5.510,984547328,4796612608,2351742976,6713896960,8,0,0,0,0,0,0,0,1073737728,0,928,39215,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,5,29,24,0,0,0,0,0,0,0,0,0,0
1769885066.317,38.781,22.576,38.643,0,0,0,0,0,0,0,0,0,0,998211584,4782940160,2351751168,6700224512,73983,184132,6,0,0,12.820,8.020,5.510,63413,4991,4,0,0,0,2,0,2,0,12.820,8.020,5.510,998211584,4782940160,2351751168,6700224512,5,0,0,0,0,0,0,0,1073737728,0,928,39215,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,11,6175,6115,0,0,0,0,0,0,0,0,0,0
1769885067.317,2.652,1.515,95.833,0,0,0,425984,0,0,0,0,0,0,960225280,4820922368,2351755264,6738214912,8262,17114,0,0,1,11.790,7.890,5.480,7464,524,28,0,5,0,26,0,4,0,11.790,7.890,5.480,960225280,4820922368,2351755264,6738214912,0,0,1,0,2,0,0,0,1073737728,0,928,39200,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,125,155,1594,0.100,0,0,0,0,0,0,0,0,0
1769885068.319,0.125,0.125,99.750,0,0,0,0,0,0,0,0,0,0,960299008,4820848640,2351755264,6738141184,266,351,0,0,0,11.790,7.890,5.480,143,118,2,0,0,0,1,0,2,0,11.790,7.890,5.480,960299008,4820848640,2351755264,6738141184,0,0,0,0,0,0,0,0,1073737728,0,928,39200,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,1,25,24,0,0,0,0,0,0,0,0,0,0
1769885069.319,0.375,0.250,99.374,0,0,0,0,0,0,0,0,0,0,960552960,4820590592,2351759360,6737883136,810,1073,0,0,0,11.790,7.890,5.480,465,336,2,0,0,0,2,0,2,0,11.790,7.890,5.480,960552960,4820590592,2351759360,6737883136,0,0,0,0,0,0,0,0,1073737728,0,928,39200,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,0,25,25,0,0,0,0,0,0,0,0,0,0
1769885070.319,0.376,0.627,98.997,0,0,0,0,0,0,0,0,0,0,960544768,4820590592,2351767552,6737883136,1623,2170,0,0,0,11.790,7.890,5.480,979,629,2,0,0,0,3,0,2,0,11.790,7.890,5.480,960544768,4820590592,2351767552,6737883136,0,0,0,0,0,0,0,0,1073737728,0,928,39200,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,0,27,29,0,0,0,0,0,0,0,0,0,0
