"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","fb3a7cdce728",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260131181233/vertx-web-kotlinx-postgresql/update/stats.txt",,,,"Date:","31 Jan 2026 18:46:17 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769885177.222,38.197,14.388,47.321,0.094,0,7919539.363,26053773.398,1519286.399,0,0,0,0,0,1588576256,4192600064,2351779840,6110171136,19765.451,65374.777,2,0,7.097,12.590,9.520,6.350,6024.195,4410.012,75.846,0.483,54.183,2.269,64.549,0.016,28.313,0.027,12.590,9.520,6.350,1588576256,4192600064,2351779840,6110171136,2,0,7.097,20.507,22.974,2.640,0,0,1073737728,0,896,39014,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,2.528,2071.488,11514.641,12431.272,1.120,0.059,0,0,0,0,0,0,0,0
1769885178.222,40.411,19.452,40.137,0,0,0,44990464,0,0,672,0,0,0,1585672192,4194422784,2352861184,6112456704,61697,154982,8,0,48,12.590,9.520,6.350,51347,4953,65,0,67,0,17,0,61,0,12.590,9.520,6.350,1585672192,4194422784,2352861184,6112456704,7,0,48,0,76,0,0,0,1073737728,0,896,39231,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,18893,9426,8915,1,0,0,0,0,0,0,0,0,0
1769885179.222,39.481,20.219,40.301,0,0,0,43712512,0,0,336,0,0,0,1590624256,4188938240,2353393664,6107185152,68578,167702,6,0,0,12.590,9.520,6.350,58987,4712,2,0,12,0,1,0,2,0,12.590,9.520,6.350,1590624256,4188938240,2353393664,6107185152,7,0,0,0,17,0,0,0,1073737728,0,896,39231,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,4379,1184,1049,0.500,0,0,0,0,0,0,0,0,0
1769885180.222,40.853,20.358,38.652,0.138,0,0,41943040,0,0,336,0,0,0,1597898752,4197195776,2337861632,6099795968,70068,171705,9,0,0,12.590,9.520,6.350,59802,4830,2,0,12,0,1,0,2,0,12.590,9.520,6.350,1597898752,4197195776,2337861632,6099795968,8,0,0,0,14,0,0,0,1073737728,0,896,39230,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,263,330,4145,0.500,0,0,0,0,0,0,0,0,0
1769885181.222,40.526,20.885,38.589,0,0,0,37027840,0,0,0,0,0,0,1594978304,4195389440,2342588416,6102659072,69593,170886,6,0,0,12.590,9.520,6.350,59336,4830,2,0,10,0,1,0,2,0,12.590,9.520,6.350,1594978304,4195389440,2342588416,6102659072,3,0,0,0,10,0,0,0,1073737728,0,896,39230,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,201,1303,99,0.500,0,0,0,0,0,0,0,0,0
1769885182.222,40.446,20.363,39.191,0,0,0,35979264,0,0,0,0,0,0,1595817984,4189970432,2347167744,6101753856,70687,174767,10,0,1,11.820,9.410,6.330,60359,4930,2,0,10,0,2,0,2,0,11.820,9.410,6.330,1595817984,4189970432,2347167744,6101753856,9,0,1,0,10,0,0,0,1073737728,0,896,39230,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,1130,1623,504,0.500,0,0,0,0,0,0,0,0,0
1769885183.225,5.725,2.926,91.349,0,0,0,8880128,0,0,0,0,0,0,1585111040,4199616512,2348228608,6112501760,12356,27744,1,0,1,11.820,9.410,6.330,10326,1303,28,0,10,0,26,0,15,0,11.820,9.410,6.330,1585111040,4199616512,2348228608,6112501760,0,0,1,0,8,0,0,0,1073737728,0,896,39215,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,344,786,6221,0.200,0,0,0,0,0,0,0,0,0
1769885184.222,0.377,0.251,99.372,0,0,0,0,0,0,0,0,0,0,1585106944,4199616512,2348232704,6112501760,788,1035,1,0,0,11.820,9.410,6.330,449,317,2,0,0,0,2,0,2,0,11.820,9.410,6.330,1585106944,4199616512,2348232704,6112501760,1,0,0,0,0,0,0,0,1073737728,0,896,39215,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,3,27,24,0,0,0,0,0,0,0,0,0,0
1769885185.226,0,0.125,99.875,0,0,0,0,0,0,0,0,0,0,1585106944,4199616512,2348232704,6112505856,290,395,0,0,0,11.820,9.410,6.330,144,140,2,0,0,0,1,0,2,0,11.820,9.410,6.330,1585106944,4199616512,2348232704,6112505856,0,0,0,0,0,0,0,0,1073737728,0,896,39215,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,5,28,24,0,0,0,0,0,0,0,0,0,0
1769885186.223,0.251,0.125,99.624,0,0,0,0,0,0,0,0,0,0,1585098752,4199616512,2348240896,6112505856,396,530,0,0,0,11.820,9.410,6.330,218,169,2,0,0,0,3,0,2,0,11.820,9.410,6.330,1585098752,4199616512,2348240896,6112505856,0,0,0,0,0,0,0,0,1073737728,0,896,39215,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,0,26,29,0,0,0,0,0,0,0,0,0,0
1769885187.222,0.377,0.881,98.365,0.377,0,0,0,0,0,0,0,0,0,1585098752,4199616512,2348240896,6112505856,2540,3518,1,1,1,10.960,9.270,6.300,1435,633,2,1,460,0,1,0,3,0,10.960,9.270,6.300,1585098752,4199616512,2348240896,6112505856,0,1,1,0,0,0,0,0,1073737728,0,896,39217,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,86,86,69,4.500,0,0,0,0,0,0,0,0,0
1769885188.222,57.234,21.574,20.939,0.254,0,0,214990848,0,0,0,0,0,0,1570439168,4207968256,2354212864,6126718976,27829,71319,11,0,9,10.960,9.270,6.300,4849,6427,16,1,123,0,10,0,5,0,10.960,9.270,6.300,1570439168,4207968256,2354212864,6126718976,12,0,9,0,60,0,0,0,1073737728,0,1824,40240,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,2506,15304,12410,3.400,0,0,0,0,0,0,0,0,0
1769885189.222,65.990,26.015,7.995,0,0,0,233472000,0,0,0,0,0,0,1571995648,4206104576,2354520064,6125076480,33180,82312,16,0,0,10.960,9.270,6.300,5906,7364,4,0,37,0,1,0,2,0,10.960,9.270,6.300,1571995648,4206104576,2354520064,6125076480,18,0,0,0,60,0,0,0,1073737728,0,1824,40242,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,615,12569,12636,3.200,0,0,0,0,0,0,0,0,0
1769885190.222,67.386,26.396,6.218,0,0,0,100859904,0,0,0,0,0,0,1553289216,4224512000,2354819072,6143696896,30965,80206,16,0,0,10.960,9.270,6.300,5319,7471,6,0,24,0,3,0,2,0,10.960,9.270,6.300,1553289216,4224512000,2354819072,6143696896,17,0,0,0,30,0,0,0,1073737728,0,1824,40242,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,203,8405,11912,2.500,0,0,0,0,0,0,0,0,0
1769885191.222,66.921,26.463,6.489,0.127,0,0,235208704,0,0,0,0,0,0,1549983744,4227522560,2355113984,6146945024,31234,77286,18,0,0,10.960,9.270,6.300,5010,7431,2,0,40,0,1,0,2,0,10.960,9.270,6.300,1549983744,4227522560,2355113984,6146945024,16,0,0,0,62,0,0,0,1073737728,0,1824,40244,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,235,12267,12177,2.800,0,0,0,0,0,0,0,0,0
1769885192.222,68.455,25.160,6.386,0,0,0,227016704,0,0,0,0,0,0,1504931840,4272287744,2355400704,6191955968,31155,79871,17,0,0,11.360,9.380,6.360,5393,7410,2,0,37,0,1,0,2,0,11.360,9.380,6.360,1504931840,4272287744,2355400704,6191955968,15,0,0,0,57,0,0,0,1073737728,0,1824,40246,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,187,11678,15213,6.300,0,0,0,0,0,0,0,0,0
