"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","683ed0e0811e",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260131185156/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/db/stats.txt",,,,"Date:","31 Jan 2026 18:58:05 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769885885.870,31.941,12.126,55.848,0.085,0,4917141.253,32173505.620,935870.655,0,0,0,0,0,935612416,4054605824,3109175296,6772183040,16662.608,57242.846,1,0,6.551,1.370,3.970,5.480,5231.394,3781.946,79.947,0.333,46.262,1.398,88.917,0.010,25.775,0.023,1.370,3.970,5.480,935612416,4054605824,3109175296,6772183040,1,0,6.551,12.799,24.900,1.627,0,0,1073737728,0,864,45969,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,1.584,1996.141,11120.721,11669.666,1.104,0.036,0,0,0,0,0,0,0,0
1769885886.871,53.138,18.558,28.304,0,0,0,2916352,0,0,672,0,0,0,948023296,4042162176,3109208064,6759776256,50128,138959,5,0,47,1.370,3.970,5.480,36101,5703,58,0,59,0,17,0,45,0,1.370,3.970,5.480,948023296,4042162176,3109208064,6759776256,6,0,47,0,59,0,0,0,1073737728,0,864,46185,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,5949,13921,11602,1,0,0,0,0,0,0,0,0,0
1769885887.871,37.994,22.316,39.689,0,0,0,0,0,0,336,0,0,0,945426432,4044759040,3109208064,6762373120,77570,194010,7,0,1,1.740,4,5.480,67824,4750,2,0,0,0,1,0,2,0,1.740,4,5.480,945426432,4044759040,3109208064,6762373120,7,0,1,0,0,0,0,0,1073737728,0,864,46185,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,1075,514,1660,0,0,0,0,0,0,0,0,0,0
1769885888.871,38.289,22.861,38.850,0,0,0,0,0,0,336,0,0,0,934940672,4055244800,3109208064,6772858880,76222,198910,8,0,0,1.740,4,5.480,66450,4777,4,0,0,0,1,0,2,0,1.740,4,5.480,934940672,4055244800,3109208064,6772858880,7,0,0,0,0,0,0,0,1073737728,0,864,46184,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,12,32,2076,0,0,0,0,0,0,0,0,0,0
1769885889.871,38.592,23.239,38.169,0,0,0,0,0,0,0,0,0,0,926552064,4063633408,3109208064,6781247488,75438,199553,6,0,0,1.740,4,5.480,65784,4830,2,0,0,0,1,0,2,0,1.740,4,5.480,926552064,4063633408,3109208064,6781247488,8,0,0,0,0,0,0,0,1073737728,0,864,46184,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,4,28,2077,0,0,0,0,0,0,0,0,0,0
1769885890.871,39.861,26.111,34.028,0,0,0,0,0,0,0,0,0,0,924446720,4065730560,3109216256,6783356928,67503,225972,11,0,0,1.740,4,5.480,57659,5113,3,0,0,0,2,0,2,0,1.740,4,5.480,924446720,4065730560,3109216256,6783356928,9,0,0,0,0,0,0,0,1073737728,0,864,46184,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,28,1101,2088,0,0,0,0,0,0,0,0,0,0
1769885891.872,7.277,6.148,86.575,0,0,0,360448,0,0,0,0,0,0,917573632,4072595456,3109224448,6790230016,3332,58050,1,0,1,1.740,4,5.480,1807,1197,26,0,5,0,26,0,4,0,1.740,4,5.480,917573632,4072595456,3109224448,6790230016,1,0,1,0,2,0,0,0,1073737728,0,864,46169,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,578,5687,5146,0.100,0,0,0,0,0,0,0,0,0
1769885892.873,0.125,0.375,98.999,0.501,0,0,0,0,0,0,0,0,0,917573632,4072595456,3109224448,6790230016,1126,1599,0,0,2,1.600,3.930,5.450,580,172,2,2,360,0,1,0,4,0,1.600,3.930,5.450,917573632,4072595456,3109224448,6790230016,0,0,2,0,0,0,0,0,1073737728,0,864,46169,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,155,153,87,3.800,0,0,0,0,0,0,0,0,0
1769885893.879,0.373,0.124,99.503,0,0,0,0,0,0,0,0,0,0,917569536,4072595456,3109228544,6790230016,311,407,0,0,0,1.600,3.930,5.450,154,149,3,0,0,0,2,0,2,0,1.600,3.930,5.450,917569536,4072595456,3109228544,6790230016,0,0,0,0,0,0,0,0,1073737728,0,864,46169,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,33,58,43,0,0,0,0,0,0,0,0,0,0
