"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","683ed0e0811e",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260131185156/vertx-web-kotlinx-postgresql/db/stats.txt",,,,"Date:","31 Jan 2026 20:10:27 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769890227.835,34.644,12.713,52.562,0.080,0,3496193.941,32537630.203,665424.307,0,0,0,0,0,906969088,3359379456,3802275840,6820388864,16918.943,60679.593,1,0,6.257,1.510,5.390,6.580,4773.404,3997.957,79.325,0.268,41.274,0.994,76.996,0.007,24.418,0.021,1.510,5.390,6.580,906969088,3359379456,3802275840,6820388864,1,0,6.257,9.100,24.274,1.157,0,0,1073737728,0,864,51223,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,1.126,2011.282,10925.803,11247.940,1.107,0.026,0,0,0,0,0,0,0,0
1769890228.836,51.523,21.722,26.755,0,0,0,3047424,0,0,672,0,0,0,941314048,3325009920,3802300416,6786060288,47861,166538,6,0,38,1.510,5.390,6.580,34862,5853,61,0,57,0,17,0,55,0,1.510,5.390,6.580,941314048,3325009920,3802300416,6786060288,6,0,38,0,59,0,0,0,1073737728,0,928,51400,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,7632,20233,15053,0.600,0,0,0,0,0,0,0,0,0
1769890229.836,34.181,23.023,42.797,0,0,0,0,0,0,336,0,0,0,937066496,3329261568,3802361856,6790279168,82395,205352,8,0,0,2.030,5.430,6.590,73165,4530,2,0,0,0,1,0,2,0,2.030,5.430,6.590,937066496,3329261568,3802361856,6790279168,7,0,0,0,0,0,0,0,1073737728,0,928,51400,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,11,35,25,0,0,0,0,0,0,0,0,0,0
1769890230.836,35.605,24.478,39.917,0,0,0,0,0,0,336,0,0,0,936804352,3329523712,3802361856,6790541312,80289,210039,7,0,0,2.030,5.430,6.590,70516,4779,4,0,0,0,1,0,2,0,2.030,5.430,6.590,936804352,3329523712,3802361856,6790541312,10,0,0,0,0,0,0,0,1073737728,0,928,51399,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,2,25,539,0,0,0,0,0,0,0,0,0,0
1769890231.836,34.880,24.332,40.788,0,0,0,0,0,0,0,0,0,0,931864576,3334463488,3802361856,6795481088,81353,215058,7,0,0,2.030,5.430,6.590,71882,4663,2,0,0,0,1,0,2,0,2.030,5.430,6.590,931864576,3334463488,3802361856,6795481088,9,0,0,0,0,0,0,0,1073737728,0,928,51399,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,0,27,1074,0,0,0,0,0,0,0,0,0,0
1769890232.836,40.379,30.759,28.862,0,0,0,0,0,0,0,0,0,0,932913152,3333406720,3802370048,6794424320,59218,278224,11,0,1,2.030,5.430,6.590,50276,5604,5,0,0,0,2,0,2,0,2.030,5.430,6.590,932913152,3333406720,3802370048,6794424320,12,0,1,0,0,0,0,0,1073737728,0,928,51399,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,53,2139,2599,0,0,0,0,0,0,0,0,0,0
1769890233.838,3.125,2.750,94.125,0,0,0,425984,0,0,0,0,0,0,925249536,3341066240,3802374144,6802092032,1014,26061,0,0,1,2.030,5.430,6.590,337,592,31,0,5,0,26,0,4,0,2.030,5.430,6.590,925249536,3341066240,3802374144,6802092032,0,0,1,0,2,0,0,0,1073737728,0,928,51384,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,136,3197,4620,0.100,0,0,0,0,0,0,0,0,0
1769890234.838,0.251,0.376,99.123,0.251,0,0,0,0,0,0,0,0,0,925495296,3340820480,3802374144,6801854464,769,1140,0,0,1,1.870,5.340,6.550,379,163,2,2,216,0,1,0,4,0,1.870,5.340,6.550,925495296,3340820480,3802374144,6801854464,0,0,1,0,0,0,0,0,1073737728,0,928,51384,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,89,88,89,2.400,0,0,0,0,0,0,0,0,0
1769890235.839,0.250,0.125,99.625,0,0,0,0,0,0,0,0,0,0,925491200,3340820480,3802378240,6801862656,309,401,0,0,0,1.870,5.340,6.550,171,129,3,0,0,0,2,0,2,0,1.870,5.340,6.550,925491200,3340820480,3802378240,6801862656,0,0,0,0,0,0,0,0,1073737728,0,928,51384,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,1,26,42,0,0,0,0,0,0,0,0,0,0
1769890236.837,0.500,0.375,99.125,0,0,0,0,0,0,0,0,0,0,925483008,3340820480,3802386432,6801862656,314,371,0,0,0,1.870,5.340,6.550,159,147,2,0,0,0,3,0,2,0,1.870,5.340,6.550,925483008,3340820480,3802386432,6801862656,0,0,0,0,0,0,0,0,1073737728,0,928,51384,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,14,38,25,0,0,0,0,0,0,0,0,0,0
