"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","683ed0e0811e",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260131185156/vertx-web-kotlinx-postgresql/fortune/stats.txt",,,,"Date:","31 Jan 2026 20:16:32 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769890592.454,36.871,14.096,48.959,0.074,0,3065257.679,33985608.259,583404.983,0,0,0,0,0,1411571712,2858573824,3798364160,6315515904,18163.645,66519.620,2,0,5.674,11.850,10.330,8.480,5056.676,4264.640,70.429,0.240,38.008,0.871,68.107,0.006,21.924,0.020,11.850,10.330,8.480,1411571712,2858573824,3798364160,6315515904,1,0,5.674,7.979,23.293,1.014,0,0,1073737728,0,928,51291,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0.987,1820.580,10880.913,11118.729,1.133,0.023,0,0,0,0,0,0,0,0
1769890593.455,41.870,21.680,36.314,0.136,0,0,3276800,0,0,672,0,0,0,1386713088,2883407872,3798388736,6340378624,66390,201187,6,0,44,11.850,10.330,8.480,54962,5141,59,0,58,0,17,0,58,0,11.850,10.330,8.480,1386713088,2883407872,3798388736,6340378624,7,0,44,0,57,0,0,0,1073737728,0,960,51496,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,3200,13488,21219,0.500,0,0,0,0,0,0,0,0,0
1769890594.455,36.022,21.558,42.420,0,0,0,0,0,0,336,0,0,0,1395425280,2874695680,3798388736,6331666432,80054,197249,5,0,0,11.850,10.330,8.480,70668,4582,2,0,0,0,1,0,2,0,11.850,10.330,8.480,1395425280,2874695680,3798388736,6331666432,6,0,0,0,0,0,0,0,1073737728,0,960,51496,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,16,4160,4672,0,0,0,0,0,0,0,0,0,0
1769890595.455,37.517,21.478,41.004,0,0,0,0,0,0,336,0,0,0,1354752000,2915368960,3798388736,6372339712,80949,199421,6,0,0,11.550,10.290,8.480,71163,4688,4,0,0,0,1,0,2,0,11.550,10.290,8.480,1354752000,2915368960,3798388736,6372339712,6,0,0,0,0,0,0,0,1073737728,0,960,51495,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,70,97,5178,0,0,0,0,0,0,0,0,0,0
1769890596.455,36.364,21.678,41.958,0,0,0,2097152,0,0,0,0,0,0,1335029760,2935091200,3798388736,6392061952,78755,193235,6,0,0,11.550,10.290,8.480,69403,4580,4,0,1,0,1,0,2,0,11.550,10.290,8.480,1335029760,2935091200,3798388736,6392061952,8,0,0,0,1,0,0,0,1073737728,0,960,51495,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,32,59,4053,0,0,0,0,0,0,0,0,0,0
1769890597.455,37.326,22.284,40.390,0,0,0,0,0,0,0,0,0,0,1320599552,2949513216,3798396928,6406483968,78556,201301,9,0,0,11.550,10.290,8.480,68764,4741,6,0,0,0,2,0,2,0,11.550,10.290,8.480,1320599552,2949513216,3798396928,6406483968,6,0,0,0,0,0,0,0,1073737728,0,960,51495,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,32,59,4651,0,0,0,0,0,0,0,0,0,0
1769890598.464,2.506,1.754,95.739,0,0,0,425984,0,0,0,0,0,0,1280745472,2989363200,3798401024,6446342144,9014,19837,0,0,1,11.550,10.290,8.480,8238,556,25,0,5,0,26,0,4,0,11.550,10.290,8.480,1280745472,2989363200,3798401024,6446342144,0,0,1,0,2,0,0,0,1073737728,0,928,51480,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,160,591,1994,0.100,0,0,0,0,0,0,0,0,0
1769890599.461,0.126,0.126,99.749,0,0,0,2097152,0,0,0,0,0,0,1281003520,2989101056,3798405120,6446080000,295,367,0,0,0,11.550,10.290,8.480,145,137,4,0,3,0,2,0,2,0,11.550,10.290,8.480,1281003520,2989101056,3798405120,6446080000,0,0,0,0,4,0,0,0,1073737728,0,928,51480,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,35,59,48,0.100,0,0,0,0,0,0,0,0,0
1769890600.459,0.125,0.251,99.624,0,0,0,0,0,0,0,0,0,0,1281519616,2988584960,3798405120,6445568000,293,351,0,0,0,10.620,10.120,8.430,147,140,2,0,0,0,1,0,2,0,10.620,10.120,8.430,1281519616,2988584960,3798405120,6445568000,0,0,0,0,0,0,0,0,1073737728,0,928,51480,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,34,57,25,0,0,0,0,0,0,0,0,0,0
