"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","683ed0e0811e",,,,"User:","user"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260131185156/vertx-web-kotlinx-postgresql/query/stats.txt",,,,"Date:","31 Jan 2026 20:12:40 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","2","11","14","15","16","17","18","23","24","25","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769890360.645,35.322,13.414,51.187,0.077,0,3325887.159,30968796.511,633010.124,0,0,0,0,0,1019584512,3246534656,3802423296,6708178944,17546.874,63713.097,1,0,6.034,11.690,7.940,7.350,4995.545,4098.552,75.830,0.256,39.526,0.946,73.485,0.007,23.429,0.021,11.690,7.940,7.350,1019584512,3246534656,3802423296,6708178944,1,0,6.034,8.657,23.289,1.100,0,0,1073737728,0,864,51218,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,1.071,1929.598,10794.809,11088.033,1.058,0.025,0,0,0,0,0,0,0,0
1769890361.646,39.256,20.799,39.945,0,0,0,3112960,0,0,672,0,0,0,1027764224,3238346752,3802447872,6700015616,67539,169188,7,0,40,11.690,7.940,7.350,56777,4812,75,0,54,0,14,0,67,0,11.690,7.940,7.350,1027764224,3238346752,3802447872,6700015616,4,0,40,0,56,0,0,0,1073737728,0,896,51417,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,2813,9906,11337,0.500,0,0,0,0,0,0,0,0,0
1769890362.646,38.154,22.727,39.118,0,0,0,0,0,0,336,0,0,0,1027764224,3238346752,3802447872,6700015616,70671,185404,8,0,2,11.690,7.940,7.350,60898,4805,10,0,0,0,1,0,4,0,11.690,7.940,7.350,1027764224,3238346752,3802447872,6700015616,5,0,2,0,0,0,0,0,1073737728,0,896,51417,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,1166,1088,513,0,0,0,0,0,0,0,0,0,0
1769890363.646,39.004,22.960,38.036,0,0,0,0,0,0,336,0,0,0,1031958528,3234152448,3802447872,6695821312,69589,187005,8,0,0,11.690,7.940,7.350,59392,4876,2,0,0,0,1,0,2,1,11.690,7.940,7.350,1031958528,3234152448,3802447872,6695821312,5,0,0,0,0,0,0,0,1073737728,0,896,51416,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,2,1051,1075,0,0,0,0,0,0,0,0,0,0
1769890364.646,38.187,23.489,38.324,0,0,0,0,0,0,0,0,0,0,1031958528,3234152448,3802447872,6695821312,68114,181326,8,0,0,11.690,7.940,7.350,58080,4856,2,0,0,0,1,0,2,0,11.690,7.940,7.350,1031958528,3234152448,3802447872,6695821312,5,0,0,0,0,0,0,0,1073737728,0,896,51416,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,4,1564,1563,0,0,0,0,0,0,0,0,0,0
1769890365.646,40.382,24.420,35.198,0,0,0,0,0,0,0,0,0,0,1032196096,3233906688,3802456064,6695575552,64519,197221,7,0,0,11.310,7.920,7.350,54395,5093,6,0,0,0,2,0,11,0,11.310,7.920,7.350,1032196096,3233906688,3802456064,6695575552,7,0,0,0,0,0,0,0,1073737728,0,896,51416,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,2,29,538,0,0,0,0,0,0,0,0,0,0
1769890366.656,5.151,3.266,91.583,0,0,0,360448,0,0,0,0,0,0,1010343936,3255754752,3802460160,6717431808,9957,29173,0,0,1,11.310,7.920,7.350,8457,855,29,0,5,0,28,0,4,0,11.310,7.920,7.350,1010343936,3255754752,3802460160,6717431808,0,0,1,0,2,0,0,0,1073737728,0,896,51401,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,126,115,1555,0.100,0,0,0,0,0,0,0,0,0
1769890367.656,0.125,0.125,99.750,0,0,0,0,0,0,0,0,0,0,1010843648,3255250944,3802464256,6716928000,287,353,0,0,0,11.310,7.920,7.350,142,135,4,0,0,0,2,0,2,0,11.310,7.920,7.350,1010843648,3255250944,3802464256,6716928000,0,0,0,0,0,0,0,0,1073737728,0,896,51401,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,7,30,25,0,0,0,0,0,0,0,0,0,0
1769890368.649,0.126,0.126,99.748,0,0,0,0,0,0,0,0,0,0,1010843648,3255250944,3802464256,6716944384,280,360,0,0,0,11.310,7.920,7.350,147,125,4,0,0,0,1,0,2,0,11.310,7.920,7.350,1010843648,3255250944,3802464256,6716944384,0,0,0,0,0,0,0,0,1073737728,0,896,51401,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,4,27,27,0,0,0,0,0,0,0,0,0,0
1769890369.656,0.125,0,99.875,0,0,0,0,0,0,0,0,0,0,1011093504,3254992896,3802472448,6716686336,266,368,0,0,0,11.310,7.920,7.350,149,107,2,0,0,0,3,0,2,0,11.310,7.920,7.350,1011093504,3254992896,3802472448,6716686336,0,0,0,0,0,0,0,0,1073737728,0,896,51401,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,21,46,25,0,0,0,0,0,0,0,0,0,0
1769890370.649,0.252,0.252,99.118,0.378,0,0,0,0,0,0,0,0,0,1011093504,3254992896,3802472448,6716686336,859,1219,0,0,1,10.410,7.790,7.310,451,143,2,2,254,0,1,0,4,0,10.410,7.790,7.310,1011093504,3254992896,3802472448,6716686336,0,0,1,0,0,0,0,0,1073737728,0,896,51401,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,89,90,116,2.800,0,0,0,0,0,0,0,0,0
1769890371.646,55.894,24.208,19.899,0,0,0,131072,0,0,0,0,0,0,1010192384,3255791616,3802476544,6717603840,20888,66118,18,0,10,10.410,7.790,7.310,2416,6445,11,0,4,0,10,0,4,0,10.410,7.790,7.310,1010192384,3255791616,3802476544,6717603840,18,0,10,0,2,0,0,0,1073737728,0,1792,52425,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,1172,27597,22860,0.400,0,0,0,0,0,0,0,0,0
1769890372.646,66.877,29.723,3.401,0,0,0,0,0,0,0,0,0,0,1045585920,3220398080,3802476544,6682210304,31152,90990,15,0,0,10.410,7.790,7.310,1952,7706,2,0,0,0,1,0,2,0,10.410,7.790,7.310,1045585920,3220398080,3802476544,6682210304,15,0,0,0,0,0,0,0,1073737728,0,1792,52425,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,807,22125,15305,0,0,0,0,0,0,0,0,0,0
1769890373.646,66.288,29.040,4.672,0,0,0,0,0,0,0,0,0,0,1036230656,3229745152,3802484736,6691557376,31804,83852,16,0,0,10.410,7.790,7.310,3053,7662,2,0,0,0,3,0,2,0,10.410,7.790,7.310,1036230656,3229745152,3802484736,6691557376,18,0,0,0,0,0,0,0,1073737728,0,1792,52425,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,71,13983,15113,0,0,0,0,0,0,0,0,0,0
1769890374.648,66.834,29.271,3.894,0,0,0,0,0,0,0,0,0,0,1032855552,3233120256,3802484736,6694932480,28309,83620,17,0,0,10.410,7.790,7.310,2267,7708,2,0,0,0,1,0,2,0,10.410,7.790,7.310,1033084928,3232890880,3802484736,6694703104,18,0,0,0,0,0,0,0,1073737728,0,1792,52425,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,14,15348,16054,0,0,0,0,0,0,0,0,0,0
1769890375.646,66.119,29.709,4.172,0,0,0,0,0,0,0,0,0,0,1039970304,3226005504,3802484736,6687825920,27443,83566,18,0,0,10.700,7.890,7.350,2493,7633,2,0,0,0,1,0,2,0,10.700,7.890,7.350,1039970304,3226005504,3802484736,6687825920,17,0,0,0,0,0,0,0,1073737728,0,1792,52425,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,14,18950,17969,0,0,0,0,0,0,0,0,0,0
1769890376.646,66.203,29.620,4.177,0,0,0,1343488,0,0,0,0,0,0,1039781888,3226193920,3802484736,6688022528,27455,81550,18,0,0,10.700,7.890,7.350,2795,7640,4,0,14,0,1,0,2,0,10.700,7.890,7.350,1039781888,3226193920,3802484736,6688022528,17,0,0,0,30,0,0,0,1073737728,0,1792,52425,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,382,15930,15555,0.800,0,0,0,0,0,0,0,0,0
1769890377.649,66.751,29.471,3.778,0,0,0,0,0,0,0,0,0,0,1036857344,3229114368,3802488832,6690942976,28233,82702,17,0,0,10.700,7.890,7.350,2660,7718,2,0,0,0,3,0,2,0,10.700,7.890,7.350,1037103104,3228868608,3802488832,6690697216,19,0,0,0,0,0,0,0,1073737728,0,1792,52425,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,35,15543,16566,0,0,0,0,0,0,0,0,0,0
1769890378.645,65.605,30.828,3.567,0,0,0,0,0,0,0,0,0,0,1032699904,3233271808,3802488832,6695104512,27834,82843,14,0,0,10.700,7.890,7.350,2538,7632,2,0,0,0,1,0,2,0,10.700,7.890,7.350,1032699904,3233271808,3802488832,6695104512,18,0,0,0,0,0,0,0,1073737728,0,1792,52425,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,25,19022,19058,0,0,0,0,0,0,0,0,0,0
1769890379.646,66.667,29.167,4.167,0,0,0,0,0,0,0,0,0,0,1034674176,3231293440,3802492928,6693126144,27270,83963,19,0,0,10.700,7.890,7.350,2800,7682,2,0,0,0,2,0,2,0,10.700,7.890,7.350,1034674176,3231293440,3802492928,6693126144,17,0,0,0,0,0,0,0,1073737728,0,1792,52425,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,15,16407,16980,0,0,0,0,0,0,0,0,0,0
1769890380.646,65.689,29.337,4.974,0,0,0,0,0,0,0,0,0,0,1035091968,3230875648,3802492928,6692708352,27148,79525,15,0,0,11.360,8.080,7.410,2933,7547,6,0,0,0,1,0,2,0,11.360,8.080,7.410,1033568256,3232399360,3802492928,6694232064,14,0,0,0,0,0,0,0,1073737728,0,1792,52425,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,23,15305,15779,0,0,0,0,0,0,0,0,0,0
1769890381.646,66.877,29.204,3.919,0,0,0,0,0,0,0,0,0,0,1058467840,3207491584,3802501120,6669328384,28097,80558,17,0,0,11.360,8.080,7.410,2660,7675,4,0,0,0,3,0,2,0,11.360,8.080,7.410,1058467840,3207491584,3802501120,6669328384,17,0,0,0,0,0,0,0,1073737728,0,1792,52425,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,280,25971,18476,0,0,0,0,0,0,0,0,0,0
