"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","64665ab8242d",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260130193859/ktor-exposed-r2dbc-dsl/db/stats.txt",,,,"Date:","30 Jan 2026 19:42:11 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","65","66","67","68","69","70","71","74","75","76","77","78","79","80","81","82","83","84","87","88","89","90","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769802131.099,2.297,0.482,96.960,0.107,0.154,53306761.710,37834027.286,10899295.532,0,0,0,0,0,2691411968,2665418752,2741202944,4895199232,7807.127,11801.330,0,1,29.884,2.090,1.190,0.480,3.306,25.763,22.971,2.924,3.953,25.381,20.144,7.662,23.450,9.435,6.480,9.165,9.639,2.343,5.441,16.241,3.607,3.057,3.979,4.667,10.928,4.386,9.323,21.697,3.892,2.471,1.528,3.851,4.595,9.435,1.187,4.442,1.065,2.002,0.102,0.122,0.285,0.219,0.550,0.178,0.683,3.887,0.076,0.061,0.082,0.555,0.219,0.112,0.367,0.107,0.729,0.178,2.415,1.029,0.097,0.209,0.092,1.956,1.783,0.056,0.071,0.214,150.986,144.913,2.090,1.190,0.480,2691411968,2665418752,2741202944,4895199232,2,0,29.884,165.785,82.674,18.289,0,0,1073737728,0,8064,47017,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,14.346,9615.166,17300.892,20815.324,3.607,0.279,0,0,0,0,0,0,0,0
1769802132.100,26.673,5.572,66.963,0.066,0.725,0,6062080,131072,0,672,0,0,0,2914271232,2442276864,2741317632,4672360448,203504,414069,8,0,73,2.090,1.190,0.480,15,20,0,0,1,0,0,0,0,4,17,4,4,3,0,0,8,0,0,4,1,1,0,10,0,0,20,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,212,179,2.090,1.190,0.480,2914271232,2442276864,2741317632,4672360448,10,0,73,0,104,2,0,0,1073737728,0,8128,47271,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,12647,60687,12504,1.700,0.200,0,0,0,0,0,0,0,0
1769802133.100,19.217,6.394,74.121,0,0.268,0,0,0,0,336,0,0,0,2944892928,2411655168,2741317632,4641742848,258663,535275,8,0,1,2.090,1.190,0.480,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,2.090,1.190,0.480,2944892928,2411655168,2741317632,4641742848,7,0,1,0,0,0,0,0,1073737728,0,8128,47271,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,725,7635,290,0,0,0,0,0,0,0,0,0,0
1769802134.100,17.007,6.127,76.498,0,0.368,0,0,0,0,336,0,0,0,2948665344,2407882752,2741317632,4637970432,258634,535754,9,0,0,2.090,1.190,0.480,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,2.090,1.190,0.480,2948665344,2407882752,2741317632,4637970432,6,0,0,0,0,0,0,0,1073737728,0,8128,47270,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,44,7436,6399,0,0,0,0,0,0,0,0,0,0
1769802135.100,17.041,6.060,76.632,0,0.268,0,0,0,0,0,0,0,0,2965352448,2391195648,2741317632,4621283328,258524,535898,12,0,0,2.090,1.190,0.480,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,2.090,1.190,0.480,2965352448,2391195648,2741317632,4621283328,7,0,0,0,0,0,0,0,1073737728,0,8128,47270,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,33,14102,8480,0,0,0,0,0,0,0,0,0,0
1769802136.100,16.951,6.030,76.717,0,0.302,0,0,0,0,0,0,0,0,2960863232,2395684864,2741317632,4625772544,258353,535040,9,0,1,3.770,1.560,0.600,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,3.770,1.560,0.600,2960863232,2395684864,2741317632,4625772544,11,0,1,0,0,0,0,0,1073737728,0,8128,47270,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,5,242,247,0,0,0,0,0,0,0,0,0,0
1769802137.100,2.725,1.014,96.134,0.063,0.063,0,393216,0,0,0,0,0,0,2918559744,2437984256,2741321728,4668071936,46979,96075,0,0,1,3.770,1.560,0.600,2,38,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,3.770,1.560,0.600,2918559744,2437984256,2741321728,4668071936,0,0,1,0,2,0,0,0,1073737728,0,8128,47255,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,286,355,7276,2.100,0,0,0,0,0,0,0,0,0
1769802138.100,0.157,0.094,99.718,0.031,0,0,0,0,0,0,0,0,0,2932387840,2424119296,2741321728,4654243840,2120,3163,0,0,27,3.770,1.560,0.600,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,58,3.770,1.560,0.600,2932387840,2424119296,2741321728,4654243840,0,0,27,0,0,0,0,0,1073737728,0,8192,47259,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,4742,7641,6040,0.600,0,0,0,0,0,0,0,0,0
1769802139.100,0.377,0.094,99.528,0,0,0,0,0,0,0,0,0,0,2928668672,2427838464,2741321728,4657967104,4469,6179,0,0,0,3.770,1.560,0.600,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,3.770,1.560,0.600,2928668672,2427838464,2741321728,4657967104,0,0,0,0,0,0,0,0,1073737728,0,8192,47255,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,2417,2774,4849,0,0,0,0,0,0,0,0,0,0
1769802140.100,0,0,99.193,0,0.807,0,0,0,0,0,0,0,0,2928668672,2427838464,2741321728,4657967104,684,625,0,0,0,3.770,1.560,0.600,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,3.770,1.560,0.600,2928668672,2427838464,2741321728,4657967104,0,0,0,0,0,0,0,0,1073737728,0,8192,47255,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,3,34,38,0,0,0,0,0,0,0,0,0,0
