"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","64665ab8242d",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260130193859/ktor-exposed-r2dbc-dsl/fortune/stats.txt",,,,"Date:","30 Jan 2026 19:48:16 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","65","66","67","68","69","70","71","74","75","76","77","78","79","80","81","82","83","84","87","88","89","90","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769802496.737,35.249,9.235,54.510,0.051,0.955,18620796.640,35219608.307,3807626.089,0,0,0,0,0,4306497536,874475520,2913701888,3196563456,89039.462,419661.066,0,0,13.836,111.010,69.040,30.470,2.748,14.242,8.175,1.118,1.573,9.090,7.232,2.990,8.288,3.404,2.678,3.353,3.493,1.023,2.045,6.709,1.433,1.262,1.488,1.762,4.145,1.655,3.769,7.695,1.473,1.002,0.650,1.554,1.888,3.376,0.562,1.860,0.687,0.808,0.036,0.043,0.100,0.077,0.192,0.062,0.238,1.358,0.027,0.021,0.028,0.194,0.077,0.039,0.128,0.037,0.254,0.064,0.844,0.359,0.034,0.073,0.032,0.683,0.623,0.020,0.027,0.075,62.405,58.723,111.010,69.040,30.470,4306497536,874475520,2913701888,3196567552,0,1,13.836,57.911,36.784,6.394,0,0,1073737728,0,9024,47147,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,5.013,8955.058,10089.668,10543.445,2.494,0.098,0,0,0,0,0,0,0,0
1769802497.738,18.384,6.330,74.714,0.101,0.471,0,5505024,0,0,672,0,0,0,4327604224,853106688,2913800192,3175436288,259106,536887,11,0,64,111.010,69.040,30.470,12,20,0,0,3,15,0,0,0,0,0,0,0,2,0,0,0,1,0,2,12,0,12,0,1,0,0,0,4,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,149,111.010,69.040,30.470,4327604224,853106688,2913800192,3175436288,15,0,64,0,89,0,0,0,1073737728,0,9024,47397,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,5915,9774,6893,1.800,0,0,0,0,0,0,0,0,0
1769802498.738,21.455,7.718,70.044,0,0.782,0,0,65536,0,336,0,0,0,4339257344,841445376,2913808384,3163803648,308546,639461,8,0,0,111.010,69.040,30.470,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,13,111.010,69.040,30.470,4339257344,841445376,2913808384,3163803648,10,0,0,0,0,1,0,0,1073737728,0,9024,47397,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,5655,6195,3913,0,0,0,0,0,0,0,0,0,0
1769802499.738,20.652,7.575,71.264,0,0.510,0,0,0,0,336,0,0,0,4339732480,840970240,2913808384,3163336704,307943,640218,12,0,0,111.010,69.040,30.470,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,111.010,69.040,30.470,4339732480,840970240,2913808384,3163336704,8,0,0,0,0,0,0,0,1073737728,0,9024,47396,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,25,92,102,0,0,0,0,0,0,0,0,0,0
1769802500.738,20.997,7.056,71.336,0,0.611,0,2097152,0,0,0,0,0,0,4313337856,867364864,2913808384,3189731328,306194,636192,9,0,0,103.640,68.200,30.400,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,103.640,68.200,30.400,4313337856,867364864,2913808384,3189731328,13,0,0,0,1,0,0,0,1073737728,0,9024,47396,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,35,128,7557,0,0,0,0,0,0,0,0,0,0
1769802501.738,20.530,7.580,71.278,0,0.612,0,0,0,0,0,0,0,0,4279230464,901472256,2913808384,3223838720,306834,637912,8,0,0,103.640,68.200,30.400,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,103.640,68.200,30.400,4279230464,901472256,2913808384,3223838720,11,0,0,0,0,0,0,0,1073737728,0,9024,47396,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,53,179,7832,0,0,0,0,0,0,0,0,0,0
1769802502.738,4.610,1.590,93.482,0,0.318,0,458752,0,0,0,0,0,0,4279988224,900714496,2913808384,3223080960,73111,150363,0,0,1,103.640,68.200,30.400,2,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,27,103.640,68.200,30.400,4279988224,900714496,2913808384,3223080960,0,0,1,0,2,0,0,0,1073737728,0,9024,47381,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,326,295,1173,1,0,0,0,0,0,0,0,0,0
1769802503.738,0,0.031,99.378,0,0.591,0,2097152,0,0,0,0,0,0,4280246272,900456448,2913808384,3222822912,887,785,0,0,1,103.640,68.200,30.400,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,103.640,68.200,30.400,4280246272,900456448,2913808384,3222822912,0,0,1,0,1,0,0,0,1073737728,0,9024,47381,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,55,81,34,0,0,0,0,0,0,0,0,0,0
1769802504.738,0.031,0,99.626,0,0.343,0,0,0,0,0,0,0,0,4280504320,900198400,2913808384,3222564864,1350,1083,0,0,0,103.640,68.200,30.400,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,103.640,68.200,30.400,4280504320,900198400,2913808384,3222564864,0,0,0,0,0,0,0,0,1073737728,0,9024,47381,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,35,59,26,0,0,0,0,0,0,0,0,0,0
1769802505.738,0,0,99.255,0,0.745,0,0,0,0,0,0,0,0,4280504320,900198400,2913808384,3222564864,701,594,0,0,0,95.340,67.070,30.240,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,95.340,67.070,30.240,4280504320,900198400,2913808384,3222564864,0,0,0,0,0,0,0,0,1073737728,0,9024,47381,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,32,72,35,0,0,0,0,0,0,0,0,0,0
1769802506.738,0.031,0.031,99.906,0.031,0,0,2097152,0,0,0,0,0,0,4282294272,898408448,2913808384,3220774912,1160,1752,0,0,1,95.340,67.070,30.240,6,2,0,0,0,0,0,0,316,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,95.340,67.070,30.240,4282294272,898408448,2913808384,3220774912,0,0,1,0,1,0,0,0,1073737728,0,9024,47381,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,144,138,101,0.800,0,0,0,0,0,0,0,0,0
1769802507.738,52.716,14.466,31.996,0,0.821,0,163840,0,0,0,0,0,0,4340424704,840245248,2913808384,3162644480,122090,439888,147,0,33,95.340,67.070,30.240,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,19,95.340,67.070,30.240,4340424704,840245248,2913808384,3162644480,134,0,33,0,2,0,0,0,1073737728,0,9984,48408,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,5209,25018,7004,1.500,0,0,0,0,0,0,0,0,0
1769802508.738,70.396,19.081,9.604,0,0.919,0,0,0,0,0,0,0,0,4328398848,852271104,2913808384,3174670336,157705,697502,131,0,0,95.340,67.070,30.240,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,95.340,67.070,30.240,4328398848,852271104,2913808384,3174670336,155,0,0,0,0,0,0,0,1073737728,0,10048,48408,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,707,4510,3730,0,0,0,0,0,0,0,0,0,0
