"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","64665ab8242d",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260130193859/vertx-web-kotlinx-exposed-r2dbc-postgresql/query/stats.txt",,,,"Date:","30 Jan 2026 19:56:13 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","65","66","67","68","69","70","71","74","75","76","77","78","79","80","81","82","83","84","87","88","89","90","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769802973.807,33.026,8.864,57.158,0.049,0.904,12950022.406,28457478.406,2061167.122,0,0,0,0,0,2292973568,2133708800,3619966976,5288112128,87305.115,448247.060,1,0,13.152,35.140,36.470,30.080,2.788,18.485,4.712,1.241,1.372,5.141,4.584,2.897,5.052,2.112,1.592,3.156,2.976,0.842,3.592,4.670,2.222,0.859,1.471,2.018,2.585,1.315,4.739,6.036,2.657,2.113,0.733,1.885,3.229,1.951,0.514,1.450,0.504,1.175,0.019,0.023,0.054,0.041,0.104,0.034,0.129,0.734,0.015,0.013,0.015,0.105,0.041,0.021,0.069,0.020,0.138,0.035,0.456,0.194,0.018,0.039,0.017,0.370,0.337,0.013,0.014,0.040,64.876,59.958,35.140,36.470,30.080,2292973568,2133708800,3619966976,5288112128,1,0,13.152,41.038,39.291,3.463,0,0,1073737728,0,1600,67709,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,2.721,7379.249,10868.983,11408.782,2.088,0.053,0,0,0,0,0,0,0,0
1769802974.808,18.449,4.074,77.282,0.098,0.098,0,6258688,0,0,672,0,0,0,2310127616,2116493312,3620028416,5270941696,181691,342957,9,0,67,35.140,36.470,30.080,12,20,0,15,16,0,0,0,0,0,4,0,0,0,13,0,2,4,0,10,0,0,0,0,0,3,0,0,0,0,7,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,156,35.140,36.470,30.080,2310127616,2116493312,3620028416,5270941696,8,0,67,0,105,0,0,0,1073737728,0,1600,67953,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,3674,6729,9398,1.900,0,0,0,0,0,0,0,0,0
1769802975.808,20.477,4.376,75.147,0,0,0,0,0,0,336,0,0,0,2305462272,2121064448,3620122624,5275607040,211621,402006,9,0,0,32.570,35.910,29.930,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,32.570,35.910,29.930,2305462272,2121064448,3620122624,5275607040,8,0,0,0,0,0,0,0,1073737728,0,1600,67953,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,59,2070,3560,0,0,0,0,0,0,0,0,0,0
1769802976.808,20.437,4.636,74.927,0,0,0,0,0,0,336,0,0,0,2294759424,2131767296,3620122624,5286309888,212269,402806,9,0,0,32.570,35.910,29.930,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,32.570,35.910,29.930,2294759424,2131767296,3620122624,5286309888,8,0,0,0,0,0,0,0,1073737728,0,1600,67952,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,5,2056,3195,0,0,0,0,0,0,0,0,0,0
1769802977.808,20.549,4.443,74.975,0,0.033,0,0,0,0,0,0,0,0,2288136192,2138390528,3620122624,5292933120,213240,405087,9,0,0,32.570,35.910,29.930,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,32.570,35.910,29.930,2288136192,2138390528,3620122624,5292933120,8,0,0,0,0,0,0,0,1073737728,0,1600,67952,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,20,1693,3207,0,0,0,0,0,0,0,0,0,0
1769802978.808,20.575,4.409,75.016,0,0,0,0,0,0,0,0,0,0,2276532224,2149994496,3620122624,5304537088,210217,399001,9,0,1,32.570,35.910,29.930,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,32.570,35.910,29.930,2276532224,2149994496,3620122624,5304537088,8,0,1,0,0,0,0,0,1073737728,0,1600,67952,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,737,2276,3286,0,0,0,0,0,0,0,0,0,0
1769802979.808,4.419,0.979,94.508,0.063,0.032,0,425984,0,0,0,0,0,0,2273492992,2153033728,3620122624,5307576320,48363,91301,0,0,1,32.570,35.910,29.930,2,38,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,31,32.570,35.910,29.930,2273492992,2153033728,3620122624,5307576320,0,0,1,0,2,0,0,0,1073737728,0,1600,67937,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,219,575,984,1.200,0,0,0,0,0,0,0,0,0
1769802980.808,0.188,0.063,99.750,0,0,0,0,0,0,0,0,0,0,2273492992,2153033728,3620122624,5307609088,679,573,0,0,0,30.040,35.330,29.780,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,30.040,35.330,29.780,2273492992,2153033728,3620122624,5307609088,0,0,0,0,0,0,0,0,1073737728,0,1600,67937,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,7,49,55,0,0,0,0,0,0,0,0,0,0
1769802981.808,0.031,0.031,99.937,0,0,0,0,0,0,0,0,0,0,2273492992,2153033728,3620122624,5307609088,589,572,0,0,0,30.040,35.330,29.780,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,30.040,35.330,29.780,2273492992,2153033728,3620122624,5307609088,0,0,0,0,0,0,0,0,1073737728,0,1600,67937,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,1,28,34,0,0,0,0,0,0,0,0,0,0
1769802982.808,0.062,0,99.906,0,0.031,0,0,0,0,0,0,0,0,2273492992,2153033728,3620122624,5307609088,592,556,0,0,0,30.040,35.330,29.780,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,30.040,35.330,29.780,2273492992,2153033728,3620122624,5307609088,0,0,0,0,0,0,0,0,1073737728,0,1600,67937,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,43,81,28,0,0,0,0,0,0,0,0,0,0
