"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","b7243ccaf30e",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260204175855/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","04 Feb 2026 18:02:54 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","25","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770228174.721,5.705,0.896,88.117,4.560,0.723,29434907.277,107881229.172,941284.612,0,0,0,6041.822,9041.409,1617842176,2606063616,3740499968,6015651840,18302.166,36309.612,2,34,7.688,5.550,4.840,5.110,2.550,0.659,953.458,4.415,9.035,3.584,8.921,6.210,7.259,6.589,7.616,7.026,5.132,11.532,7.433,8.144,8.904,4.760,6.361,5.265,7.636,3.124,4.311,2.091,4.124,1.649,5.837,6.150,3.191,5.426,5.657,3.124,3.012,5.710,3.776,0.017,0.007,0.012,0.009,0.006,0.016,0.010,0.010,0.250,0.019,0.014,0.052,0.196,0.079,0.023,0.049,0.064,0.163,0.032,0.040,0.042,0.040,0.146,0.034,0.021,0.035,0.037,0.022,0.024,0.016,0.017,0.019,742.693,617.639,5.550,4.840,5.110,1617846272,2606063616,3740495872,6015651840,1,34,7.688,65.000,112.101,1.852,0,20205568,1053532160,0,1344,103970,0,0,0,0,0,0,0,59,1,1,0,0,1,0,0,532,0,0,1,0,0,56,0,56,5.973,6495.313,14775.865,15017.837,4.705,0.024,0,0,0,0,0,0,0,0
1770228175.722,29.267,8.209,19.792,37.605,5.127,0,42336256,131072,0,672,0,0,0,1713491968,2488897536,3761954816,5918306304,208891,393508,9,28,75,5.550,4.840,5.110,8,0,12609,0,17,0,1,6,0,0,0,0,5,0,1,0,4,2,19,2,6,0,0,0,0,0,0,0,13,13,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6767,6021,5.550,4.840,5.110,1713475584,2488897536,3761971200,5918306304,9,26,75,0,119,1,0,20205568,1053532160,0,1280,104200,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,1,20111,104667,78567,5,0,0,0,0,0,0,0,0,0
1770228176.721,23.017,9.883,23.179,38.752,5.169,0,55443456,0,0,336,0,0,0,1828077568,2343981056,3791626240,5802127360,249867,478259,11,32,2,5.550,4.840,5.110,2,0,11733,0,0,0,0,0,0,8,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6424,5863,5.550,4.840,5.110,1828069376,2343981056,3791634432,5802127360,12,32,2,0,14,0,0,20205568,1053532160,0,1280,104199,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,8829,71783,32683,5.100,0,0,0,0,0,0,0,0,0
1770228177.721,23.813,9.336,21.535,40.208,5.107,1146880,193888256,0,0,336,0,0,0,1839034368,2302431232,3821490176,5790093312,251021,480743,12,30,2,5.550,4.840,5.110,2,0,11943,0,1,0,0,0,0,2,0,10,0,0,0,0,0,0,3,8,1,0,0,0,0,5,1,15,3,1,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6419,5836,5.550,4.840,5.110,1839026176,2302431232,3821498368,5790093312,10,29,2,35,55,0,0,20205568,1053532160,0,1280,104199,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,35,1215,39953,31385,7.900,0,0,0,0,0,0,0,0,0
1770228178.721,23.415,9.528,18.829,43.220,5.008,0,67108864,0,0,0,0,0,0,1992679424,2117414912,3852128256,5634211840,249491,476765,13,29,0,5.550,4.840,5.110,2,0,12385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6670,5902,5.550,4.840,5.110,1992663040,2117414912,3852144640,5634211840,16,27,0,0,24,0,0,20205568,1053532160,0,1280,104199,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,1271,71296,11191,5.400,0,0,0,0,0,0,0,0,0
1770228179.721,23.873,9.277,19.753,41.842,5.255,0,185401344,0,0,0,0,0,0,2080477184,1999892480,3881140224,5545451520,247486,472806,12,29,1,6.380,5.020,5.170,2,0,12112,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,7,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6267,5738,6.380,5.020,5.170,2080460800,1999892480,3881156608,5545451520,11,30,1,0,42,0,0,20205568,1053532160,0,1280,104200,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,2323,52277,38018,8.200,0,0,0,0,0,0,0,0,0
1770228180.721,8.654,4.540,25.963,59.112,1.731,0,22085632,0,0,0,0,0,0,2079272960,1992200192,3889831936,5546692608,184398,326234,3,33,1,6.380,5.020,5.170,2,0,18345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10824,9918,6.380,5.020,5.170,2079272960,1992200192,3889831936,5546692608,3,33,1,0,8,0,0,20205568,1053532160,0,1280,104185,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,544,18002,16354,2.300,0,0,0,0,0,0,0,0,0
1770228181.721,3.344,3.016,25.607,67.738,0.295,0,0,0,0,0,0,0,0,2078060544,1991585792,3891601408,5547786240,162066,276357,3,33,0,6.380,5.020,5.170,2,0,20611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11965,10889,6.380,5.020,5.170,2078060544,1991585792,3891601408,5547786240,4,33,0,0,0,0,0,20205568,1053532160,0,1280,104185,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,207,17956,17298,0,0,0,0,0,0,0,0,0,0
1770228182.721,3.417,2.760,28.187,65.309,0.329,0,0,0,0,0,0,0,0,2079813632,1988026368,3893366784,5546012672,162852,276915,4,33,0,6.380,5.020,5.170,2,0,20612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12205,11175,6.380,5.020,5.170,2079813632,1988026368,3893366784,5546012672,4,33,0,0,0,0,0,20205568,1053532160,0,1280,104185,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,169,19489,19044,0,0,0,0,0,0,0,0,0,0
1770228183.721,3.095,2.898,25.716,68.028,0.263,0,0,0,0,0,0,0,0,2081009664,1985044480,3895115776,5544665088,161048,273714,4,33,0,6.380,5.020,5.170,2,0,20344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12217,11063,6.380,5.020,5.170,2081013760,1985044480,3895111680,5544665088,3,33,0,0,0,0,0,20205568,1053532160,0,1280,104185,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,26,17847,17485,0,0,0,0,0,0,0,0,0,0
