"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","b0d69b40f4eb",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260201182717/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/fortune/stats.txt",,,,"Date:","01 Feb 2026 18:40:32 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","82","83","85","86","87","88","90","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769971232.715,25.993,6.145,51.609,15.236,1.018,14260200.824,46454048.672,2681661.872,0,0,0,0,0,2711531520,1467531264,3792814080,4710952960,46145.605,212177.947,1,34,8.247,31.920,29.070,14.290,3.547,40.046,2.478,5.568,9.177,4.932,5.238,2.011,1.138,1.837,3.281,5.772,3.136,4.011,4.576,4.715,2.625,2.311,3.778,2.588,1.695,0.618,2.143,1.579,3.973,2.264,1.802,2.773,2.887,4.097,9.668,5.149,4.912,2.367,0.392,0.017,0.052,0.548,0.261,0.453,0.080,0.034,0.135,0.031,0.032,0.189,0.249,0.025,0.016,0.045,0.097,0.034,0.072,0.027,0.014,0.868,0.022,0.045,0.235,0.031,128.552,89.128,31.920,29.070,14.290,2711531520,1467531264,3792814080,4710952960,1,34,8.247,73.564,48.993,4.507,0,0,1073737728,0,1856,120835,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,67,0,67,4.818,2944.165,13357.803,13921.410,2.591,0.077,0,0,0,0,0,0,0,0
1769971233.716,19.172,6.045,20.040,54.542,0.200,0,8290304,0,0,672,0,0,0,2692587520,1486295040,3792912384,4729966592,188141,354102,10,29,69,31.920,29.070,14.290,22,20,0,3,0,4,13,0,7,0,2,0,0,0,0,0,0,1,0,0,4,0,38,12,3,0,4,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,177,31.920,29.070,14.290,2692247552,1486635008,3792912384,4730306560,8,28,69,0,151,0,0,0,1073737728,0,1856,121071,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,6737,32290,39293,2.700,0,0,0,0,0,0,0,0,0
1769971234.716,18.629,6.002,8.003,67.334,0.033,0,0,0,0,336,0,0,0,2638684160,1540198400,3792912384,4783869952,219339,416803,8,29,0,31.920,29.070,14.290,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,31.920,29.070,14.290,2638684160,1540198400,3792912384,4783869952,8,29,0,0,0,0,0,0,1073737728,0,1856,121071,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,14,30374,44076,0,0,0,0,0,0,0,0,0,0
1769971235.716,19.194,5.568,19.915,55.257,0.066,0,1769472,0,0,336,0,0,0,2586832896,1592049664,3792912384,4835745792,217119,412602,8,29,0,31.920,29.070,14.290,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,31.920,29.070,14.290,2586832896,1592049664,3792912384,4835745792,8,29,0,0,1,0,0,0,1073737728,0,1856,121070,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,23,29722,38962,0,0,0,0,0,0,0,0,0,0
1769971236.716,18.748,5.834,19.928,55.457,0.033,0,0,0,0,0,0,0,0,2564194304,1614688256,3792912384,4858384384,216475,411444,8,29,0,31.920,29.070,14.290,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,31.920,29.070,14.290,2564194304,1614688256,3792912384,4858384384,8,27,0,0,0,0,0,0,1073737728,0,1856,121072,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,20,27974,33615,0,0,0,0,0,0,0,0,0,0
1769971237.716,19.122,6.011,16.744,58.025,0.099,0,0,0,0,0,0,0,0,2544480256,1634402304,3792912384,4878098432,216077,409531,9,27,0,30.090,28.740,14.260,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,180,30.090,28.740,14.260,2544480256,1634402304,3792912384,4878098432,8,29,0,0,0,0,0,0,1073737728,0,1856,121130,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1395,26196,30491,0,0,0,0,0,0,0,0,0,0
1769971238.716,4.577,1.335,21.647,72.409,0.032,0,2654208,0,0,0,0,0,0,2554494976,1624383488,3792916480,4868091904,54213,100646,0,33,1,30.090,28.740,14.260,6,36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,43,30.090,28.740,14.260,2554494976,1624383488,3792916480,4868091904,0,33,1,0,3,0,0,0,1073737728,0,1856,121115,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,7659,13679,12914,0.700,0,0,0,0,0,0,0,0,0
1769971239.716,0.031,0.062,12.878,86.374,0.655,0,0,0,0,0,0,0,0,2554494976,1624383488,3792916480,4868091904,976,1188,0,33,0,30.090,28.740,14.260,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,62,30.090,28.740,14.260,2554494976,1624383488,3792916480,4868091904,0,33,0,0,0,0,0,0,1073737728,0,1856,121055,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,31,119,87,0,0,0,0,0,0,0,0,0,0
1769971240.716,0.031,0,9.537,90.432,0,0,0,0,0,0,0,0,0,2554494976,1624383488,3792916480,4868091904,560,533,0,33,0,30.090,28.740,14.260,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,30.090,28.740,14.260,2554494976,1624383488,3792916480,4868091904,0,33,0,0,0,0,0,0,1073737728,0,1856,121055,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3,28,37,0,0,0,0,0,0,0,0,0,0
1769971241.716,0,0,3.411,96.589,0,0,0,0,0,0,0,0,0,2554494976,1624383488,3792916480,4868091904,536,537,0,33,0,30.090,28.740,14.260,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,30.090,28.740,14.260,2554494976,1624383488,3792916480,4868091904,0,33,0,0,0,0,0,0,1073737728,0,1856,121057,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,5,44,57,0,0,0,0,0,0,0,0,0,0
