"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","b0d69b40f4eb",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260201182717/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","01 Feb 2026 18:38:36 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","82","83","85","86","87","88","90","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769971116.398,19.169,6.388,59.719,13.848,0.875,16683961.924,19682012.936,3137455.434,0,0,0,0,0,2404937728,2335080448,3239948288,5278834688,43363.094,215039.988,1,34,9.179,52.980,29.140,12.280,3.288,45.468,2.530,6.024,10.580,5.499,5.717,2.147,0.786,1.906,3.514,6.480,3.482,4.308,5.122,5.287,2.746,2.462,4.155,2.829,1.249,0.577,2.287,1.700,4.378,2.440,1.951,3.032,3.086,4.625,11.068,5.651,5.189,2.489,0.459,0.020,0.061,0.642,0.305,0.530,0.094,0.039,0.158,0.037,0.038,0.221,0.291,0.029,0.019,0.053,0.114,0.039,0.085,0.032,0.016,1.016,0.026,0.053,0.275,0.037,144.040,98.812,52.980,29.140,12.280,2404937728,2335080448,3239948288,5278834688,2,33,9.179,86.068,37.857,5.272,0,0,1073737728,0,1408,120709,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,5.636,2881.741,14150.175,15009.459,1.912,0.090,0,0,0,0,0,0,0,0
1769971117.398,20.152,4.997,19.193,55.394,0.265,0,77529088,0,0,672,0,0,0,2431328256,2305064960,3243606016,5250236416,150806,280654,10,28,66,52.980,29.140,12.280,21,20,0,0,0,6,17,1,30,23,4,0,0,0,0,0,0,12,0,0,0,1,0,0,3,0,0,0,5,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,307,52.980,29.140,12.280,2431328256,2305064960,3243606016,5250236416,9,29,66,0,140,0,0,0,1073737728,0,1280,121036,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,19770,9046,7310,7.900,0,0,0,0,0,0,0,0,0
1769971118.398,22.292,4.760,18.647,54.202,0.098,0,225050624,0,0,336,0,0,0,2454560768,2278547456,3247300608,5225119744,188663,351662,8,30,0,49.300,28.780,12.250,9,2,0,1,0,0,8,0,12,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,100,49.300,28.780,12.250,2454560768,2278547456,3247300608,5225119744,9,30,0,0,62,0,0,0,1073737728,0,1344,121022,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,10325,14036,13273,6.500,0,0,0,0,0,0,0,0,0
1769971119.398,21.941,4.382,16.196,57.416,0.065,0,93126656,0,0,336,0,0,0,2453839872,2273779712,3252748288,5223190528,183408,345550,11,28,0,49.300,28.780,12.250,2,2,0,0,0,0,0,0,15,0,3,0,0,0,0,0,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,59,49.300,28.780,12.250,2453823488,2273779712,3252764672,5223190528,10,29,0,0,40,0,0,0,1073737728,0,1344,120961,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1564,2548,1178,5.900,0,0,0,0,0,0,0,0,0
1769971120.398,21.838,4.432,16.758,56.972,0,0,219381760,0,0,0,0,0,0,2457591808,2266284032,3256434688,5217501184,185037,349034,10,28,0,49.300,28.780,12.250,2,2,0,0,0,0,12,0,16,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,49.300,28.780,12.250,2457591808,2266284032,3256434688,5217501184,9,30,0,0,71,0,0,0,1073737728,0,1344,120962,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1112,5918,4932,10,0,0,0,0,0,0,0,0,0
1769971121.398,22.262,4.233,19.483,53.990,0.032,0,218759168,0,0,0,0,0,0,2457821184,2262323200,3260145664,5215346688,182158,342960,9,28,0,49.300,28.780,12.250,2,5,0,0,0,0,8,0,16,7,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,49.300,28.780,12.250,2457821184,2262323200,3260145664,5215346688,10,30,0,0,67,0,0,0,1073737728,0,1344,120963,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1116,5811,4858,9.900,0,0,0,0,0,0,0,0,0
1769971122.398,4.501,0.944,12.811,81.744,0,0,23789568,0,0,0,0,0,0,2453282816,2266087424,3260907520,5219663872,38565,72134,0,33,1,49.300,28.780,12.250,2,39,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,35,49.300,28.780,12.250,2453282816,2266087424,3260907520,5219663872,0,33,1,0,8,0,0,0,1073737728,0,1344,120950,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1064,1192,2405,2.100,0,0,0,0,0,0,0,0,0
1769971123.398,0,0,7.382,92.618,0,0,83591168,0,0,0,0,0,0,2453282816,2266087424,3260907520,5219663872,623,661,0,33,0,45.350,28.300,12.180,2,2,0,0,0,0,20,0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,45.350,28.300,12.180,2453282816,2266087424,3260907520,5219663872,0,33,0,0,43,0,0,0,1073737728,0,1344,120948,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,33,71,37,4.600,0,0,0,0,0,0,0,0,0
1769971124.399,0,0.031,4.254,95.715,0,0,0,0,0,0,0,0,0,2455347200,2264023040,3260907520,5217738752,559,569,0,33,1,45.350,28.300,12.180,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,45.350,28.300,12.180,2455347200,2264023040,3260907520,5217738752,0,33,1,0,0,0,0,0,1073737728,0,1344,120948,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,758,533,507,0,0,0,0,0,0,0,0,0,0
1769971125.399,0,0,3.101,96.031,0.868,0,0,0,0,0,0,0,0,2455347200,2264023040,3260907520,5217763328,562,573,0,33,0,45.350,28.300,12.180,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,45.350,28.300,12.180,2455347200,2264023040,3260907520,5217763328,0,33,0,0,0,0,0,0,1073737728,0,1344,120948,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,32,79,30,0,0,0,0,0,0,0,0,0,0
