"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","17159093676d",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260211172231/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","11 Feb 2026 17:27:22 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","65","66","67","68","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","87","88","89","90","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770830842.184,2.130,0.419,88.278,9.074,0.099,37996968.638,49636872.289,7250555.361,0,0,0,0,0,1466105856,3190898688,3396620288,6134738944,6816.426,9464.939,0,34,12.680,5.580,3.010,1.230,2.554,152.513,6.025,9.429,8.460,15.495,7.333,7.675,4.752,6.323,4.792,11.312,8.420,11.790,7.143,2.726,2.117,2.537,0.423,0.853,2.601,2.059,6.567,5.717,12.277,2.093,27.328,4.630,5.544,0.606,10.069,4.105,3.858,23.735,0.098,0.180,0.190,0.105,0.058,2.388,0.176,0.088,0.650,1.365,0.098,0.047,0.152,0.054,0.061,0.108,0.203,0.278,1.490,0.051,0.037,0.572,0.075,0.054,0.440,0.068,1.412,0.095,0.278,351.030,194.893,5.580,3.010,1.230,1466105856,3190898688,3396620288,6134738944,0,34,12.680,123.671,86.422,12.179,0,0,1073737728,0,1280,71014,0,0,0,0,0,0,0,59,1,1,0,0,1,0,0,532,0,0,1,0,0,56,0,56,13.375,4941.479,15562.254,18362.277,3.230,0.060,0,0,0,0,0,0,0,0
1770830843.184,3.523,0.224,36.227,59.930,0.096,0,7929856,0,0,672,0,0,0,1486036992,3170512896,3396976640,6114574336,17940,31402,1,33,76,5.450,3.030,1.250,12,19,0,0,2,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,9,0,0,41,12,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,184,5.450,3.030,1.250,1486036992,3170512896,3396976640,6114574336,1,33,76,0,121,0,0,0,1073737728,0,1344,71259,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,7634,9247,7317,3.500,0,0,0,0,0,0,0,0,0
1770830844.184,0.287,0.032,32.195,67.454,0.032,0,2359296,0,0,336,0,0,0,1507573760,3148795904,3397156864,6092931072,12538,22667,0,33,0,5.450,3.030,1.250,2,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,5.450,3.030,1.250,1507573760,3148795904,3397156864,6092931072,0,33,0,0,10,0,0,0,1073737728,0,1344,71259,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,747,5352,69,2.800,0,0,0,0,0,0,0,0,0
1770830845.184,0.351,0,28.777,70.840,0.032,0,2490368,0,0,336,0,0,0,1532514304,3123662848,3397349376,6067945472,12549,23366,0,33,0,5.450,3.030,1.250,2,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,5.450,3.030,1.250,1532514304,3123662848,3397349376,6067945472,0,33,0,0,10,0,0,0,1073737728,0,1344,71258,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,735,5776,61,3,0,0,0,0,0,0,0,0,0
1770830846.184,0.256,0.096,31.150,68.498,0,0,2424832,0,0,0,0,0,0,1562513408,3093532672,3397480448,6037872640,12228,22631,0,33,0,5.450,3.030,1.250,2,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,5.450,3.030,1.250,1562513408,3093532672,3397480448,6037872640,0,33,0,0,10,0,0,0,1073737728,0,1344,71258,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,815,23283,20075,3,0,0,0,0,0,0,0,0,0
1770830847.184,0.256,0.032,32.662,67.018,0.032,0,2359296,0,0,0,0,0,0,1558794240,3097075712,3397656576,6041481216,11825,21737,0,33,0,5.450,3.030,1.250,2,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,5.450,3.030,1.250,1558794240,3097075712,3397656576,6041481216,0,33,0,0,10,0,0,0,1073737728,0,1344,71258,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,659,134,78,3,0,0,0,0,0,0,0,0,0
1770830848.184,0.031,0,34.339,65.630,0,0,1081344,0,0,0,0,0,0,1551286272,3104530432,3397709824,6049009664,3129,5299,0,33,1,5.020,2.980,1.240,2,39,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,39,5.020,2.980,1.240,1551286272,3104530432,3397709824,6049009664,0,33,1,0,8,0,0,0,1073737728,0,1344,71243,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,250,178,569,2.200,0,0,0,0,0,0,0,0,0
1770830849.185,0.031,0,34.383,65.586,0,0,0,0,0,0,0,0,0,1550589952,3105226752,3397709824,6049705984,516,523,0,33,0,5.020,2.980,1.240,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,5.020,2.980,1.240,1550589952,3105226752,3397709824,6049705984,0,33,0,0,0,0,0,0,1073737728,0,1344,71243,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,4,33,59,0,0,0,0,0,0,0,0,0,0
1770830850.185,0,0.031,34.365,65.604,0,0,0,0,0,0,0,0,0,1550848000,3104968704,3397709824,6049447936,529,560,0,33,0,5.020,2.980,1.240,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,5.020,2.980,1.240,1550848000,3104968704,3397709824,6049447936,0,33,0,0,0,0,0,0,1073737728,0,1344,71243,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,47,126,65,0,0,0,0,0,0,0,0,0,0
1770830851.185,0.031,0,34.386,65.583,0,0,0,0,0,0,0,0,0,1551106048,3104710656,3397709824,6049189888,514,522,0,33,0,5.020,2.980,1.240,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,5.020,2.980,1.240,1551106048,3104710656,3397709824,6049189888,0,33,0,0,0,0,0,0,1073737728,0,1344,71243,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,14,46,36,0,0,0,0,0,0,0,0,0,0
