"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","6368618f4eed",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260213095012/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/query/stats.txt",,,,"Date:","13 Feb 2026 09:56:32 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","65","66","67","68","70","71","72","73","74","75","77","79","83","84","85","86","87","89","90","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770976592.325,17.929,6.907,55.903,18.344,0.917,29303956.113,34944830.105,5574636.173,0,0,0,0,0,2219945984,2509144064,3321413632,5437816832,48442.162,288377.252,2,33,15.461,47.570,18.490,6.980,3.263,110.469,4.065,2.077,10.987,1.421,7.058,7.425,5.785,1.577,6.748,5.738,1.504,2.225,3.602,6.324,2.353,3.898,4.268,14.592,9.561,11.258,3.446,0.869,3.667,14.342,6.850,1.265,5.660,8.713,2.733,2.079,7.391,3.888,0.828,0.062,0.232,0.200,0.031,0.039,0.341,0.031,0.055,0.304,0.278,0.073,0.047,0.476,0.250,1.075,1.788,0.167,0.115,0.310,0.115,0.997,0.049,0.052,0.271,193.806,119.323,47.570,18.490,6.980,2219945984,2509144064,3321413632,5437816832,2,33,15.461,93.210,69.682,9.309,0,0,1073737728,0,1600,70137,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,8.291,4667.499,16845.303,18516.629,2.716,0.182,0,0,0,0,0,0,0,0
1770976593.326,20.586,5.764,19.335,54.150,0.165,0,6324224,0,0,672,0,0,0,2261303296,2467491840,3321511936,5396381696,188217,354069,9,30,68,47.570,18.490,6.980,25,20,0,0,3,0,9,0,5,13,0,21,0,7,11,0,0,0,0,5,0,0,4,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,171,47.570,18.490,6.980,2261303296,2467491840,3321511936,5396381696,13,26,68,0,108,0,0,0,1073737728,0,1600,70388,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,10971,15592,11201,1.700,0,0,0,0,0,0,0,0,0
1770976594.326,22.092,6.013,13.791,58.072,0.033,0,0,0,0,336,0,0,0,2261299200,2467495936,3321511936,5396385792,215453,407731,8,33,0,44.640,18.370,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,44.640,18.370,7,2261299200,2467495936,3321511936,5396385792,9,27,0,0,0,0,0,0,1073737728,0,1600,70388,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,80,1418,1843,0,0,0,0,0,0,0,0,0,0
1770976595.326,22.306,5.781,10.124,61.757,0.033,0,0,0,0,336,0,0,0,2253271040,2475524096,3321511936,5404413952,215313,407384,8,29,0,44.640,18.370,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,44.640,18.370,7,2253271040,2475524096,3321511936,5404413952,8,30,0,0,0,0,0,0,1073737728,0,1600,70387,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,4,1120,1136,0,0,0,0,0,0,0,0,0,0
1770976596.326,22.371,6.074,15.970,55.552,0.033,0,0,0,0,0,0,0,0,2253500416,2475294720,3321511936,5404184576,211652,399969,10,28,0,44.640,18.370,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,44.640,18.370,7,2253500416,2475294720,3321511936,5404184576,10,27,0,0,0,0,0,0,1073737728,0,1600,70387,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,35,1725,2229,0,0,0,0,0,0,0,0,0,0
1770976597.326,22.237,6.065,11.510,60.157,0.033,0,0,0,0,0,0,0,0,2253729792,2475065344,3321511936,5403955200,213802,404332,10,30,0,44.640,18.370,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,44.640,18.370,7,2253729792,2475065344,3321511936,5403955200,10,28,0,0,0,0,0,0,1073737728,0,1600,70387,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,40,1629,2082,0,0,0,0,0,0,0,0,0,0
1770976598.326,4.708,1.264,15.608,78.420,0,0,425984,0,0,0,0,0,0,2254213120,2474577920,3321516032,5403492352,48604,91564,0,33,1,44.640,18.370,7,2,37,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23,44.640,18.370,7,2254213120,2474577920,3321516032,5403492352,0,33,1,0,2,0,0,0,1073737728,0,1600,70372,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,154,514,884,1.100,0,0,0,0,0,0,0,0,0
1770976599.326,0.313,0,6.283,93.373,0.031,0,0,0,0,0,0,0,0,2254213120,2474577920,3321516032,5403492352,546,438,0,33,0,41.150,18.080,6.970,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,41.150,18.080,6.970,2254213120,2474577920,3321516032,5403492352,0,33,0,0,0,0,0,0,1073737728,0,1600,70372,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1038,1064,37,0,0,0,0,0,0,0,0,0,0
1770976600.326,0,0.031,0.781,99.157,0.031,0,0,0,0,0,0,0,0,2254213120,2474577920,3321516032,5403492352,653,815,0,33,0,41.150,18.080,6.970,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,41.150,18.080,6.970,2254213120,2474577920,3321516032,5403492352,0,33,0,0,0,0,0,0,1073737728,0,1600,70372,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,35,62,35,0,0,0,0,0,0,0,0,0,0
1770976601.326,0.063,0,0,99.937,0,0,0,0,0,0,0,0,0,2254213120,2474577920,3321516032,5403492352,548,601,0,33,0,41.150,18.080,6.970,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,41.150,18.080,6.970,2254213120,2474577920,3321516032,5403492352,0,33,0,0,0,0,0,0,1073737728,0,1600,70372,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,34,81,27,0,0,0,0,0,0,0,0,0,0
1770976602.326,0.031,0.031,7.007,92.931,0,0,0,0,0,0,0,0,0,2256277504,2472513536,3321516032,5401427968,1118,2063,1,33,2,41.150,18.080,6.970,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,41.150,18.080,6.970,2256277504,2472513536,3321516032,5401427968,1,33,2,0,0,0,0,0,1073737728,0,1600,70372,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,876,610,580,0.800,0,0,0,0,0,0,0,0,0
1770976603.326,50.047,17.091,9.174,21.426,2.262,0,131072,0,0,0,0,0,0,2211086336,2517508096,3321516032,5446524928,92184,308441,73,2,33,41.150,18.080,6.970,2,15,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,19,41.150,18.080,6.970,2211086336,2517508096,3321516032,5446524928,64,2,33,0,2,0,0,0,1073737728,0,2048,71399,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2714,22065,21158,1.200,0,0,0,0,0,0,0,0,0
1770976604.326,64.268,21.904,8.202,1.980,3.646,0,0,0,0,0,0,0,0,2235060224,2493534208,3321516032,5422551040,126634,422068,74,1,0,42.900,18.830,7.270,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,42.900,18.830,7.270,2235060224,2493534208,3321516032,5422551040,72,2,0,0,0,0,0,0,1073737728,0,2048,71399,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,253,67962,60597,0,0,0,0,0,0,0,0,0,0
1770976605.326,64.710,22.166,7.724,2.449,2.951,0,0,0,0,0,0,0,0,2231033856,2497560576,3321516032,5426577408,129515,425314,73,1,0,42.900,18.830,7.270,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,42.900,18.830,7.270,2231033856,2497560576,3321516032,5426577408,66,1,0,0,0,0,0,0,1073737728,0,2048,71399,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,65,25468,25401,0,0,0,0,0,0,0,0,0,0
1770976606.326,64.682,22.117,7.687,2.331,3.182,0,0,0,0,0,0,0,0,2248769536,2479824896,3321516032,5408841728,133515,427854,70,1,0,42.900,18.830,7.270,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,42.900,18.830,7.270,2248769536,2479824896,3321516032,5408841728,72,1,0,0,0,0,0,0,1073737728,0,2048,71399,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,464,38058,37700,0,0,0,0,0,0,0,0,0,0
1770976607.326,65.105,22.320,7.105,2.232,3.238,0,0,0,0,0,0,0,0,2244308992,2484285440,3321516032,5413302272,129873,425301,76,2,0,42.900,18.830,7.270,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,42.900,18.830,7.270,2244308992,2484285440,3321516032,5413302272,69,1,0,0,0,0,0,0,1073737728,0,2048,71399,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,32,26603,26599,0,0,0,0,0,0,0,0,0,0
1770976608.326,65.325,22.509,7.230,1.949,2.986,0,1474560,0,0,0,0,0,0,2234564608,2494029824,3321516032,5423046656,134092,427569,82,2,0,42.900,18.830,7.270,2,2,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,42.900,18.830,7.270,2234204160,2494390272,3321516032,5423407104,78,2,0,0,26,0,0,0,1073737728,0,2048,71399,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,36,25986,25907,0.900,0,0,0,0,0,0,0,0,0
1770976609.326,65.009,22.593,7.269,2.360,2.769,0,0,0,0,0,0,0,0,2229071872,2499522560,3321516032,5428551680,130707,426793,77,1,0,44.190,19.490,7.550,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,44.190,19.490,7.550,2229071872,2499522560,3321516032,5428551680,67,2,0,0,0,0,0,0,1073737728,0,2048,71399,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,417,36647,36307,0,0,0,0,0,0,0,0,0,0
1770976610.326,64.734,22.502,7.312,2.805,2.647,0,0,0,0,0,0,0,0,2233880576,2494713856,3321516032,5423742976,136547,427698,70,2,0,44.190,19.490,7.550,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,44.190,19.490,7.550,2233880576,2494713856,3321516032,5423742976,72,2,0,0,0,0,0,0,1073737728,0,2048,71399,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,51,26417,26309,0,0,0,0,0,0,0,0,0,0
1770976611.326,64.308,21.918,8.208,2.516,3.050,0,0,0,0,0,0,0,0,2230910976,2497683456,3321516032,5426712576,137833,427897,72,1,0,44.190,19.490,7.550,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,44.190,19.490,7.550,2230910976,2497683456,3321516032,5426712576,70,4,0,0,0,0,0,0,1073737728,0,2048,71399,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,70,26384,26278,0,0,0,0,0,0,0,0,0,0
1770976612.326,65.733,22.026,6.262,2.801,3.178,0,0,0,0,0,0,0,0,2227777536,2500816896,3321516032,5429846016,135069,434784,64,4,0,44.190,19.490,7.550,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,44.190,19.490,7.550,2227777536,2500816896,3321516032,5429846016,78,1,0,0,0,0,0,0,1073737728,0,2048,71399,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,302,34282,34117,0,0,0,0,0,0,0,0,0,0
1770976613.326,65.776,22.439,7.165,1.948,2.671,0,0,0,0,0,0,0,0,2229018624,2499575808,3321516032,5428604928,137783,434378,70,1,0,44.190,19.490,7.550,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,44.190,19.490,7.550,2229018624,2499575808,3321516032,5428604928,74,2,0,0,0,0,0,0,1073737728,0,2048,71399,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,64,26604,26490,0,0,0,0,0,0,0,0,0,0
