"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","e2f3603706d3",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260203034647/vertx-web-kotlinx-r2dbc-postgresql/fortune/stats.txt",,,,"Date:","03 Feb 2026 03:57:05 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","65","66","67","68","69","70","71","72","74","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770091025.527,30.533,9.905,57.990,0.060,1.511,18664005.017,61900427.047,3409107.077,0,0,0,0,0,3128168448,1538760704,3296722944,4572516352,65124.509,591249.623,1,1,12.095,40.880,32.090,15.280,3.753,54.970,6.221,10.180,1.738,2.848,5.435,7.540,5.523,4.892,4.277,1.613,2.402,5.588,0.778,3.161,3.740,6.707,2.539,3.259,9.413,0.717,1.283,3.039,4.235,27.675,2.187,11.679,6.569,1.877,2.554,2.026,1.645,2.957,0.043,0.072,0.133,0.614,0.024,0.195,0.066,0.145,0.220,0.024,0.032,0.273,0.064,0.039,0.077,0.071,0.055,0.026,0.035,0.050,0.059,1.767,0.051,0.031,0.019,0.158,0.661,0.079,0.029,0.023,183.577,108.202,40.880,32.090,15.280,3128168448,1538760704,3296722944,4572516352,1,1,12.095,103.100,51.763,5.744,0,0,1073737728,0,1792,132876,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,5.781,3467.329,16192.688,16962.493,2.971,0.027,0,0,0,0,0,0,0,0
1770091026.528,17.915,6.460,74.858,0.100,0.666,0,4751360,0,0,672,0,0,0,3133087744,1533685760,3296813056,4567543808,179285,336888,8,0,70,40.880,32.090,15.280,23,19,3,5,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,4,22,0,4,0,0,9,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,162,40.880,32.090,15.280,3133087744,1533685760,3296813056,4567543808,8,0,70,0,85,0,0,0,1073737728,0,1792,133106,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,5829,18882,20403,2.300,0,0,0,0,0,0,0,0,0
1770091027.528,18.777,6.018,74.942,0,0.263,0,0,0,0,336,0,0,0,3094773760,1571999744,3296813056,4605952000,217109,412221,7,0,0,40.880,32.090,15.280,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,111,40.880,32.090,15.280,3094773760,1571999744,3296813056,4605952000,7,0,0,0,0,0,0,0,1073737728,0,1792,133210,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,35,10175,12755,0,0,0,0,0,0,0,0,0,0
1770091028.528,18.643,5.863,75.329,0,0.165,0,0,0,0,336,0,0,0,3095003136,1571770368,3296813056,4605722624,215737,409766,8,0,0,40.880,32.090,15.280,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,75,40.880,32.090,15.280,3095003136,1571770368,3296813056,4605722624,8,0,0,0,0,0,0,0,1073737728,0,1792,133163,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,53,10362,12993,0,0,0,0,0,0,0,0,0,0
1770091029.528,18.890,5.815,75.033,0,0.263,0,2097152,0,0,0,0,0,0,3071025152,1595748352,3296813056,4629700608,217098,412311,9,0,0,38.250,31.690,15.240,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,56,38.250,31.690,15.240,3071025152,1595748352,3296813056,4629700608,7,0,0,0,2,0,0,0,1073737728,0,1728,133105,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,41,11237,13780,0,0,0,0,0,0,0,0,0,0
1770091030.528,18.760,5.969,74.943,0,0.328,0,0,0,0,0,0,0,0,3050811392,1615962112,3296813056,4649918464,218668,415335,8,0,0,38.250,31.690,15.240,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18,38.250,31.690,15.240,3050811392,1615962112,3296813056,4649918464,8,0,0,0,0,0,0,0,1073737728,0,1728,133103,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,23,16610,21755,0,0,0,0,0,0,0,0,0,0
1770091031.528,4.275,1.203,94.269,0.032,0.222,0,491520,0,0,0,0,0,0,3054673920,1612099584,3296813056,4646055936,46434,86658,0,0,1,38.250,31.690,15.240,6,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,37,38.250,31.690,15.240,3054673920,1612099584,3296813056,4646055936,0,0,1,0,2,0,0,0,1073737728,0,1728,133088,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,4387,6679,8566,0.700,0,0,0,0,0,0,0,0,0
1770091032.528,0.031,0,99.969,0,0,0,2097152,0,0,0,0,0,0,3054673920,1612099584,3296813056,4646055936,633,643,0,0,0,38.250,31.690,15.240,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,38.250,31.690,15.240,3054673920,1612099584,3296813056,4646055936,0,0,0,0,1,0,0,0,1073737728,0,1728,133088,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2,27,25,0,0,0,0,0,0,0,0,0,0
1770091033.528,0,0,99.750,0,0.250,0,0,0,0,0,0,0,0,3054673920,1612099584,3296813056,4646055936,572,570,0,0,0,38.250,31.690,15.240,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,38.250,31.690,15.240,3054673920,1612099584,3296813056,4646055936,0,0,0,0,0,0,0,0,1073737728,0,1728,133088,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,11,41,71,0,0,0,0,0,0,0,0,0,0
1770091034.528,0.031,0,99.969,0,0,0,0,0,0,0,0,0,0,3054673920,1612099584,3296813056,4646055936,612,623,0,0,0,35.180,31.160,15.160,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,35.180,31.160,15.160,3054673920,1612099584,3296813056,4646055936,0,0,0,0,0,0,0,0,1073737728,0,1728,133090,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,23,67,36,0,0,0,0,0,0,0,0,0,0
