"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","e2f3603706d3",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260203034647/vertx-web-kotlinx-r2dbc-postgresql/query/stats.txt",,,,"Date:","03 Feb 2026 03:53:13 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","65","66","67","68","69","70","71","72","74","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770090793.154,17.608,6.824,74.572,0.079,0.917,29795810.756,35497110.492,5442406.880,0,0,0,0,0,2245607424,2438737920,3280179200,5460131840,50845.948,392405.717,1,1,17.656,48.240,18.650,7.060,4.179,82.924,9.377,15.949,2.190,4.035,8.276,11.298,7.950,7.298,6.315,1.833,3.448,7.316,0.881,4.197,5.268,9.855,3.576,4.305,14.553,0.534,1.743,4.120,6.228,43.792,3.152,18.090,9.714,2.608,3.345,2.685,2.182,4.251,0.069,0.116,0.213,0.981,0.039,0.311,0.105,0.231,0.352,0.039,0.051,0.436,0.103,0.062,0.123,0.113,0.087,0.041,0.056,0.080,0.095,2.821,0.082,0.049,0.031,0.252,1.055,0.126,0.046,0.036,269.388,152.792,48.240,18.650,7.060,2245607424,2438737920,3280179200,5460131840,1,1,17.656,164.592,61.810,9.170,0,0,1073737728,0,1536,132709,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,9.229,4698.144,18006.433,19599.610,2.700,0.043,0,0,0,0,0,0,0,0
1770090794.155,18.027,6.020,75.418,0.100,0.435,0,5799936,0,0,672,0,0,0,2273849344,2410291200,3280285696,5431971840,193771,365609,7,0,68,45.180,18.500,7.080,17,20,4,1,0,3,0,0,0,0,0,0,2,0,28,0,0,0,0,0,1,2,0,0,0,0,0,0,12,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,182,45.180,18.500,7.080,2273849344,2410291200,3280285696,5431971840,8,0,68,0,106,0,0,0,1073737728,0,1536,132950,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,4407,9552,12310,2.200,0,0,0,0,0,0,0,0,0
1770090795.155,19.099,5.654,75.181,0,0.066,0,0,0,0,336,0,0,0,2274107392,2410033152,3280285696,5431713792,239840,457941,8,0,0,45.180,18.500,7.080,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,45.180,18.500,7.080,2274107392,2410033152,3280285696,5431713792,8,0,0,0,0,0,0,0,1073737728,0,1536,132952,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,54,3410,3381,0,0,0,0,0,0,0,0,0,0
1770090796.174,19.217,5.495,75.255,0,0.033,0,0,0,0,336,0,0,0,2267996160,2416144384,3280285696,5437825024,238755,455763,8,0,1,45.180,18.500,7.080,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,45.180,18.500,7.080,2267996160,2416144384,3280285696,5437825024,9,0,1,0,0,0,0,0,1073737728,0,1536,132949,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,733,3996,5001,0,0,0,0,0,0,0,0,0,0
1770090797.155,19.062,5.561,75.343,0,0.034,0,0,0,0,0,0,0,0,2263998464,2420142080,3280285696,5441822720,231053,440660,9,0,0,45.180,18.500,7.080,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,45.180,18.500,7.080,2263998464,2420142080,3280285696,5441822720,7,0,0,0,0,0,0,0,1073737728,0,1536,132949,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3,3399,4450,0,0,0,0,0,0,0,0,0,0
1770090798.155,18.149,5.694,75.991,0,0.167,0,0,0,0,0,0,0,0,2253553664,2430586880,3280285696,5452267520,228057,434849,8,0,0,45.180,18.500,7.080,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,200,45.180,18.500,7.080,2253553664,2430586880,3280285696,5452267520,8,0,0,0,0,0,0,0,1073737728,0,1536,133009,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,231,3396,4775,0,0,0,0,0,0,0,0,0,0
1770090799.155,4.016,1.233,94.687,0.032,0.032,0,458752,0,0,0,0,0,0,2256207872,2427932672,3280285696,5449621504,52441,99557,0,0,1,41.640,18.210,7.050,2,38,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,33,41.640,18.210,7.050,2256207872,2427932672,3280285696,5449621504,0,0,1,0,2,0,0,0,1073737728,0,1536,132994,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1010,1252,2150,1,0,0,0,0,0,0,0,0,0
1770090800.155,0.031,0.063,99.906,0,0,0,0,0,0,0,0,0,0,2256207872,2427932672,3280285696,5449621504,1290,1663,0,0,0,41.640,18.210,7.050,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,63,41.640,18.210,7.050,2256207872,2427932672,3280285696,5449621504,0,0,0,0,0,0,0,0,1073737728,0,1536,132936,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,37,126,88,0,0,0,0,0,0,0,0,0,0
1770090801.155,0.031,0,99.969,0,0,0,0,0,0,0,0,0,0,2256207872,2427932672,3280285696,5449621504,588,545,0,0,0,41.640,18.210,7.050,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,41.640,18.210,7.050,2256207872,2427932672,3280285696,5449621504,0,0,0,0,0,0,0,0,1073737728,0,1536,132934,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1,89,79,0,0,0,0,0,0,0,0,0,0
1770090802.155,0.031,0.031,99.937,0,0,0,0,0,0,0,0,0,0,2256207872,2427932672,3280285696,5449621504,607,580,0,0,0,41.640,18.210,7.050,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,41.640,18.210,7.050,2256207872,2427932672,3280285696,5449621504,0,0,0,0,0,0,0,0,1073737728,0,1536,132934,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1,41,36,0,0,0,0,0,0,0,0,0,0
