"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","e2f3603706d3",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260203034647/vertx-web-kotlinx-r2dbc-postgresql/update/stats.txt",,,,"Date:","03 Feb 2026 03:55:09 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","65","66","67","68","69","70","71","72","74","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770090909.303,25.606,9.050,63.989,0.062,1.293,22953622.086,27391642.581,4192634.722,0,0,0,0,0,2440343552,2243444736,3280277504,5265633280,58567.969,544220.859,2,0,14.237,46.270,28.100,11.950,3.868,65.746,7.248,12.293,1.713,3.138,6.386,8.703,6.125,5.626,4.865,1.412,2.660,6.494,0.787,3.233,4.072,7.637,2.757,3.320,11.241,0.417,1.374,3.174,4.798,33.741,2.428,13.936,7.606,2.055,2.601,2.069,1.681,3.279,0.053,0.089,0.164,0.755,0.030,0.239,0.081,0.178,0.271,0.030,0.040,0.336,0.079,0.047,0.095,0.087,0.067,0.032,0.044,0.061,0.073,2.173,0.063,0.038,0.024,0.194,0.813,0.097,0.036,0.028,216.885,125.683,46.270,28.100,11.950,2440343552,2243444736,3280277504,5265633280,1,1,14.237,126.796,48.500,7.064,0,0,1073737728,0,1472,132740,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,7.109,3826.723,16511.848,17645.407,2.142,0.033,0,0,0,0,0,0,0,0
1770090910.304,19.854,5.055,74.593,0.200,0.299,0,56360960,0,0,672,0,0,0,2458079232,2224324608,3281596416,5247037440,168521,315749,9,1,67,46.270,28.100,11.950,21,20,0,0,0,0,2,8,25,0,0,0,0,0,0,0,4,8,0,0,1,6,1,3,0,0,0,0,24,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,184,46.270,28.100,11.950,2458079232,2224324608,3281596416,5247037440,8,1,67,0,99,0,0,0,1073737728,0,1472,132969,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,21272,14654,10567,4.800,0,0,0,0,0,0,0,0,0
1770090911.304,21.015,4.255,74.534,0.131,0.065,0,45547520,0,0,336,0,0,0,2467315712,2214400000,3282284544,5237542912,202963,383211,10,0,0,46.270,28.100,11.950,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,46.270,28.100,11.950,2467315712,2214400000,3282284544,5237542912,8,0,0,0,13,0,0,0,1073737728,0,1472,132969,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,8294,8201,6570,3.700,0,0,0,0,0,0,0,0,0
1770090912.304,19.765,4.664,75.440,0.098,0.033,0,41943040,0,0,336,0,0,0,2463035392,2233380864,3267989504,5241479168,202050,383491,8,0,0,46.270,28.100,11.950,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,46.270,28.100,11.950,2463035392,2233380864,3267989504,5241479168,9,0,0,0,12,0,0,0,1073737728,0,1472,132968,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,166,3457,7561,3.700,0,0,0,0,0,0,0,0,0
1770090913.304,20.059,4.371,75.408,0.130,0.033,0,41615360,0,0,0,0,0,0,2456514560,2234535936,3273355264,5247885312,203105,385422,8,0,0,46.270,28.100,11.950,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,46.270,28.100,11.950,2456514560,2234535936,3273355264,5247885312,9,0,0,0,11,0,0,0,1073737728,0,1472,132968,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,88,4302,4534,3.500,0,0,0,0,0,0,0,0,0
1770090914.304,19.785,4.505,75.547,0.131,0.033,0,40173568,0,0,0,0,0,0,2459869184,2226061312,3278458880,5244481536,202678,384825,7,0,0,43.280,27.780,11.930,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,43.280,27.780,11.930,2459869184,2226061312,3278458880,5244481536,9,0,0,0,12,0,0,0,1073737728,0,1472,132970,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,92,4345,3104,3.800,0,0,0,0,0,0,0,0,0
1770090915.304,4.356,1.010,94.539,0.095,0,0,10846208,0,0,0,0,0,0,2445803520,2238816256,3279769600,5258653696,46554,87680,0,0,1,43.280,27.780,11.930,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,34,43.280,27.780,11.930,2445803520,2238816256,3279769600,5258653696,0,0,1,0,8,0,0,0,1073737728,0,1472,132953,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,262,1209,2798,2.600,0,0,0,0,0,0,0,0,0
1770090916.305,0.031,0,99.969,0,0,0,0,0,0,0,0,0,0,2445803520,2238816256,3279769600,5258653696,694,724,0,0,1,43.280,27.780,11.930,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,43.280,27.780,11.930,2445803520,2238816256,3279769600,5258653696,0,0,1,0,0,0,0,0,1073737728,0,1472,132953,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,779,561,518,0,0,0,0,0,0,0,0,0,0
1770090917.304,0,0.031,99.969,0,0,0,0,0,0,0,0,0,0,2446061568,2238558208,3279769600,5258493952,615,615,0,0,0,43.280,27.780,11.930,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,43.280,27.780,11.930,2446061568,2238558208,3279769600,5258493952,0,0,0,0,0,0,0,0,1073737728,0,1472,132953,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,61,91,142,0,0,0,0,0,0,0,0,0,0
1770090918.304,0.190,0.158,99.621,0,0.032,0,0,0,0,0,0,0,0,2451193856,2233425920,3279769600,5253361664,2936,4165,0,0,0,43.280,27.780,11.930,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,212,43.280,27.780,11.930,2451193856,2233425920,3279769600,5253361664,0,0,0,0,0,0,0,0,1073737728,0,1536,133013,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,793,1095,299,0,0,0,0,0,0,0,0,0,0
