"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","c65ac8cad46d",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260213130115/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","13 Feb 2026 13:09:31 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","65","67","68","69","70","71","72","73","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770988171.912,26.104,8.859,47.080,16.946,1.011,22609191.110,29445309.372,4273123.441,0,0,0,0,0,2334040064,2315845632,3402014720,5272264704,59591.639,294670.474,0,34,12.359,48.830,28.820,12.160,3.214,95.140,4.395,3.379,7.623,2.783,4.963,3.818,3.902,3.046,2.163,5.738,7.228,3.246,2.356,0.549,1.614,1.323,10.103,11.908,1.959,6.514,2.268,3.695,2.753,4.614,8.920,4.756,7.341,1.901,3.066,3.310,0.533,5.494,0.108,1.456,0.072,0.022,0.062,0.355,0.036,0.902,0.032,1.468,0.078,0.022,0.080,0.245,0.221,0.058,0.309,0.030,0.054,0.198,0.034,0.038,0.082,0.044,0.060,0.186,0.126,0.080,0.024,211.300,118.529,48.830,28.820,12.160,2334040064,2315845632,3402014720,5272264704,2,33,12.359,74.945,51.939,7.172,0,0,1073737728,0,1536,71511,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,7.906,3730.521,20171.127,21339.862,2.202,0.052,0,0,0,0,0,0,0,0
1770988172.912,19.844,4.929,19.131,55.966,0.130,0,72941568,0,0,672,0,0,0,2363076608,2286067712,3402723328,5242769408,167406,314892,9,30,69,48.830,28.820,12.160,38,20,0,8,3,10,5,3,0,0,0,0,0,4,0,0,3,4,0,0,12,0,0,0,15,30,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,164,48.830,28.820,12.160,2363076608,2286067712,3402723328,5242769408,8,30,69,0,125,0,0,0,1073737728,0,1472,71746,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,21659,10969,7961,8.400,0,0,0,0,0,0,0,0,0
1770988173.912,21.296,5.210,17.454,56.040,0,0,58720256,0,0,336,0,0,0,2369683456,2296201216,3386413056,5236174848,200187,378695,9,27,0,48.830,28.820,12.160,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,48.830,28.820,12.160,2369683456,2296201216,3386413056,5236174848,9,27,0,0,14,0,0,0,1073737728,0,1472,71746,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,585,1040,5072,5,0,0,0,0,0,0,0,0,0
1770988174.912,21.380,5.272,15.620,57.696,0.033,0,58720256,0,0,336,0,0,0,2362683392,2295713792,3393900544,5243027456,201388,381185,10,29,0,48.830,28.820,12.160,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,48.830,28.820,12.160,2362683392,2295713792,3393900544,5243027456,9,28,0,0,21,0,0,0,1073737728,0,1472,71745,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,137,2374,524,5.300,0,0,0,0,0,0,0,0,0
1770988175.913,22.128,5.026,21.573,51.273,0,0,50331648,0,0,0,0,0,0,2375315456,2276642816,3400339456,5230338048,203214,383383,12,31,0,48.830,28.820,12.160,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,48.830,28.820,12.160,2374619136,2277339136,3400339456,5231034368,13,31,0,0,12,0,0,0,1073737728,0,1472,71749,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3812,6218,3344,4.200,0,0,0,0,0,0,0,0,0
1770988176.912,21.543,5.034,28.114,45.276,0.033,0,185335808,0,0,0,0,0,0,2368417792,2280349696,3403550720,5237153792,198784,373861,8,31,0,45.880,28.540,12.160,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,45.880,28.540,12.160,2368417792,2280349696,3403550720,5237153792,7,31,0,0,39,0,0,0,1073737728,0,1472,71746,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2135,8472,11573,6.700,0,0,0,0,0,0,0,0,0
1770988177.913,4.639,1.136,29.725,64.500,0,0,13303808,0,0,0,0,0,0,2367438848,2281291776,3403587584,5238120448,45072,84744,0,33,1,45.880,28.540,12.160,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,32,45.880,28.540,12.160,2367438848,2281291776,3403587584,5238120448,0,33,1,0,7,0,0,0,1073737728,0,1472,71731,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,129,383,841,2.100,0,0,0,0,0,0,0,0,0
1770988178.913,0.031,0,24.290,73.358,2.322,0,0,0,0,0,0,0,0,2367438848,2281291776,3403587584,5238120448,473,484,0,33,0,45.880,28.540,12.160,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,45.880,28.540,12.160,2367438848,2281291776,3403587584,5238120448,0,33,0,0,0,0,0,0,1073737728,0,1472,71731,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,11,55,34,0,0,0,0,0,0,0,0,0,0
1770988179.913,0.031,0,21.766,77.674,0.529,0,0,0,0,0,0,0,0,2371633152,2277097472,3403587584,5233926144,581,537,0,33,0,45.880,28.540,12.160,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,45.880,28.540,12.160,2371633152,2277097472,3403587584,5233926144,0,33,0,0,0,0,0,0,1073737728,0,1472,71731,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,47,572,39,0,0,0,0,0,0,0,0,0,0
1770988180.913,0,0,21.820,77.837,0.343,0,0,0,0,0,0,0,0,2371633152,2277097472,3403587584,5233926144,573,564,0,33,0,45.880,28.540,12.160,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,45.880,28.540,12.160,2371633152,2277097472,3403587584,5233926144,0,33,0,0,0,0,0,0,1073737728,0,1472,71731,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2,49,67,0,0,0,0,0,0,0,0,0,0
