"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","f741e271448e",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260211164101/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","11 Feb 2026 16:45:08 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","65","66","67","68","69","70","71","72","73","74","76","78","79","80","81","82","84","85","86","87","88","89","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770828308.615,1.740,0.400,92.523,5.209,0.128,48735394.013,37186684.823,5947445.682,0,0,0,0,0,2071617536,2253017088,3010215936,6040031232,6923.502,11858.924,0,33,10.912,2.240,2.060,0.940,2.793,124.935,20.375,12.867,13.981,10.515,11.970,7.455,19.120,13.753,7.722,20.059,4.979,17.579,18.804,16.444,7.244,17.624,8.102,10.329,15.697,13.736,19.506,18.812,24.382,20.856,21.758,20.892,9.693,18.826,36.827,24.751,4.062,25.318,0.044,0.108,0.328,0.128,0.258,0.425,0.139,0.955,1.130,0.097,0.122,0.036,0.292,0.125,0.044,0.039,0.064,0.983,0.125,0.283,0.108,0.111,0.036,0.155,0.089,0.522,0.183,1.983,198.645,120.853,2.240,2.060,0.940,2071617536,2253017088,3010215936,6040031232,0,33,10.912,415.947,76.692,10.054,0,0,1073737728,0,1472,482785,0,0,0,0,0,0,0,59,1,1,0,0,1,0,0,532,0,0,1,0,0,56,0,56,12.051,4205.970,12863.711,14508.758,4.944,0.177,0,0,0,0,0,0,0,0
1770828309.615,26.300,5.397,11.482,56.232,0.589,5308416,29294592,0,0,672,0,0,0,2185691136,2135973888,3013120000,5924401152,175567,340723,7,29,78,3.590,2.340,1.040,13,20,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,16,0,17,4,13,0,9,0,0,5,0,2,4,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,133,3.590,2.340,1.040,2185691136,2135973888,3013120000,5924401152,9,28,78,10,91,0,0,0,1073737728,0,1472,483019,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,6,19143,84009,62042,4.500,0,0,0,0,0,0,0,0,0
1770828310.616,19.387,6.034,22.948,51.566,0.066,0,39845888,0,0,336,0,0,0,2281349120,2037448704,3015987200,5827227648,221820,432736,6,29,0,3.590,2.340,1.040,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,3.590,2.340,1.040,2281349120,2037448704,3015987200,5827227648,9,31,0,0,10,0,0,0,1073737728,0,1472,483019,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,10536,62310,31461,3.800,0,0,0,0,0,0,0,0,0
1770828311.616,19.618,5.869,28.025,46.423,0.066,0,41746432,0,0,336,0,0,0,2362306560,1952755712,3019722752,5744476160,223466,434704,8,29,2,3.590,2.340,1.040,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,3.590,2.340,1.040,2362306560,1952755712,3019722752,5744476160,8,29,2,0,10,0,0,0,1073737728,0,1472,483018,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,1496,44345,22232,3.500,0,0,0,0,0,0,0,0,0
1770828312.616,19.454,6.014,21.295,53.171,0.066,0,185565184,0,0,0,0,0,0,2531909632,1780453376,3022696448,5573263360,224300,434915,1,34,0,3.590,2.340,1.040,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,9,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,3.590,2.340,1.040,2531909632,1780453376,3022696448,5573263360,1,34,0,0,42,0,0,0,1073737728,0,1472,483019,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,1187,72593,31797,7,0,0,0,0,0,0,0,0,0
1770828313.616,19.566,5.886,25.485,49.030,0.033,2686976,41943040,0,0,0,0,0,0,2543869952,1765228544,3025956864,5559709696,225645,438482,8,31,0,3.590,2.340,1.040,2,3,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,3.590,2.340,1.040,2543869952,1765228544,3025956864,5559709696,8,32,0,82,12,0,0,0,1073737728,0,1472,483019,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,82,1187,13044,11678,3.700,0,0,0,0,0,0,0,0,0
1770828314.616,4.304,1.456,23.481,70.759,0,0,11665408,0,0,0,0,0,0,2543960064,1764458496,3026628608,5559599104,53840,104091,0,33,1,3.300,2.310,1.030,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,3.300,2.310,1.030,2543960064,1764458496,3026628608,5559599104,0,33,1,0,6,0,0,0,1073737728,0,1472,483004,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,383,410,646,2,0,0,0,0,0,0,0,0,0
1770828315.616,0,0,4.973,94.995,0.031,0,0,0,0,0,0,0,0,2544218112,1764200448,3026628608,5559341056,520,508,0,33,0,3.300,2.310,1.030,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,3.300,2.310,1.030,2544218112,1764200448,3026628608,5559341056,0,33,0,0,0,0,0,0,1073737728,0,1472,483004,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,76,87,35,0,0,0,0,0,0,0,0,0,0
1770828316.616,0.031,0,3.122,96.722,0.125,0,0,0,0,0,0,0,0,2544218112,1764200448,3026628608,5559341056,412,418,0,33,0,3.300,2.310,1.030,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,3.300,2.310,1.030,2544218112,1764200448,3026628608,5559341056,0,33,0,0,0,0,0,0,1073737728,0,1472,483004,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,35,71,26,0,0,0,0,0,0,0,0,0,0
1770828317.616,0,0,3.129,96.871,0,0,0,0,0,0,0,0,0,2544476160,1763942400,3026628608,5559083008,568,520,0,33,0,3.300,2.310,1.030,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,3.300,2.310,1.030,2544476160,1763942400,3026628608,5559083008,0,33,0,0,0,0,0,0,1073737728,0,1472,483004,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,32,64,36,0,0,0,0,0,0,0,0,0,0
