"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","ee93cfbd0166",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260204111024/vertx-web-kotlinx-exposed-r2dbc-postgresql-separate-pool-size-1/query/stats.txt",,,,"Date:","04 Feb 2026 11:18:24 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","62","63","64","65","66","67","68","69","70","71","72","73","74","75","78","79","80","81","83","84","85","86","87","88","90","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770203904.991,15.455,4.072,79.923,0.087,0.462,15373058.148,35196543.973,4065609.847,0,0,0,0,0,2451132416,2139095040,3335475200,5236133888,28880.650,263023.391,0,0,11.695,41.180,16.290,6.270,2.659,46.585,10.518,8.472,4.895,3.827,2.856,8.268,2.683,5.030,7.450,3.318,2.456,2.087,15.167,31.598,4.047,0.610,2.983,0.454,1.458,4.414,4.384,0.913,5.855,4.166,5.469,2.481,0.848,3.108,0.852,13.697,1.462,6.600,0.648,0.027,0.153,0.134,0.028,0.023,0.087,0.027,0.208,0.055,0.023,0.034,0.023,0.148,0.248,0.441,0.072,0.112,0.097,0.854,0.324,0.027,0.112,0.028,1.297,0.740,0.053,196.281,113.892,41.180,16.290,6.270,2451132416,2139095040,3335475200,5236133888,0,1,11.695,114.314,54.932,6.825,0,0,1073737728,0,1664,147439,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,6.853,3774.020,12273.528,13335.541,2.533,0.250,0,0,0,0,0,0,0,0
1770203905.991,18.404,4.235,77.199,0.098,0.065,0,6029312,0,0,672,0,0,0,2476232704,2113814528,3335573504,5211033600,181012,341112,9,0,66,41.180,16.290,6.270,12,20,0,3,0,0,0,0,0,0,8,1,20,3,12,0,0,5,0,0,22,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,142,41.180,16.290,6.270,2476232704,2113814528,3335573504,5211033600,8,0,66,0,102,0,0,0,1073737728,0,1600,147681,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,5946,12168,10388,1.900,0,0,0,0,0,0,0,0,0
1770203906.991,20.418,4.476,75.074,0,0.033,0,0,0,0,336,0,0,0,2457321472,2132725760,3335573504,5229944832,212175,402951,10,0,0,41.180,16.290,6.270,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,41.180,16.290,6.270,2457321472,2132725760,3335573504,5229944832,9,0,0,0,0,0,0,0,1073737728,0,1600,147681,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,169,2059,5232,0,0,0,0,0,0,0,0,0,0
1770203907.991,20.216,4.580,75.204,0,0,0,0,0,0,336,0,0,0,2451009536,2139037696,3335573504,5236256768,212269,403124,8,0,0,38.850,16.220,6.300,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,38.850,16.220,6.300,2451009536,2139037696,3335573504,5236256768,9,0,0,0,0,0,0,0,1073737728,0,1600,147679,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,120,2076,3523,0,0,0,0,0,0,0,0,0,0
1770203908.991,20.425,4.477,75.065,0,0.033,0,0,0,0,0,0,0,0,2444611584,2145435648,3335573504,5242654720,215006,408542,8,0,0,38.850,16.220,6.300,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,38.850,16.220,6.300,2444611584,2145435648,3335573504,5242654720,7,0,0,0,0,0,0,0,1073737728,0,1600,147679,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,48,2155,3643,0,0,0,0,0,0,0,0,0,0
1770203909.991,20.483,4.534,74.951,0,0.033,0,0,0,0,0,0,0,0,2444611584,2145435648,3335573504,5242654720,212149,402882,8,0,0,38.850,16.220,6.300,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,38.850,16.220,6.300,2444611584,2145435648,3335573504,5242654720,8,0,0,0,0,0,0,0,1073737728,0,1600,147679,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,49,1967,2950,0,0,0,0,0,0,0,0,0,0
1770203910.991,4.452,1.010,94.506,0.032,0,0,425984,0,0,0,0,0,0,2444611584,2145435648,3335573504,5242695680,48856,92411,0,0,1,38.850,16.220,6.300,2,35,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,25,38.850,16.220,6.300,2444611584,2145435648,3335573504,5242695680,0,0,1,0,2,0,0,0,1073737728,0,1600,147664,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,351,653,1522,1,0,0,0,0,0,0,0,0,0
1770203911.991,0.031,0,99.969,0,0,0,0,0,0,0,0,0,0,2444869632,2145177600,3335573504,5242437632,511,478,0,0,0,38.850,16.220,6.300,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,38.850,16.220,6.300,2444869632,2145177600,3335573504,5242437632,0,0,0,0,0,0,0,0,1073737728,0,1600,147664,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,33,60,33,0,0,0,0,0,0,0,0,0,0
1770203912.991,0,0.031,99.937,0,0.031,0,0,0,0,0,0,0,0,2447446016,2142601216,3335573504,5239861248,591,579,0,0,1,35.730,15.950,6.270,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,35.730,15.950,6.270,2447446016,2142601216,3335573504,5239861248,0,0,1,0,0,0,0,0,1073737728,0,1600,147664,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,767,551,498,0,0,0,0,0,0,0,0,0,0
1770203913.991,0,0,100,0,0,0,0,0,0,0,0,0,0,2447446016,2142601216,3335573504,5239861248,631,604,0,0,0,35.730,15.950,6.270,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,35.730,15.950,6.270,2447446016,2142601216,3335573504,5239861248,0,0,0,0,0,0,0,0,1073737728,0,1600,147664,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,36,66,66,0,0,0,0,0,0,0,0,0,0
1770203914.991,0.063,0.031,99.875,0.031,0,0,0,0,0,0,0,0,0,2447704064,2142343168,3335573504,5239603200,998,1764,0,0,1,35.730,15.950,6.270,6,2,0,0,0,0,0,0,0,0,0,0,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,35.730,15.950,6.270,2447704064,2142343168,3335573504,5239603200,0,0,1,0,0,0,0,0,1073737728,0,1600,147664,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,136,141,93,0.600,0,0,0,0,0,0,0,0,0
1770203915.991,58.842,14.523,25.790,0,0.845,0,131072,0,0,0,0,0,0,2490691584,2099159040,3335573504,5196623872,56884,764562,1,0,36,35.730,15.950,6.270,2,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,35.730,15.950,6.270,2490691584,2099159040,3335573504,5196623872,53,0,36,0,2,0,0,0,1073737728,0,2176,148691,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3960,94989,84219,1.100,0,0,0,0,0,0,0,0,0
1770203916.991,76.415,18.111,4.223,0,1.251,0,0,0,0,0,0,0,0,2445123584,2144727040,3335573504,5242191872,77929,1169418,54,0,0,35.730,15.950,6.270,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,35.730,15.950,6.270,2445123584,2144727040,3335573504,5242191872,57,0,0,0,0,0,0,0,1073737728,0,2176,148691,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,682,16474,15798,0,0,0,0,0,0,0,0,0,0
1770203917.991,76.649,18.568,3.564,0,1.219,0,0,0,0,0,0,0,0,2445025280,2144825344,3335573504,5242638336,76525,1191631,56,0,0,37.200,16.580,6.520,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,37.200,16.580,6.520,2444677120,2145173504,3335573504,5242638336,61,0,0,0,0,0,0,0,1073737728,0,2176,148691,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,586,9514,8422,0,0,0,0,0,0,0,0,0,0
1770203918.992,74.618,18.358,4.558,0,2.466,0,0,0,0,0,0,0,0,2448056320,2141794304,3335573504,5239259136,79030,1157888,52,0,0,37.200,16.580,6.520,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,37.200,16.580,6.520,2448056320,2141794304,3335573504,5239259136,51,0,0,0,0,0,0,0,1073737728,0,2176,148691,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,295,4407,4101,0,0,0,0,0,0,0,0,0,0
1770203919.991,74.555,18.506,4.908,0,2.032,0,0,0,0,0,0,0,0,2440138752,2149711872,3335573504,5247176704,81097,1169977,0,0,0,37.200,16.580,6.520,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,37.200,16.580,6.520,2440187904,2149662720,3335573504,5247127552,17,0,0,0,0,0,0,0,1073737728,0,2176,148691,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,241,4395,4180,0,0,0,0,0,0,0,0,0,0
1770203920.991,75.775,19.750,3.255,0,1.221,0,950272,0,0,0,0,0,0,2442747904,2147102720,3335573504,5244567552,77177,1234231,64,0,0,37.200,16.580,6.520,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,37.200,16.580,6.520,2442747904,2147102720,3335573504,5244567552,55,0,0,0,24,0,0,0,1073737728,0,2176,148691,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,346,4391,4050,0,0,0,0,0,0,0,0,0,0
