"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","ee93cfbd0166",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260204111024/vertx-web-kotlinx-exposed-r2dbc-postgresql-separate-pool-size-8-optimized/fortune/stats.txt",,,,"Date:","04 Feb 2026 11:50:22 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","78","79","80","81","83","84","85","86","87","88","90","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770205822.464,32.634,7.456,58.905,0.043,0.963,3351997.481,32490242.633,878613.681,0,0,0,0,0,3314536448,893235200,3682848768,4363182080,56370.446,415567.167,9,0,7.740,71.230,43.490,29.650,2.385,26.998,3.047,2.154,1.423,1.234,1.212,2.379,1.006,1.508,2.942,1.678,1.663,1.160,3.841,7.329,1.972,0.462,1.693,1.416,1.127,1.581,1.282,0.587,1.780,2.854,1.694,0.997,0.763,1.663,0.870,3.712,1.632,1.799,0.004,0.140,0.006,0.033,0.029,0.006,0.005,0.019,0.006,0.045,0.013,0.005,0.007,0.005,0.032,0.054,0.095,0.016,0.024,0.021,0.184,0.070,0.006,0.024,0.006,0.281,0.160,0.011,98.063,56.679,71.230,43.490,29.650,3314536448,893235200,3682848768,4363182080,8,0,7.740,25.408,34.999,1.476,0,0,1073737728,0,4992,159994,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,1.504,3300.062,9178.588,9284.491,2.084,0.055,0,0,0,0,0,0,0,0
1770205823.465,20.358,4.228,75.220,0.098,0.098,0,6881280,0,0,672,0,0,0,3326312448,881328128,3682947072,4351430656,164848,309985,7,0,67,66.240,42.920,29.540,14,20,5,1,0,5,0,1,0,0,0,5,3,2,0,1,0,0,22,0,0,28,0,0,0,0,0,0,2,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,147,66.240,42.920,29.540,3326312448,881328128,3682947072,4351430656,9,0,67,0,108,0,0,0,1073737728,0,4992,160246,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,4500,10418,10496,1.800,0,0,0,0,0,0,0,0,0
1770205824.465,24.054,4.341,71.540,0,0.065,0,0,0,0,336,0,0,0,3284504576,923136000,3682947072,4393242624,193661,364679,10,0,0,66.240,42.920,29.540,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,66.240,42.920,29.540,3284504576,923136000,3682947072,4393242624,10,0,0,0,0,0,0,0,1073737728,0,4928,160246,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,5337,10361,20526,0,0,0,0,0,0,0,0,0,0
1770205825.465,22.077,4.507,73.383,0,0.033,0,0,0,0,336,0,0,0,3262234624,945405952,3682947072,4415512576,197001,374082,8,0,0,66.240,42.920,29.540,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,66.240,42.920,29.540,3262234624,945405952,3682947072,4415512576,7,0,0,0,0,0,0,0,1073737728,0,4928,160244,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,2330,10717,19362,0,0,0,0,0,0,0,0,0,0
1770205826.465,20.092,4.418,75.491,0,0,0,2097152,0,0,0,0,0,0,3239145472,968495104,3682947072,4438601728,200585,383117,8,0,0,66.240,42.920,29.540,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,66.240,42.920,29.540,3239145472,968495104,3682947072,4438601728,10,0,0,0,2,0,0,0,1073737728,0,4928,160244,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,53,4136,9215,0,0,0,0,0,0,0,0,0,0
1770205827.465,20.118,4.285,75.564,0,0.033,0,0,0,0,0,0,0,0,3201572864,1006067712,3682947072,4476174336,199574,381762,8,0,0,66.240,42.920,29.540,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,66.240,42.920,29.540,3201572864,1006067712,3682947072,4476174336,8,0,0,0,0,0,0,0,1073737728,0,4928,160244,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,52,4968,14683,0,0,0,0,0,0,0,0,0,0
1770205828.465,3.403,0.693,95.810,0.063,0.032,0,524288,0,0,0,0,0,0,3192598528,1015042048,3682947072,4485148672,35925,67998,0,0,1,60.940,42.200,29.380,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,30,60.940,42.200,29.380,3192598528,1015042048,3682947072,4485148672,0,0,1,0,2,0,0,0,1073737728,0,4928,160229,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,218,1034,5478,2.100,0,0,0,0,0,0,0,0,0
1770205829.465,0,0,100,0,0,0,2097152,0,0,0,0,0,0,3192287232,1015353344,3682947072,4485459968,647,628,0,0,0,60.940,42.200,29.380,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,60.940,42.200,29.380,3192287232,1015353344,3682947072,4485459968,0,0,0,0,1,0,0,0,1073737728,0,4928,160229,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,37,64,43,0,0,0,0,0,0,0,0,0,0
1770205830.465,0,0.031,99.657,0,0.312,0,0,0,0,0,0,0,0,3192287232,1015353344,3682947072,4485459968,1210,1085,0,0,0,60.940,42.200,29.380,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,60.940,42.200,29.380,3192287232,1015353344,3682947072,4485459968,0,0,0,0,0,0,0,0,1073737728,0,4928,160229,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,37,79,57,0,0,0,0,0,0,0,0,0,0
1770205831.465,0.031,0,99.937,0,0.031,0,0,0,0,0,0,0,0,3192287232,1015353344,3682947072,4485459968,588,556,0,0,0,60.940,42.200,29.380,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,60.940,42.200,29.380,3192287232,1015353344,3682947072,4485459968,0,0,0,0,0,0,0,0,1073737728,0,4928,160229,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,33,63,36,0,0,0,0,0,0,0,0,0,0
