"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","ee93cfbd0166",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260204111024/vertx-web-kotlinx-exposed-r2dbc-postgresql-separate-pool-size-8-optimized/update/stats.txt",,,,"Date:","04 Feb 2026 11:48:26 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","78","79","80","81","83","84","85","86","87","88","90","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770205706.224,31.276,7.153,60.582,0.043,0.945,3519269.977,28948210.740,922458.554,0,0,0,0,0,3117105152,1124290560,3649249280,4573323264,52819.147,413371.140,0,1,7.986,38.550,28.810,23.760,2.385,27.942,3.183,2.242,1.414,1.260,1.260,2.474,1.037,1.573,3.055,1.736,1.706,1.203,3.994,7.655,2.031,0.458,1.757,1.451,1.101,1.591,1.318,0.581,1.831,2.960,1.759,1.012,0.752,1.700,0.865,3.850,1.494,1.849,0.005,0.147,0.006,0.035,0.030,0.006,0.005,0.020,0.006,0.047,0.013,0.005,0.008,0.006,0.033,0.056,0.100,0.016,0.025,0.022,0.194,0.073,0.006,0.025,0.006,0.295,0.168,0.012,102.220,58.896,38.550,28.810,23.760,3117105152,1124290560,3649249280,4573323264,0,1,7.986,26.676,35.184,1.550,0,0,1073737728,0,4544,159919,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,1.579,3150.529,9307.419,9447.417,1.891,0.057,0,0,0,0,0,0,0,0
1770205707.225,19.656,3.834,76.283,0.162,0.065,0,26050560,0,0,672,0,0,0,3110002688,1131225088,3649384448,4580388864,159835,301287,8,0,68,38.550,28.810,23.760,10,20,0,0,25,0,0,0,5,0,0,0,13,0,0,0,0,0,1,3,4,6,0,2,8,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,143,38.550,28.810,23.760,3110002688,1131225088,3649384448,4580388864,9,0,68,0,112,0,0,0,1073737728,0,4480,160161,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,9967,7991,9153,4.300,0,0,0,0,0,0,0,0,0
1770205708.225,20.287,4.135,75.480,0.098,0,0,24248320,0,0,336,0,0,0,3109969920,1131225088,3649417216,4580388864,183392,350257,8,0,0,36.180,28.480,23.680,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,36.180,28.480,23.680,3109969920,1131225088,3649417216,4580388864,8,0,0,0,10,0,0,0,1073737728,0,4480,160161,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,5820,1783,1672,3.100,0,0,0,0,0,0,0,0,0
1770205709.225,20.221,4.096,75.553,0.098,0.033,0,18087936,0,0,336,0,0,0,3099324416,1141837824,3649449984,4591026176,182290,347696,10,0,0,36.180,28.480,23.680,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,36.180,28.480,23.680,3099324416,1141837824,3649449984,4591026176,8,0,0,0,8,0,0,0,1073737728,0,4480,160160,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,5238,1872,5003,2.900,0,0,0,0,0,0,0,0,0
1770205710.225,20.533,3.834,75.471,0.097,0.065,0,21037056,0,0,0,0,0,0,3086553088,1154576384,3649482752,4603764736,181559,345872,8,0,0,36.180,28.480,23.680,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,36.180,28.480,23.680,3086553088,1154576384,3649482752,4603764736,7,0,0,0,10,0,0,0,1073737728,0,4480,160160,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,698,1813,4824,3.100,0,0,0,0,0,0,0,0,0
1770205711.225,20.331,4.092,75.479,0.097,0,0,19333120,0,0,0,0,0,0,3073720320,1167351808,3649540096,4616540160,182253,346962,7,0,0,36.180,28.480,23.680,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,36.180,28.480,23.680,3073720320,1167351808,3649540096,4616540160,9,0,0,0,10,0,0,0,1073737728,0,4480,160160,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,95,1600,5107,3.100,0,0,0,0,0,0,0,0,0
1770205712.225,3.465,0.724,95.748,0.063,0,0,5734400,0,0,0,0,0,0,3073454080,1167609856,3649548288,4616802304,33879,63695,0,0,1,36.180,28.480,23.680,2,38,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,32,36.180,28.480,23.680,3073454080,1167609856,3649548288,4616802304,0,0,1,0,8,0,0,0,1073737728,0,4480,160144,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,283,485,830,2.400,0,0,0,0,0,0,0,0,0
1770205713.225,0,0,99.719,0,0.281,0,0,0,0,0,0,0,0,3073454080,1167609856,3649548288,4616810496,976,1084,0,0,0,33.280,28.010,23.560,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,33.280,28.010,23.560,3073454080,1167609856,3649548288,4616810496,0,0,0,0,0,0,0,0,1073737728,0,4480,160144,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,45,75,41,0,0,0,0,0,0,0,0,0,0
1770205714.225,0,0,100,0,0,0,0,0,0,0,0,0,0,3073454080,1167609856,3649548288,4616810496,584,611,0,0,0,33.280,28.010,23.560,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,33.280,28.010,23.560,3073454080,1167609856,3649548288,4616810496,0,0,0,0,0,0,0,0,1073737728,0,4480,160144,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,33,60,34,0,0,0,0,0,0,0,0,0,0
1770205715.225,0,0,99.595,0,0.405,0,0,0,0,0,0,0,0,3073454080,1167609856,3649548288,4616810496,604,565,0,0,0,33.280,28.010,23.560,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,33.280,28.010,23.560,3073454080,1167609856,3649548288,4616810496,0,0,0,0,0,0,0,0,1073737728,0,4480,160144,0,0,0,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,1,0,0,120,0,120,0,33,80,27,0,0,0,0,0,0,0,0,0,0
