"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","ee93cfbd0166",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260204111024/vertx-web-kotlinx-exposed-r2dbc-postgresql-separate-pool-size-8/fortune/stats.txt",,,,"Date:","04 Feb 2026 11:35:39 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","78","79","80","81","83","84","85","86","87","88","90","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770204939.533,32.859,7.537,58.574,0.049,0.980,5241102.834,35951842.176,1375054.447,0,0,0,0,0,3376934912,919822336,3609182208,4298846208,52895.917,437583.555,0,1,8.100,69.360,42.530,25.250,2.503,29.593,4.469,3.241,1.923,1.547,1.119,3.251,1.164,2.151,3.735,2.160,1.490,1.418,5.733,11.260,1.920,0.548,1.497,1.213,0.836,2.222,1.893,0.628,2.416,4.205,2.263,1.124,0.920,2.475,0.996,5.633,0.863,2.604,0.007,0.219,0.009,0.052,0.045,0.010,0.008,0.029,0.010,0.070,0.020,0.008,0.012,0.008,0.050,0.084,0.149,0.024,0.038,0.033,0.289,0.109,0.009,0.038,0.010,0.439,0.250,0.018,110.429,64.066,69.360,42.530,25.250,3376934912,919822336,3609182208,4298846208,0,1,8.100,39.724,38.211,2.310,0,0,1073737728,0,4800,153676,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,2.327,3208.396,9560.547,9735.728,2.297,0.086,0,0,0,0,0,0,0,0
1770204940.534,19.870,4.084,75.818,0.097,0.130,0,6684672,0,0,672,0,0,0,3388649472,907911168,3609280512,4287160320,159049,299885,9,0,68,69.360,42.530,25.250,16,20,0,3,5,0,12,0,0,0,11,0,0,0,7,0,0,28,4,0,0,4,0,0,5,4,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,141,69.360,42.530,25.250,3388649472,907911168,3609280512,4287160320,10,0,68,0,116,0,0,0,1073737728,0,4864,153914,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,5966,15513,14220,2.500,0,0,0,0,0,0,0,0,0
1770204941.534,22.634,4.390,72.943,0,0.033,0,0,0,0,336,0,0,0,3346915328,949645312,3609280512,4328894464,184814,350840,10,0,2,69.360,42.530,25.250,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,69.360,42.530,25.250,3346915328,949645312,3609280512,4328894464,10,0,2,0,0,0,0,0,1073737728,0,4864,153914,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,98,7859,17853,0,0,0,0,0,0,0,0,0,0
1770204942.534,22.707,4.392,72.869,0,0.033,0,0,0,0,336,0,0,0,3298926592,997634048,3609280512,4376907776,186468,354189,10,0,0,69.360,42.530,25.250,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,69.360,42.530,25.250,3298926592,997634048,3609280512,4376907776,9,0,0,0,0,0,0,0,1073737728,0,4864,153913,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,86,6537,17860,0,0,0,0,0,0,0,0,0,0
1770204943.534,20.026,4.461,75.480,0,0.033,0,0,0,0,0,0,0,0,3280310272,1016250368,3609280512,4395528192,189664,362123,7,0,0,64.530,41.970,25.170,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,64.530,41.970,25.170,3280310272,1016250368,3609280512,4395528192,8,0,0,0,0,0,0,0,1073737728,0,4864,153913,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,216,7045,11945,0,0,0,0,0,0,0,0,0,0
1770204944.534,19.604,4.284,76.079,0,0.032,0,0,0,0,0,0,0,0,3261231104,1035329536,3609280512,4414607360,187330,356855,8,0,0,64.530,41.970,25.170,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,64.530,41.970,25.170,3261231104,1035329536,3609280512,4414607360,7,0,0,0,0,0,0,0,1073737728,0,4864,153913,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,62,11125,20351,0,0,0,0,0,0,0,0,0,0
1770204945.534,4.383,1.009,94.576,0.032,0,0,458752,0,0,0,0,0,0,3227156480,1069400064,3609284608,4448677888,44675,84713,0,0,1,64.530,41.970,25.170,6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,35,64.530,41.970,25.170,3227156480,1069400064,3609284608,4448677888,0,0,1,0,2,0,0,0,1073737728,0,4864,153898,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,228,1809,6352,1,0,0,0,0,0,0,0,0,0
1770204946.534,0.031,0.031,99.750,0,0.187,0,0,0,0,0,0,0,0,3227156480,1069400064,3609284608,4448677888,619,540,0,0,0,64.530,41.970,25.170,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,64.530,41.970,25.170,3227156480,1069400064,3609284608,4448677888,0,0,0,0,0,0,0,0,1073737728,0,4864,153898,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,1,35,28,0,0,0,0,0,0,0,0,0,0
1770204947.534,0.031,0,99.937,0,0.031,0,0,0,0,0,0,0,0,3226517504,1070039040,3609284608,4449316864,1102,959,0,0,0,64.530,41.970,25.170,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,64.530,41.970,25.170,3226517504,1070039040,3609284608,4449316864,0,0,0,0,0,0,0,0,1073737728,0,4864,153898,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,0,26,34,0,0,0,0,0,0,0,0,0,0
1770204948.534,0,0.031,99.969,0,0,0,0,0,0,0,0,0,0,3226517504,1070039040,3609284608,4449316864,625,591,0,0,0,59.360,41.280,25.030,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,59.360,41.280,25.030,3226517504,1070039040,3609284608,4449316864,0,0,0,0,0,0,0,0,1073737728,0,4864,153898,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,0,32,33,0,0,0,0,0,0,0,0,0,0
