"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","ee93cfbd0166",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260204111024/vertx-web-kotlinx-exposed-r2dbc-postgresql-separate-pool-size-8/query/stats.txt",,,,"Date:","04 Feb 2026 11:31:47 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","78","79","80","81","83","84","85","86","87","88","90","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770204707.022,28.013,6.567,64.479,0.055,0.887,6157299.921,34276708.063,1615427.689,0,0,0,0,0,2947399680,1382506496,3576291328,4744351744,45110.930,408831.855,0,1,9.038,44.670,23.420,16.460,2.519,33.354,5.160,3.770,2.219,1.703,1.263,3.788,1.319,2.509,4.350,2.052,1.637,1.565,6.673,13.137,2.198,0.547,1.705,1.369,0.875,2.514,2.157,0.680,2.661,4.908,2.602,1.245,0.959,2.546,1.140,6.555,0.953,2.994,0.008,0.257,0.011,0.061,0.053,0.011,0.009,0.035,0.011,0.083,0.023,0.009,0.014,0.010,0.059,0.098,0.175,0.029,0.044,0.038,0.339,0.129,0.011,0.044,0.011,0.516,0.294,0.021,127.167,73.058,44.670,23.420,16.460,2947399680,1382506496,3576291328,4744351744,0,1,9.038,46.668,41.994,2.714,0,0,1073737728,0,4800,153601,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,2.734,3126.418,10203.097,10500.637,2.164,0.101,0,0,0,0,0,0,0,0
1770204708.022,16.883,4.018,78.905,0.065,0.130,0,6356992,0,0,672,0,0,0,2950230016,1379446784,3576389632,4741603328,154147,297842,7,0,66,41.570,23.130,16.400,14,20,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,3,0,8,0,0,8,0,0,0,0,0,0,1,2,27,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,150,41.570,23.130,16.400,2950230016,1379446784,3576389632,4741603328,7,0,66,0,104,0,0,0,1073737728,0,4928,153844,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,5150,9295,10295,1.400,0,0,0,0,0,0,0,0,0
1770204709.022,17.404,4.619,77.456,0,0.520,0,0,0,0,336,0,0,0,2951204864,1378471936,3576389632,4740632576,178050,346788,7,0,0,41.570,23.130,16.400,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,41.570,23.130,16.400,2951204864,1378471936,3576389632,4740632576,10,0,0,0,0,0,0,0,1073737728,0,4928,153844,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,79,2079,3167,0,0,0,0,0,0,0,0,0,0
1770204710.022,18.553,4.152,77.295,0,0,0,0,0,0,336,0,0,0,2937651200,1392025600,3576389632,4754186240,176488,343393,7,0,0,41.570,23.130,16.400,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,41.570,23.130,16.400,2937651200,1392025600,3576389632,4754186240,6,0,0,0,0,0,0,0,1073737728,0,4928,153843,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,16,2084,4005,0,0,0,0,0,0,0,0,0,0
1770204711.022,18.667,4.206,77.095,0,0.032,0,0,0,0,0,0,0,0,2926333952,1403342848,3576389632,4765503488,175091,341068,6,0,0,41.570,23.130,16.400,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,41.570,23.130,16.400,2926333952,1403342848,3576389632,4765503488,7,0,0,0,0,0,0,0,1073737728,0,4928,153843,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,9,1972,3487,0,0,0,0,0,0,0,0,0,0
1770204712.022,18.576,4.272,77.120,0,0.032,0,0,0,0,0,0,0,0,2918461440,1411215360,3576389632,4773376000,176126,342474,7,0,0,41.570,23.130,16.400,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19,41.570,23.130,16.400,2918461440,1411215360,3576389632,4773376000,6,0,0,0,0,0,0,0,1073737728,0,4928,153843,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,27,2004,3678,0,0,0,0,0,0,0,0,0,0
1770204713.022,4.001,0.914,94.991,0.063,0.032,0,425984,0,0,0,0,0,0,2918469632,1411203072,3576393728,4773363712,39637,76594,0,0,1,38.240,22.750,16.310,2,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,25,38.240,22.750,16.310,2918469632,1411203072,3576393728,4773363712,0,0,1,0,2,0,0,0,1073737728,0,4928,153827,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,168,631,999,1.200,0,0,0,0,0,0,0,0,0
1770204714.022,0.031,0,99.969,0,0,0,0,0,0,0,0,0,0,2918469632,1411203072,3576393728,4773363712,511,542,0,0,0,38.240,22.750,16.310,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,38.240,22.750,16.310,2918469632,1411203072,3576393728,4773363712,0,0,0,0,0,0,0,0,1073737728,0,4928,153827,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,0,27,35,0,0,0,0,0,0,0,0,0,0
1770204715.022,0.031,0,99.906,0,0.063,0,0,0,0,0,0,0,0,2918727680,1410945024,3576393728,4773105664,809,990,0,0,0,38.240,22.750,16.310,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,38.240,22.750,16.310,2918727680,1410945024,3576393728,4773105664,0,0,0,0,0,0,0,0,1073737728,0,4928,153827,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,8,52,27,0,0,0,0,0,0,0,0,0,0
1770204716.022,0,0,96.967,0,3.033,0,0,0,0,0,0,0,0,2918727680,1410945024,3576393728,4773105664,545,554,0,0,0,38.240,22.750,16.310,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,38.240,22.750,16.310,2918727680,1410945024,3576393728,4773105664,0,0,0,0,0,0,0,0,1073737728,0,4928,153827,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,0,0,0,1,0,0,116,0,116,0,13,43,35,0,0,0,0,0,0,0,0,0,0
