"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","ee93cfbd0166",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260204111024/vertx-web-kotlinx-exposed-r2dbc-postgresql-shared-pool-size-512-optimized/db/stats.txt",,,,"Date:","04 Feb 2026 12:00:33 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","78","79","80","81","83","84","85","86","87","88","90","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770206433.470,28.547,6.531,63.997,0.041,0.884,2683385.199,29650398.063,702980.054,0,0,0,0,0,2846810112,1460711424,3571326976,4852129792,50904.099,362975.565,0,1,8.005,1.810,10.560,19.660,2.253,27.101,3.138,1.831,1.235,1.061,1.501,1.980,0.873,1.279,2.588,1.394,1.536,1.066,3.160,5.979,1.768,1.194,1.537,1.395,1.289,1.497,1.243,0.548,1.526,2.358,1.441,0.846,0.857,1.413,0.823,3.038,1.523,1.978,0.004,0.112,0.005,0.027,0.023,0.005,0.004,0.015,0.005,0.036,0.010,0.004,0.006,0.004,0.026,0.043,0.076,0.012,0.019,0.017,0.148,0.056,0.005,0.019,0.005,0.224,0.128,0.009,98.379,56.432,1.810,10.560,19.660,2846810112,1460711424,3571326976,4852129792,0,1,8.005,20.371,34.957,1.181,0,0,1073737728,0,8192,166747,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,2096,0,0,1,0,0,124,0,124,1.240,3426.887,9036.974,9162.600,1.919,0.044,0,0,0,0,0,0,0,0
1770206434.471,22.323,4.250,73.069,0.130,0.227,0,6979584,0,0,672,0,0,0,3004792832,1302634496,3571425280,4694183936,158109,302904,11,0,71,1.810,10.560,19.660,14,20,0,2,0,0,4,4,0,0,0,0,0,0,0,0,15,0,0,15,13,0,0,0,15,1,0,0,4,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,175,1.810,10.560,19.660,3004792832,1302634496,3571425280,4694183936,9,0,71,0,129,0,0,0,1073737728,0,8128,166982,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,2096,0,0,1,0,0,124,0,124,0,7499,86603,57488,2.300,0,0,0,0,0,0,0,0,0
1770206435.471,18.909,4.866,76.159,0,0.065,0,0,0,0,336,0,0,0,3004444672,1302982656,3571425280,4694532096,191147,373718,8,0,0,1.810,10.560,19.660,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1.810,10.560,19.660,3004444672,1302982656,3571425280,4694532096,7,0,0,0,0,0,0,0,1073737728,0,8128,166982,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,2096,0,0,1,0,0,124,0,124,0,70,24698,24257,0,0,0,0,0,0,0,0,0,0
1770206436.471,18.928,4.740,76.267,0,0.065,0,0,0,0,336,0,0,0,3021111296,1286316032,3571425280,4677865472,192102,375639,9,0,0,1.810,10.560,19.660,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1.810,10.560,19.660,3021111296,1286316032,3571425280,4677865472,11,0,0,0,0,0,0,0,1073737728,0,8128,166981,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,2096,0,0,1,0,0,124,0,124,0,85,30737,29697,0,0,0,0,0,0,0,0,0,0
1770206437.471,18.905,5.052,75.978,0,0.065,0,0,0,0,0,0,0,0,3010826240,1296601088,3571425280,4688150528,192372,375923,7,0,0,1.810,10.560,19.660,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1.810,10.560,19.660,3010826240,1296601088,3571425280,4688150528,8,0,0,0,0,0,0,0,1073737728,0,8128,166981,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,2096,0,0,1,0,0,124,0,124,0,81,36870,36898,0,0,0,0,0,0,0,0,0,0
1770206438.471,18.746,4.964,76.225,0,0.065,0,0,0,0,0,0,0,0,3012034560,1295392768,3571425280,4686942208,190438,371958,8,0,0,2.470,10.550,19.600,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,2.470,10.550,19.600,3012034560,1295392768,3571425280,4686942208,7,0,0,0,0,0,0,0,1073737728,0,8128,166981,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,2096,0,0,1,0,0,124,0,124,0,107,48141,47621,0,0,0,0,0,0,0,0,0,0
1770206439.471,4.134,1.104,94.699,0.032,0.032,0,425984,0,0,0,0,0,0,3012685824,1294741504,3571425280,4686290944,44250,86080,0,0,1,2.470,10.550,19.600,2,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,34,2.470,10.550,19.600,3012685824,1294741504,3571425280,4686290944,0,0,1,0,2,0,0,0,1073737728,0,8128,166966,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,2096,0,0,1,0,0,124,0,124,0,274,496,831,1.200,0,0,0,0,0,0,0,0,0
1770206440.471,0,0.063,99.906,0.031,0,0,0,0,0,0,0,0,0,3012685824,1294741504,3571425280,4686299136,1288,2433,0,0,1,2.470,10.550,19.600,6,2,0,0,0,0,0,0,0,0,0,0,0,0,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,2.470,10.550,19.600,3012685824,1294741504,3571425280,4686299136,0,0,1,0,0,0,0,0,1073737728,0,8128,166966,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,2096,0,0,1,0,0,124,0,124,0,114,119,98,1.600,0,0,0,0,0,0,0,0,0
1770206441.471,0.471,0.063,99.466,0,0,0,0,0,0,0,0,0,0,3029061632,1278365696,3571425280,4669923328,3949,6196,0,0,0,2.470,10.550,19.600,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,2.470,10.550,19.600,3029061632,1278365696,3571425280,4669923328,0,0,0,0,0,0,0,0,1073737728,0,8128,166966,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,2096,0,0,1,0,0,124,0,124,0,5983,6262,2172,0,0,0,0,0,0,0,0,0,0
1770206442.471,0.031,0.031,99.937,0,0,0,0,0,0,0,0,0,0,3030110208,1277317120,3571425280,4668874752,678,693,0,0,1,2.470,10.550,19.600,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,2.470,10.550,19.600,3030110208,1277317120,3571425280,4668874752,0,0,1,0,0,0,0,0,1073737728,0,8128,166965,0,0,0,0,0,0,0,127,1,1,0,0,1,0,0,2096,0,0,1,0,0,124,0,124,0,843,629,545,0,0,0,0,0,0,0,0,0,0
