"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","6368618f4eed",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260213095012/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/db/stats.txt",,,,"Date:","13 Feb 2026 09:54:19 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","65","66","67","68","70","71","72","73","74","75","77","79","83","84","85","86","87","89","90","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770976459.019,2.615,0.491,80.326,16.459,0.108,44870843.499,53331731.739,8536001.976,0,0,0,0,0,1711116288,3018502144,3321311232,5946515456,8364.467,11690.516,0,34,22.228,6.600,2.700,1.050,3.698,164.858,6.057,3.124,16.820,2.176,10.799,9.054,8.815,2.196,10.329,8.607,2.303,3.407,5.503,9.679,3.586,5.945,6.511,22.331,14.616,16.987,5.117,1.215,5.583,21.877,10.484,1.937,8.643,13.301,4.172,3.164,11.277,5.870,1.267,0.096,0.355,0.307,0.048,0.060,0.522,0.048,0.084,0.466,0.426,0.112,0.072,0.729,0.383,1.646,2.738,0.255,0.175,0.474,0.175,1.526,0.076,0.080,0.414,288.611,175.752,6.600,2.700,1.050,1711116288,3018502144,3321311232,5946515456,1,33,22.228,142.726,104.320,14.254,0,0,1073737728,0,1600,70133,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,12.696,6894.776,17959.478,21077.808,4.014,0.279,0,0,0,0,0,0,0,0
1770976460.020,21.108,5.375,30.515,42.773,0.229,0,6258688,0,0,672,0,0,0,1850068992,2879348736,3321413632,5807546368,197117,371929,8,27,71,6.600,2.700,1.050,16,19,25,4,1,0,2,0,11,1,0,0,0,0,0,1,4,0,0,0,3,5,7,0,5,0,0,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,179,6.600,2.700,1.050,1850068992,2879348736,3321413632,5807546368,8,29,71,0,108,0,0,0,1073737728,0,1536,70371,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,9680,66968,34764,2,0,0,0,0,0,0,0,0,0
1770976461.019,18.284,6.062,17.920,57.701,0.033,0,0,0,0,336,0,0,0,1822511104,2906906624,3321413632,5835104256,228768,435767,8,27,0,6.600,2.700,1.050,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,6.600,2.700,1.050,1822511104,2906906624,3321413632,5835104256,9,29,0,0,0,0,0,0,1073737728,0,1536,70371,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,208,43860,41166,0,0,0,0,0,0,0,0,0,0
1770976462.020,19.068,5.907,17.394,57.565,0.066,0,262144,0,0,336,0,0,0,2073382912,2656034816,3321413632,5584232448,226625,431509,8,28,1,6.600,2.700,1.050,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,6.600,2.700,1.050,2073382912,2656034816,3321413632,5584232448,8,30,1,0,4,0,0,0,1073737728,0,1536,70369,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,1390,88124,28562,1.200,0,0,0,0,0,0,0,0,0
1770976463.020,18.292,6.470,17.734,57.471,0.033,0,0,0,0,0,0,0,0,2058731520,2670686208,3321413632,5598883840,230246,438842,8,27,0,6.600,2.700,1.050,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,6.600,2.700,1.050,2058731520,2670686208,3321413632,5598883840,9,28,0,0,0,0,0,0,1073737728,0,1536,70369,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,9,5124,5110,0,0,0,0,0,0,0,0,0,0
1770976464.019,18.487,6.184,17.993,57.270,0.066,0,0,0,0,0,0,0,0,2063458304,2665959424,3321413632,5594157056,229650,437536,8,26,0,6.710,2.790,1.090,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,6.710,2.790,1.090,2063458304,2665959424,3321413632,5594157056,9,28,0,0,0,0,0,0,1073737728,0,1536,70369,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,34,14026,12978,0,0,0,0,0,0,0,0,0,0
1770976465.020,4.040,1.263,11.774,82.923,0,0,458752,0,0,0,0,0,0,2065735680,2663682048,3321413632,5591887872,51911,98449,0,33,1,6.710,2.790,1.090,2,36,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,31,6.710,2.790,1.090,2065735680,2663682048,3321413632,5591887872,0,33,1,0,2,0,0,0,1073737728,0,1536,70354,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,201,1133,1523,1,0,0,0,0,0,0,0,0,0
1770976466.020,0,0,0,100,0,0,0,0,0,0,0,0,0,2067009536,2662408192,3321413632,5590614016,1167,2273,0,33,1,6.710,2.790,1.090,6,2,0,0,0,0,0,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,6.710,2.790,1.090,2067009536,2662408192,3321413632,5590614016,0,33,1,0,0,0,0,0,1073737728,0,1536,70354,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,105,101,102,0.800,0,0,0,0,0,0,0,0,0
1770976467.020,0.060,0.030,0,95.547,4.363,0,0,0,0,0,0,0,0,2067267584,2662150144,3321413632,5590355968,472,478,0,33,0,6.710,2.790,1.090,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,6.710,2.790,1.090,2067267584,2662150144,3321413632,5590355968,0,33,0,0,0,0,0,0,1073737728,0,1536,70354,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,7,33,55,0,0,0,0,0,0,0,0,0,0
1770976468.020,0.031,0,0,98.067,1.902,0,0,0,0,0,0,0,0,2067783680,2661634048,3321413632,5589839872,485,497,0,33,0,6.710,2.790,1.090,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,6.710,2.790,1.090,2067783680,2661634048,3321413632,5589839872,0,33,0,0,0,0,0,0,1073737728,0,1536,70354,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,13,60,35,0,0,0,0,0,0,0,0,0,0
